index	nameMatchValidation	taxonID	datasetName	taxonRank	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	verbatimInvasionStage	invasionStage	invasionStageCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	verbatimIntroductionPathway	introductionPathway	introductionMode	verbatimHabitat	habitat	verbatimNativeRange	nativeRange	verbatimPresenceBE	verbatimPresenceFL	verbatimPresenceWA	verbatimPresenceBR	verbatimPresenceBECoast	verbatimPresenceBPNS	verbatimPresenceBEEZ	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_acceptedKey	gbifapi_acceptedScientificName
10	ok		fishes	species	Hypophthalmichthys molitrix	Hypophthalmichthys molitrix		Animalia								Silver carp			A	established						BC	release > biological control			freshwater	AS	Asia								present	present	to be determined by experts	to be determined by experts					1975								2362473	Hypophthalmichthys molitrix (Valenciennes, 1844)	Hypophthalmichthys molitrix	ACCEPTED	SPECIES	EXACT	2362473	Hypophthalmichthys molitrix (Valenciennes, 1844)
11	ok		fishes	species	Hypophthalmichthys nobilis	Hypophthalmichthys nobilis		Animalia								Bighead carp			A	established						BC	release > biological control			freshwater	AS	Asia								present	present	to be determined by experts	to be determined by experts					1975								2362486	Hypophthalmichthys nobilis (Richardson, 1845)	Hypophthalmichthys nobilis	ACCEPTED	SPECIES	EXACT	2362486	Hypophthalmichthys nobilis (Richardson, 1845)
12	ok		fishes	species	Ictalurus punctatus	Ictalurus punctatus		Animalia								Channel catfish			A	established						AQ	escape > aquaculture / mariculture			freshwater		to be determined by experts								present	present	to be determined by experts	to be determined by experts					1884								5202520	Ictalurus punctatus (Rafinesque, 1818)	Ictalurus punctatus	ACCEPTED	SPECIES	EXACT	5202520	Ictalurus punctatus (Rafinesque, 1818)
13	ok		fishes	species	Lepomis gibbosus	Lepomis gibbosus		Animalia								Pumpkinseed			N	established						OR	escape > ornamental purpose other than horticulture			freshwater		to be determined by experts								present	present	to be determined by experts	to be determined by experts					1885								2394486	Lepomis gibbosus (Linnaeus, 1758)	Lepomis gibbosus	ACCEPTED	SPECIES	EXACT	2394486	Lepomis gibbosus (Linnaeus, 1758)
14	ok		fishes	species	Neogobius melanostomus	Neogobius melanostomus		Animalia								Round goby			N	established						BW, AM	stowaway > ship/boat ballast water | unaided > natural dispersal across borders of invasive alien species that have been introduced through pathways 1 to 5			freshwater	EE	Europe								present	present	to be determined by experts	to be determined by experts					2010								2379089	Neogobius melanostomus (Pallas, 1814)	Neogobius melanostomus	ACCEPTED	SPECIES	EXACT	2379089	Neogobius melanostomus (Pallas, 1814)
15	ok		fishes	species	Oncorhynchus mykiss	Oncorhynchus mykiss		Animalia								Rainbow trout			A	established						AQ, AN	release > fishery in the wild (including game fishing) | escape > aquaculture / mariculture | escape > live food and live bait			freshwater		to be determined by experts								present	present	to be determined by experts	to be determined by experts					1884								5204019	Oncorhynchus mykiss (Walbaum, 1792)	Oncorhynchus mykiss	ACCEPTED	SPECIES	EXACT	5204019	Oncorhynchus mykiss (Walbaum, 1792)
16	ok		fishes	species	Oreochromis niloticus	Oreochromis niloticus		Animalia								Nile tilapia			A*	established						AQ	escape > aquaculture / mariculture			freshwater	AFR	Africa								present	present	to be determined by experts	to be determined by experts					1990								4285694	Oreochromis niloticus (Linnaeus, 1758)	Oreochromis niloticus	ACCEPTED	SPECIES	EXACT	4285694	Oreochromis niloticus (Linnaeus, 1758)
17	ok		fishes	species	Pimephales promelas	Pimephales promelas		Animalia								Fathead minnow			N	established						AN	release > fishery in the wild (including game fishing) | escape > live food and live bait			freshwater		to be determined by experts								present	present	to be determined by experts	to be determined by experts					1984								2367742	Pimephales promelas Rafinesque, 1820	Pimephales promelas	ACCEPTED	SPECIES	EXACT	2367742	Pimephales promelas Rafinesque, 1820
18	ok		fishes	species	Ponticola kessleri	Ponticola kessleri		Animalia								Bighead goby			N	established						BW, AM	stowaway > ship/boat ballast water | unaided > natural dispersal across borders of invasive alien species that have been introduced through pathways 1 to 5			freshwater	EE	Europe								present	present	to be determined by experts	to be determined by experts					2012								8694685	Ponticola kessleri (Günther, 1861)	Ponticola kessleri	ACCEPTED	SPECIES	EXACT	8694685	Ponticola kessleri (Günther, 1861)
19	ok		fishes	species	Proterorhinus semilunaris	Proterorhinus semilunairs		Animalia								Tubenose goby			N	established						AM	unaided > natural dispersal across borders of invasive alien species that have been introduced through pathways 1 to 5			freshwater	EE	Europe								present	present	to be determined by experts	to be determined by experts					2010								2379245	Proterorhinus semilunaris (Heckel, 1837)	Proterorhinus semilunaris	ACCEPTED	SPECIES	EXACT	2379245	Proterorhinus semilunaris (Heckel, 1837)
20	ok		fishes	species	Pseudorasbora parva	Pseudorasbora parva		Animalia								Topmouth gudgeon			N	established						UN, AN	escape > live food and live bait | stowaway > angling/fishing equipment | contaminant > contaminant on animals (except parasites, species transported by host/vector)			freshwater	AS	Asia								present	present	to be determined by experts	to be determined by experts					1992								2362868	Pseudorasbora parva (Temminck & Schlegel, 1846)	Pseudorasbora parva	ACCEPTED	SPECIES	EXACT	2362868	Pseudorasbora parva (Temminck & Schlegel, 1846)
21	ok		fishes	species	Sander lucioperca	Sander lucioperca		Animalia								Pikeperch			N	established						AN	release > fishery in the wild (including game fishing) | escape > live food and live bait			freshwater	EE	Europe								present	present	to be determined by experts	to be determined by experts					1890								2382155	Sander lucioperca (Linnaeus, 1758)	Sander lucioperca	ACCEPTED	SPECIES	EXACT	2382155	Sander lucioperca (Linnaeus, 1758)
22	ok		fishes	species	Umbra pygmaea	Umbra pygmaea		Animalia								Eastern mudminnow			N	established						OR, AQ	escape > ornamental purpose other than horticulture | escape > aquaculture / mariculture			freshwater		to be determined by experts								present	present	to be determined by experts	to be determined by experts					1920								5203111	Umbra pygmaea	Umbra pygmaea	ACCEPTED	SPECIES	EXACT	5203111	Umbra pygmaea
23	ok	148	harmonia	species	Acer negundo	Acer negundo	Negundo fraxinifolium					Aceraceae				Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread	invasive		b2	9.0	restricted		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1955					no	pending			3189866	Acer negundo L.	Acer negundo	ACCEPTED	SPECIES	EXACT	3189866	Acer negundo L.
24	ok	103	harmonia	species	Acer negundo	Acer negundo	Negundo fraxinifolium					Aceraceae				Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread	invasive		b2	9.0	restricted		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1955					no	published			3189866	Acer negundo L.	Acer negundo	ACCEPTED	SPECIES	EXACT	3189866	Acer negundo L.
25	ok	119	harmonia	species	Acer rufinerve	Acer rufinerve	A. pensylvanicum ssp rufinerve					Aceraceae				Red veined maple	Grijze streepjesbastesdoorn	Erable à feuilles de vigne	naturalization	established		b1	10.0	isolated		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	Asia	Asia	yes		yes					present	to be determined by experts	present	to be determined by experts				1990					no	published			7263145	Acer rufinerve Sieb. & Zucc.	Acer rufinerve	ACCEPTED	SPECIES	EXACT	7263145	Acer rufinerve Sieb. & Zucc.
26	ok	32	harmonia	species	Ailanthus altissima	Ailanthus altissima	Ailanthus glandulosa					Simaroubaceae				Tree of heaven	Hemelboom	Faux-vernis du japon	spread	invasive		a2	12.0	restricted		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	Asia	Asia	yes	yes	yes					present	present	present	present				1952					no	published			3190653	Ailanthus altissima (Miller) Swingle	Ailanthus altissima	ACCEPTED	SPECIES	EXACT	3190653	Ailanthus altissima (Miller) Swingle
27	ok	18	harmonia	species	Aix galericulata	Aix galericulata						Anatidae				Mandarin duck	Mandarijneend	Canard mandarin	spread	invasive		c	8.0	widespread		pets and domestic animals	escape > pet/aquarium/terrarium species (including live food for such species )		freshwater	freshwater	Asia	Asia	yes	yes	yes					present	present	present	present				1953					no	published			2498388	Aix galericulata (Linnaeus, 1758)	Aix galericulata	ACCEPTED	SPECIES	EXACT	2498388	Aix galericulata (Linnaeus, 1758)
28	ok	33	harmonia	species	Aix sponsa	Aix sponsa						Anatidae				Wood duck	Carolina-eend	Canard carolin	naturalization	established		c	1.0	isolated			to be determined by experts		freshwater	freshwater	North America	N. America	yes	yes	no					present	present	absent	to be determined by experts				1957					no	pending			2498387	Aix sponsa (Linnaeus, 1758)	Aix sponsa	ACCEPTED	SPECIES	EXACT	2498387	Aix sponsa (Linnaeus, 1758)
