index	nameMatchValidation	taxonID	datasetName	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	verbatimInvasionStage	invasionStage	invasionStageCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	verbatimIntroductionPathway	introductionPathway	introductionMode	verbatimHabitat	habitat	verbatimNativeRange	nativeRange	verbatimPresenceBE	verbatimPresenceFL	verbatimPresenceWA	verbatimPresenceBR	verbatimPresenceBECoast	verbatimPresenceBPNS	verbatimPresenceBEEZ	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey	gbifapi_acceptedScientificName
458	ok		plants	Phoenix dactylifera L.	Phoenix dactylifera L.		Plantae				Arecaceae							Cas.	introduced						Food refuse	escape > live food and live bait	D		to be determined by experts	AF AS-Te	Africa | Asia		X	X	X				present	present	present	present				1945		2015							6109699	Phoenix dactylifera L.	Phoenix dactylifera	ACCEPTED	SPECIES	EXACT	100	6109699	Phoenix dactylifera L.
459	ok		plants	Trachycarpus fortunei (Hook.) H. Wendl.	Trachycarpus fortunei (Hook.) H. Wendl.		Plantae				Arecaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X						present	present	absent	absent				2015		2015							2739071	Trachycarpus fortunei (Hook.) H.Wendl.	Trachycarpus fortunei	ACCEPTED	SPECIES	EXACT	100	2739071	Trachycarpus fortunei (Hook.) H.Wendl.
460	ok		plants	Aristolochia clematitis L.	Aristolochia clematitis L.		Plantae				Aristolochiaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	E AS-Te	Europe | Asia		X	X	X				present	present	present	present				1828		N							2873991	Aristolochia clematitis L.	Aristolochia clematitis	ACCEPTED	SPECIES	EXACT	100	2873991	Aristolochia clematitis L.
461	ok		plants	Aristolochia rotunda L.	Aristolochia rotunda L.		Plantae				Aristolochiaceae							Cas.	introduced						?	unknown	A		to be determined by experts	E	Europe				X				present	absent	absent	present				1952		1952							2874019	Aristolochia rotunda L.	Aristolochia rotunda	ACCEPTED	SPECIES	EXACT	100	2874019	Aristolochia rotunda L.
462	ok		plants	Asarum europaeum L.	Asarum europaeum L.		Plantae				Aristolochiaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	E AS-Te	Europe | Asia		X	X					present	present	present	absent				1811		N							7313595	Asarum europaeum L.	Asarum europaeum	ACCEPTED	SPECIES	EXACT	100	7313595	Asarum europaeum L.
463	ok, SYNONYM		plants	Isotrema macrophyllum (Lam.) C. Reed	Isotrema macrophyllum (Lam.) C. Reed	Aristolochia macrophylla Lam.	Plantae				Aristolochiaceae							Nat.?	unknown						Hort.	escape > horticulture	D		to be determined by experts	NAM	N. America			X					present	absent	present	absent				<1999		N?							2873995	Isotrema macrophyllum (Lam.) C. F. Reed	Isotrema macrophyllum	SYNONYM	SPECIES	EXACT	100	2873994	Aristolochia macrophylla Lam.
464	ok		plants	Agave americana L.	Agave americana L.		Plantae				Asparagaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	NAM	N. America			X					present	absent	present	absent				2007		2007							2767031	Agave americana L.	Agave americana	ACCEPTED	SPECIES	EXACT	100	2767031	Agave americana L.
465	ok		plants	Camassia leichtlinii (Baker) S. Watson subsp. suksdorfii (Greenman) Gould	Camassia leichtlinii (Baker) S. Watson subsp. suksdorfii (Greenman) Gould		Plantae				Asparagaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	NAM	N. America		X						present	present	absent	absent				2013		2014							2769073	Camassia leichtlinii subsp. suksdorfii (Greenm.) Gould	Camassia leichtlinii suksdorfii	ACCEPTED	SUBSPECIES	EXACT	100	2769073	Camassia leichtlinii subsp. suksdorfii (Greenm.) Gould
466	ok, SYNONYM		plants	Chionodoxa luciliae Boiss.	Chionodoxa luciliae Boiss.		Plantae				Asparagaceae							Nat.?	unknown						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X	X	X				present	present	present	present				1984		N?							2767272	Chionodoxa luciliae Boiss.	Chionodoxa luciliae	SYNONYM	SPECIES	EXACT	100	2767271	Scilla luciliae (Boiss.) Speta
467	ok, SYNONYM		plants	Chionodoxa sardensis Whittall ex Barr et Sugd.	Chionodoxa sardensis Whittall ex Barr et Sugd.		Plantae				Asparagaceae							Nat.?	unknown						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia				X				present	absent	absent	present				1987		N?							2767230	Chionodoxa sardensis Whittall ex Barr & Sayden	Chionodoxa sardensis	SYNONYM	SPECIES	EXACT	100	2767229	Scilla sardensis (Whittall ex Barr & Sayden) Speta
468	aggregate		plants	Chlorophytum comosum group	Chlorophytum comosum group		Plantae				Asparagaceae							Cas.	introduced						Hort.	escape > horticulture	D 		to be determined by experts	Cult.	unknown		X						present	present	absent	absent				2011		2015															
469	ok, SYNONYM		plants	Danae racemosa (L.) Moench	Danae racemosa (L.) Moench		Plantae				Asparagaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X						present	present	absent	absent				2015		2015							5303891	Danae racemosa (L.) Moench	Danae racemosa	ACCEPTED	SPECIES	EXACT	100	5303891	Danae racemosa (L.) Moench
470	ok, SYNONYM		plants	Honorius nutans (L.) Gray	Honorius nutans (L.) Gray	Ornithogalum nutans L.	Plantae				Asparagaceae							Cas.	introduced						Hort., seeds	escape > horticulture | contaminant > seed contaminant	D/A		to be determined by experts	E AS-Te	Europe | Asia		X	X	X				present	present	present	present				<1835		2014							2773290	Honorius nutans (L.) Gray	Honorius nutans	SYNONYM	SPECIES	EXACT	100	2773281	Ornithogalum nutans L.
471	ok		plants	Hosta	Hosta spec.		Plantae				Asparagaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	?	unknown		X						present	present	absent	absent				2005		2015							2771094	Hosta Tratt.	Hosta	ACCEPTED	GENUS	EXACT	95	2771094	Hosta Tratt.
472	ok		plants	Hyacinthoides hispanica (Mill.) Rothm.	Hyacinthoides hispanica (Mill.) Rothm.		Plantae				Asparagaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	E AF	Europe | Africa		X	X	X				present	present	present	present				1882		N							5304257	Hyacinthoides hispanica (Mill.) Rothm.	Hyacinthoides hispanica	ACCEPTED	SPECIES	EXACT	100	5304257	Hyacinthoides hispanica (Mill.) Rothm.
473	ok		plants	Hyacinthoides x massartiana Geerinck	Hyacinthoides x massartiana Geerinck (H. hispanica x non-scripta (L.) Chouard ex Rothm.)		Plantae				Asparagaceae							Inv.	established						Hort.	escape > horticulture	D		to be determined by experts	Hybr.	unknown		X	X	X				present	present	present	present				1977		N							5304294	Hyacinthoides massartiana Geerinck	Hyacinthoides massartiana	ACCEPTED	SPECIES	EXACT	100	5304294	Hyacinthoides massartiana Geerinck
474	ok		plants	Hyacinthus orientalis L.	Hyacinthus orientalis L.		Plantae				Asparagaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X	X					present	present	present	absent				1977		2015							2772666	Hyacinthus orientalis L.	Hyacinthus orientalis	ACCEPTED	SPECIES	EXACT	100	2772666	Hyacinthus orientalis L.
475	ok, SYNONYM		plants	Loncomelos brevistylum (Wolfner) Dostál	Loncomelos brevistylus (Wolfner ) Dostál 	Ornithogalum pyramidale L., O. brevistylum Wolfner	Plantae				Asparagaceae							Cas.?	unknown						Hort.	escape > horticulture	D		to be determined by experts	E	Europe		X	X					present	present	present	absent				1987		2013							2772890	Loncomelos brevistylum (Wolfner) Dostál	Loncomelos brevistylum	SYNONYM	SPECIES	EXACT	100	2772885	Ornithogalum pyramidale L.
476	ok, SYNONYM		plants	Loncomelos narbonense (L.) Raf.	Loncomelos narbonense (L.) Raf.	Ornithogalum narbonense L.	Plantae				Asparagaceae							Cas.	introduced						Grain	contaminant > seed contaminant	A		to be determined by experts	E AF AS-Te	to be determined by experts		X						present	present	absent	absent				2001		2011							2772978	Loncomelos narbonense (L.) Raf.	Loncomelos narbonense	SYNONYM	SPECIES	EXACT	100	2772958	Ornithogalum narbonense L.
477	ok		plants	Maianthemum dilatatum (Alph. Wood) A. Nelson & J. F. Macbride	Maianthemum dilatatum (Alph. Wood) A. Nelson & J. F. Macbride		Plantae				Asparagaceae							Cas.?	unknown						Hort.	escape > horticulture	D		to be determined by experts	NAM AS-Te	Asia | N. America		X						present	present	absent	absent				2013		2013							2769435	Maianthemum dilatatum (Alph.Wood) A.Nelson & J.F.Macbr.	Maianthemum dilatatum	ACCEPTED	SPECIES	EXACT	100	2769435	Maianthemum dilatatum (Alph.Wood) A.Nelson & J.F.Macbr.
478	ok		plants	Muscari armeniacum Leichtlin ex Baker	Muscari armeniacum Leichtlin ex Baker		Plantae				Asparagaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	E AS-Te	Europe | Asia		X	X					present	present	present	absent				1975?		N							2772174	Muscari armeniacum Leichtlin ex Baker	Muscari armeniacum	DOUBTFUL	SPECIES	EXACT	100	2772174	Muscari armeniacum Leichtlin ex Baker
479	ok		plants	Muscari latifolium Kirk.	Muscari latifolium Kirk.		Plantae				Asparagaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X						present	present	absent	absent				2014		2014							2772082	Muscari latifolium J.Kirk	Muscari latifolium	ACCEPTED	SPECIES	EXACT	100	2772082	Muscari latifolium J.Kirk
480	ok		plants	Ornithogalum divergens Boreau	Ornithogalum divergens Boreau 	O. umbellatum subsp. divergens (Boreau) Bonnier et Layens	Plantae				Asparagaceae							Nat.?	unknown						Hort.	escape > horticulture	D		to be determined by experts	E AS-Te	Europe | Asia		X	X	X				present	present	present	present				1919		N?							2773453	Ornithogalum divergens Boreau	Ornithogalum divergens	ACCEPTED	SPECIES	EXACT	100	2773453	Ornithogalum divergens Boreau
481	ok		plants	Polygonatum x hybridum Brügger	Polygonatum x hybridum Brügger (P. odoratum (Mill.) Druce x P. multiflorum (L.) All.)		Plantae				Asparagaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	Cult.	unknown		X						present	present	absent	absent				2009		2015							7881150	Polygonatum hybridum Brügger	Polygonatum hybridum	ACCEPTED	SPECIES	EXACT	100	7881150	Polygonatum hybridum Brügger
482	ok		plants	Ruscus aculeatus L.	Ruscus aculeatus L.		Plantae				Asparagaceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	E AF AS-Te	to be determined by experts		X	X					present	present	present	absent				<1800		2013							2769766	Ruscus aculeatus L.	Ruscus aculeatus	ACCEPTED	SPECIES	EXACT	100	2769766	Ruscus aculeatus L.
483	ok		plants	Scilla siberica Haw.	Scilla siberica Haw.		Plantae				Asparagaceae							Nat.?	unknown						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X	X	X				present	present	present	present				1984		N?							2767328	Scilla siberica Haw.	Scilla siberica	ACCEPTED	SPECIES	EXACT	100	2767328	Scilla siberica Haw.
484	ok		plants	Yucca flaccida Haworth	Yucca flaccida Haworth	Y. filamentosa L. s.l.	Plantae				Asparagaceae							Nat.?	unknown						Hort.	escape > horticulture	D		to be determined by experts	NAM	N. America		X						present	present	absent	absent				2001		N?							2775530	Yucca flaccida Haw.	Yucca flaccida	ACCEPTED	SPECIES	EXACT	100	2775530	Yucca flaccida Haw.
485	ok		plants	Yucca gloriosa L.	Yucca gloriosa L.		Plantae				Asparagaceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	NAM	N. America		X	X					present	present	present	absent				2001		N							2775619	Yucca gloriosa L.	Yucca gloriosa	ACCEPTED	SPECIES	EXACT	100	2775619	Yucca gloriosa L.
486	ok, SYNONYM		plants	Acanthospermum hispidum DC.	Acanthospermum hispidum DC.		Plantae				Asteraceae							Cas.	introduced						Grain	contaminant > seed contaminant	A		to be determined by experts	SAM	S. America		X						present	present	absent	absent				1997		2005							3100375	Acanthospermum hispidum DC.	Acanthospermum hispidum	DOUBTFUL	SPECIES	EXACT	100	3100375	Acanthospermum hispidum DC.
487	ok, DOUBTFUL		plants	Achillea ageratum L.	Achillea ageratum L.		Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	E AF	Europe | Africa		X						present	present	absent	absent				1953		1960							3120391	Achillea ageratum L.	Achillea ageratum	DOUBTFUL	SPECIES	EXACT	100	3120391	Achillea ageratum L.
488	no match		plants	Achillea cartilaginea Ledeb. ex Reichenb. s.l.	Achillea cartilaginea Ledeb. ex Reichenb. s.l.	Incl. A. salicifolia Besser	Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D?		to be determined by experts	E AS-Te	Europe | Asia		X						present	present	absent	absent				1986		1986							3120381	Achillea cartilaginea Ledeb. ex Rchb.	Achillea cartilaginea	SYNONYM	SPECIES	EXACT	100	5396219	Aspilia latissima Malme
489	no match		plants	Achillea collina J. Becker ex Reichenb.	Achillea collina J. Becker ex Reichenb.		Plantae				Asteraceae							Nat.?	unknown						Ore?	unknown	A		to be determined by experts	E	Europe		X						present	present	absent	absent				?		N?							7925124	Achillea collina Becker ex Rchb.	Achillea collina	SYNONYM	SPECIES	EXACT	100	7767460	Achillea collina (Becker ex Wirtg.) Heimerl
490	ok, DOUBTFUL		plants	Achillea filipendulina Lam.	Achillea filipendulina Lam.		Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X	X					present	present	present	absent				1944		2015							3120284	Achillea filipendulina Lam.	Achillea filipendulina	DOUBTFUL	SPECIES	EXACT	100	3120284	Achillea filipendulina Lam.
491	ok, SYNONYM		plants	Achillea nobilis L.	Achillea nobilis L.		Plantae				Asteraceae							Nat.	established						Grain, wool, hort.	escape > horticulture | contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)	A/D		to be determined by experts	E AS-Te	Europe | Asia		X	X	X				present	present	present	present				1880		N							3120024	Achillea nobilis L.	Achillea nobilis	DOUBTFUL	SPECIES	EXACT	100	3120024	Achillea nobilis L.
492	ok, SYNONYM		plants	Achillea setacea Waldst. et Kit.	Achillea setacea Waldst. et Kit.		Plantae				Asteraceae							Cas.	introduced						Grain?	unknown	A		to be determined by experts	E AS-Te	Europe | Asia		X						present	present	absent	absent				1885		1886							3120066	Achillea setacea Waldst. & Kit.	Achillea setacea	SYNONYM	SPECIES	EXACT	100	5396294	Aspilia silphioides (Hook. & Arn.) Benth. & Hook.f.
493	ok		plants	Acmella	Acmella spec.		Plantae				Asteraceae							Cas.	introduced						Wool	contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	Trop.	Africa | N. America | S. America | Asia | Oceania			X					present	absent	present	absent				1955		1955							7764312	Acmella L. C. Rich. ex Pers.	Acmella	ACCEPTED	GENUS	EXACT	96	7764312	Acmella L. C. Rich. ex Pers.
494	ok, DOUBTFUL		plants	Acmella oleracea (L.) R.K.Jansen	Acmella oleracea (L.) R.K.Jansen		Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	SAM	S. America		X						present	present	absent	absent				2008		2008							5386764	Acmella oleracea (L.) R.K.Jansen	Acmella oleracea	DOUBTFUL	SPECIES	EXACT	100	5386764	Acmella oleracea (L.) R.K.Jansen
495	ok, DOUBTFUL		plants	Adenostyles alliariae (Gouan) A. Kerner	Adenostyles alliariae (Gouan) A. Kerner		Plantae				Asteraceae							Cas.	introduced						?	unknown	A?		to be determined by experts	E	Europe			X					present	absent	present	absent				1971		1971							3133702	Adenostyles alliariae (Gouan) A.Kern.	Adenostyles alliariae	DOUBTFUL	SPECIES	EXACT	100	3133702	Adenostyles alliariae (Gouan) A.Kern.
496	ok, SYNONYM		plants	Ageratina altissima (L.) King et Robinson	Ageratina altissima (L.) King et Robinson 	Eupatorium rugosum Houtt.	Plantae				Asteraceae							Cas.	introduced						Hort.?	unknown	D?		to be determined by experts	NAM	N. America			X					present	absent	present	absent				1953		2011							5400552	Ageratina altissima (L.) R.M.King & H.Rob.	Ageratina altissima	DOUBTFUL	SPECIES	EXACT	100	5400552	Ageratina altissima (L.) R.M.King & H.Rob.
497	ok, DOUBTFUL		plants	Ageratum houstonianum Mill.	Ageratum houstonianum Mill.		Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AM	N. America | S. America		X	X	X				present	present	present	present				1908		2014							5401760	Ageratum houstonianum Mill.	Ageratum houstonianum	DOUBTFUL	SPECIES	EXACT	100	5401760	Ageratum houstonianum Mill.
498	ok, SYNONYM		plants	Amberboa moschata (L.) DC.	Amberboa moschata (L.) DC.	Centaurea moschata L.	Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	E AS	Europe | Asia				X				present	absent	absent	present				1952		1952							3122190	Amberboa moschata (L.) DC.	Amberboa moschata	DOUBTFUL	SPECIES	EXACT	100	3122190	Amberboa moschata (L.) DC.
499	ok, SYNONYM		plants	Ambrosia polystachya	Ambrosia artemisiifolia L.		Plantae				Asteraceae							Nat.?	unknown						Grain, wool,etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	NAM	N. America		X	X	X				present	present	present	present				1883		N?							3110593	Ambrosia polystachya DC.	Ambrosia polystachya	DOUBTFUL	SPECIES	EXACT	100	3110593	Ambrosia polystachya DC.
500	ok, SYNONYM		plants	Ambrosia psilostachya DC.	Ambrosia psilostachya DC.	Ambrosia coronopifolia Torr. et A. Gray	Plantae				Asteraceae							Nat.	established						Ore,etc	contaminant > transportation of habitat material (soil, vegetation,…)	A		to be determined by experts	NAM	N. America		X	X	X				present	present	present	present				1917		N							3110686	Ambrosia psilostachya DC.	Ambrosia psilostachya	DOUBTFUL	SPECIES	EXACT	100	3110686	Ambrosia psilostachya DC.
501	ok, SYNONYM		plants	Ambrosia trifida L.	Ambrosia trifida L.		Plantae				Asteraceae							Cas.	introduced						Grain, wool,etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	NAM	N. America		X	X	X				present	present	present	present				1829		2012							3110588	Ambrosia trifida L.	Ambrosia trifida	DOUBTFUL	SPECIES	EXACT	100	3110588	Ambrosia trifida L.
502	ok, SYNONYM		plants	Amphiachyris dracunculoides (DC.) Nutt.	Amphiachyris dracunculoides (DC.) Nutt.	Gutierrezia dracunculoides (DC.) S.T. Blake	Plantae				Asteraceae							Cas.	introduced						Ore?	unknown	A		to be determined by experts	NAM	N. America		X						present	present	absent	absent				1991		1991							3110041	Amphiachyris dracunculoides (DC.) Nutt.	Amphiachyris dracunculoides	SYNONYM	SPECIES	EXACT	100	7522544	Gutierrezia dracunculoides (DC.) O.Hoffm.
503	ok, DOUBTFUL		plants	Anacyclus clavatus (Desf.) Pers.	Anacyclus clavatus (Desf.) Pers.		Plantae				Asteraceae							Cas.	introduced						Grain, wool	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	E AF AS-Te	to be determined by experts		X	X					present	present	present	absent				1911		2015							3148589	Anacyclus clavatus (Desf.) Pers.	Anacyclus clavatus	DOUBTFUL	SPECIES	EXACT	100	3148589	Anacyclus clavatus (Desf.) Pers.
504	ok, SYNONYM		plants	Anacyclus radiatus Loisel.	Anacyclus radiatus Loisel.		Plantae				Asteraceae							Cas.	introduced						Grain	contaminant > seed contaminant	A		to be determined by experts	E AF AS-Te	to be determined by experts		X						present	present	absent	absent				1998		1999							3148560	Anacyclus radiatus Loisel.	Anacyclus radiatus	SYNONYM	SPECIES	EXACT	100	4221876	Porophyllum ruderale subsp. macrocephalum (DC.) R.R.Johnson
505	ok, SYNONYM		plants	Anacyclus valentinus L.	Anacyclus valentinus L.		Plantae				Asteraceae							Cas.	introduced						?	unknown	A		to be determined by experts	E AF	Europe | Africa		X	X					present	present	present	absent				1913		1932							3148548	Anacyclus valentinus L.	Anacyclus valentinus	SYNONYM	SPECIES	EXACT	100	3103970	Porophyllum leiocarpum (Urb.) Rydb.
506	no match		plants	Anaphalis margaritacea (L.) Benth.	Anaphalis margaritacea (L.) Benth.		Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	NAM AS-Te	Asia | N. America		X	X	X				present	present	present	present				<1850		2015							4926336	Anaphalis margaritacea (L.) Benth. & Hook.f.	Anaphalis margaritacea	DOUBTFUL	SPECIES	EXACT	100	4926336	Anaphalis margaritacea (L.) Benth. & Hook.f.
507	ok, DOUBTFUL		plants	Anaphalis triplinervis (Sims.) C.B. Clarke	Anaphalis triplinervis (Sims.) C.B. Clarke		Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X						present	present	absent	absent				2005		2005							3136929	Anaphalis triplinervis (Sims) Sims ex C.B.Clarke	Anaphalis triplinervis	DOUBTFUL	SPECIES	EXACT	100	3136929	Anaphalis triplinervis (Sims) Sims ex C.B.Clarke
508	no match		plants	Anthemis ruthenica Bieb.	Anthemis ruthenica Bieb.		Plantae				Asteraceae							Cas.	introduced						Grain,etc	contaminant > seed contaminant	A		to be determined by experts	E AS-Te	Europe | Asia		X						present	present	absent	absent				1828		2012							3102823	Anthemis ruthenica M.Bieb.	Anthemis ruthenica	DOUBTFUL	SPECIES	EXACT	100	3102823	Anthemis ruthenica M.Bieb.
509	ok, DOUBTFUL		plants	Arctotheca calendula (L.) Levyns	Arctotheca calendula (L.) Levyns		Plantae				Asteraceae							Cas.	introduced						Grain, wool	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	AF	Africa		X	X					present	present	present	absent				1902		2014							3114986	Arctotheca calendula (L.) Levyns	Arctotheca calendula	DOUBTFUL	SPECIES	EXACT	100	3114986	Arctotheca calendula (L.) Levyns
510	ok, SYNONYM		plants	Artemisia abrotanum L.	Artemisia abrotanum L.		Plantae				Asteraceae							Cas.	introduced						Agric.	escape > agriculture (including biofuel feedstocks)	D		to be determined by experts	?	unknown		X	X					present	present	present	absent				1872		2015							8042568	Artemisia abrotanum L.	Artemisia abrotanum	DOUBTFUL	SPECIES	EXACT	100	8042568	Artemisia abrotanum L.
511	ok, SYNONYM		plants	Artemisia afra Jacq.	Artemisia afra Jacq.		Plantae				Asteraceae							Cas.	introduced						Wool	contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	AF	Africa			X					present	absent	present	absent				1893		1900							8078031	Artemisia afra Jacq.	Artemisia afra	SYNONYM	SPECIES	EXACT	100	3096857	Ptilostemon afer (Jacq.) Greuter
512	no match		plants	Artemisia annua L.	Artemisia annua L.		Plantae				Asteraceae							Nat.	established						Wool,etc	contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	E AS-Te	Europe | Asia		X		X				present	present	absent	present				1891		N							8373355	Artemisia annua L.	Artemisia annua	DOUBTFUL	SPECIES	EXACT	100	8373355	Artemisia annua L.
513	ok, SYNONYM		plants	Artemisia austriaca Jacq.	Artemisia austriaca Jacq.		Plantae				Asteraceae							Ext.	introduced						?	unknown	A		to be determined by experts	E	Europe		X	X					present	present	present	absent				1944		1957							3121668	Artemisia austriaca Jacq.	Artemisia austriaca	DOUBTFUL	SPECIES	EXACT	100	3121668	Artemisia austriaca Jacq.
514	no match		plants	Artemisia biennis Willd.	Artemisia biennis Willd.		Plantae				Asteraceae							Cas.	introduced						Grain,etc	contaminant > seed contaminant	A		to be determined by experts	NAM AS-Te	Asia | N. America		X	X	X				present	present	present	present				1895		Ann.							3121226	Artemisia biennis Willd.	Artemisia biennis	DOUBTFUL	SPECIES	EXACT	100	3121226	Artemisia biennis Willd.
515	no match		plants	Artemisia campestris L. subsp. maritima Arcang.	Artemisia campestris L. subsp. maritima Arcang.		Plantae				Asteraceae							Nat.	established						Hort.	escape > horticulture	D		to be determined by experts	E	Europe		X						present	present	absent	absent				2001		N							6077549	Artemisia campestris subsp. maritima (DC.) Arcang.	Artemisia campestris maritima	DOUBTFUL	SUBSPECIES	EXACT	100	6077549	Artemisia campestris subsp. maritima (DC.) Arcang.
516	ok, SYNONYM		plants	Artemisia dracunculus L.	Artemisia dracunculus L.		Plantae				Asteraceae							Nat.?	unknown						Agric.	escape > agriculture (including biofuel feedstocks)	D		to be determined by experts	E AS-Te NAM	Europe | Asia | N. America		X	X	X				present	present	present	present				1817?		N?							3121581	Artemisia dracunculus L.	Artemisia dracunculus	DOUBTFUL	SPECIES	EXACT	100	3121581	Artemisia dracunculus L.
517	no match		plants	Artemisia ludoviciana Nutt.	Artemisia ludoviciana Nutt.		Plantae				Asteraceae							Cas.	introduced						Hort., wool	escape > horticulture | contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	NAM 	N. America		X	X					present	present	present	absent				1902		2015							3120950	Artemisia ludoviciana Nutt.	Artemisia ludoviciana	DOUBTFUL	SPECIES	EXACT	100	3120950	Artemisia ludoviciana Nutt.
518	no match		plants	Artemisia pontica L.	Artemisia pontica L.		Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	E AS-Te	Europe | Asia		X	X	X				present	present	present	present				<1850		1949							8195160	Artemisia pontica L.	Artemisia pontica	DOUBTFUL	SPECIES	EXACT	100	8195160	Artemisia pontica L.
519	ok, DOUBTFUL		plants	Artemisia princeps Pamp.	Artemisia princeps Pamp.		Plantae				Asteraceae							Nat.	established						?	unknown	A		to be determined by experts	AS-Te	Asia		X						present	present	absent	absent				2011		N							3121258	Artemisia princeps Pamp.	Artemisia princeps	DOUBTFUL	SPECIES	EXACT	100	3121258	Artemisia princeps Pamp.
520	no match		plants	Artemisia scoparia Waldst. et Kit.	Artemisia scoparia Waldst. et Kit.		Plantae				Asteraceae							Cas.	introduced						Wool, grain,etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)	A		to be determined by experts	E AS-Te	Europe | Asia		X	X					present	present	present	absent				1911		2000							3120713	Artemisia scoparia Waldst. & Kitam.	Artemisia scoparia	DOUBTFUL	SPECIES	EXACT	100	3120713	Artemisia scoparia Waldst. & Kitam.
521	no match		plants	Artemisia sieversiana Ehrh.	Artemisia sieversiana Ehrh.		Plantae				Asteraceae							Cas. 	introduced						Grain	contaminant > seed contaminant	A		to be determined by experts	E AS-Te	Europe | Asia		X						present	present	absent	absent				2011		2015							7807853	Artemisia sieversiana Ehrh.	Artemisia sieversiana	DOUBTFUL	SPECIES	EXACT	100	7807853	Artemisia sieversiana Ehrh.
522	ok, DOUBTFUL		plants	Artemisia verlotiorum Lamotte	Artemisia verlotiorum Lamotte		Plantae				Asteraceae							Nat.	established						?	unknown	A		to be determined by experts	AS-Te	Asia		X	X	X				present	present	present	present				1937		N							3120790	Artemisia verlotiorum Lamotte	Artemisia verlotiorum	DOUBTFUL	SPECIES	EXACT	100	3120790	Artemisia verlotiorum Lamotte
523	ok, DOUBTFUL		plants	Aster ageratoides Turcz.	Aster ageratoides Turcz.		Plantae				Asteraceae							Cas.	introduced						Hort.	escape > horticulture	D		to be determined by experts	AS-Te	Asia		X						present	present	absent	absent				2014		2015							5387639	Aster ageratoides Turcz.	Aster ageratoides	DOUBTFUL	SPECIES	EXACT	100	5387639	Aster ageratoides Turcz.
