index	nameMatchValidation	taxonID	datasetName	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	verbatimInvasionStage	invasionStage	invasionStageCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	verbatimIntroductionPathway	introductionPathway	introductionMode	verbatimHabitat	habitat	verbatimNativeRange	nativeRange	verbatimPresenceBE	verbatimPresenceFL	verbatimPresenceWA	verbatimPresenceBR	verbatimPresenceBECoast	verbatimPresenceBPNS	verbatimPresenceBEEZ	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey	gbifapi_acceptedScientificName
25	ok	119	harmonia	Acer rufinerve	Acer rufinerve	A. pensylvanicum ssp rufinerve					Aceraceae				Red veined maple	Grijze streepjesbastesdoorn	Erable à feuilles de vigne	naturalization	established		b1	10.0	isolated		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	Asia	Asia	yes		yes					present	to be determined by experts	present	to be determined by experts				1990					no	published			7263145	Acer rufinerve Sieb. & Zucc.	Acer rufinerve	ACCEPTED	SPECIES	EXACT	99	7263145	Acer rufinerve Sieb. & Zucc.
26	ok	32	harmonia	Ailanthus altissima	Ailanthus altissima	Ailanthus glandulosa					Simaroubaceae				Tree of heaven	Hemelboom	Faux-vernis du japon	spread	invasive		a2	12.0	restricted		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	Asia	Asia	yes	yes	yes					present	present	present	present				1952					no	published			3190653	Ailanthus altissima (Miller) Swingle	Ailanthus altissima	ACCEPTED	SPECIES	EXACT	99	3190653	Ailanthus altissima (Miller) Swingle
27	ok	18	harmonia	Aix galericulata	Aix galericulata						Anatidae				Mandarin duck	Mandarijneend	Canard mandarin	spread	invasive		c	8.0	widespread		pets and domestic animals	escape > pet/aquarium/terrarium species (including live food for such species )		freshwater	freshwater	Asia	Asia	yes	yes	yes					present	present	present	present				1953					no	published			2498388	Aix galericulata (Linnaeus, 1758)	Aix galericulata	ACCEPTED	SPECIES	EXACT	99	2498388	Aix galericulata (Linnaeus, 1758)
28	ok	33	harmonia	Aix sponsa	Aix sponsa						Anatidae				Wood duck	Carolina-eend	Canard carolin	naturalization	established		c	1.0	isolated			to be determined by experts		freshwater	freshwater	North America	N. America	yes	yes	no					present	present	absent	to be determined by experts				1957					no	pending			2498387	Aix sponsa (Linnaeus, 1758)	Aix sponsa	ACCEPTED	SPECIES	EXACT	99	2498387	Aix sponsa (Linnaeus, 1758)
29	ok	121	harmonia	Akebia quinata	Akebia quinata						Lardizabalaceae				Five-leaf	Klimbes, Schijnaugurk	Akébie à cinq feuilles				b0	10.0			agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	Asia	Asia	no							absent	absent	absent	absent									no	published			3033965	Akebia quinata (Houtt.) Decne.	Akebia quinata	ACCEPTED	SPECIES	EXACT	97	3033965	Akebia quinata (Houtt.) Decne.
30	ok, SYNONYM	19	harmonia	Alopochen aegyptiacus	Alopochen aegyptiacus						Anatidae				Egyptian goose	Nijlgans	Ouette d'egypte	spread	invasive		a3	12.0	widespread		pets and domestic animals	escape > pet/aquarium/terrarium species (including live food for such species )		freshwater	freshwater	Africa	Africa	yes	yes	yes					present	present	present	present				1984					no	published											
31	no match	34	harmonia	Ambrosia artemisiifolia	Ambrosia artemisiifolia	Ambrosia elatior					Asteraceae				Ragweed	Alsemambrosia	Ambroisie annuelle				c	8.0			accidental	to be determined by experts		terrestrial	terrestrial	North America	N. America	no							absent	absent	absent	absent									no	published			3110596	Ambrosia artemisiifolia Besser	Ambrosia artemisiifolia	SYNONYM	SPECIES	EXACT	97	3110593	Ambrosia polystachya DC.
32	ok	1	harmonia	Ameiurus nebulosus	Ameiurus nebulosus	Ictalurus nebulosus					Ictaluridae				Brown bullhead	Bruine amerikaanse dwergmeerval	Poisson-chat américain	regression	established		b2	10.0	restricted		aqua- and mariculture	escape > aquaculture / mariculture		freshwater	freshwater	North America	N. America	yes	yes	yes					present	present	present	present				1871					no	published			2340989	Ameiurus nebulosus (Lesueur, 1819)	Ameiurus nebulosus	ACCEPTED	SPECIES	EXACT	99	2340989	Ameiurus nebulosus (Lesueur, 1819)
33	ok	35	harmonia	Amelanchier lamarckii	Amelanchier lamarckii	Amelanchier canadensis					Malaceae				Juneberry	Amerikaans krentenboompje	Amélanchier d'amérique	spread	invasive		b2	9.0	restricted		agri- and horticulture	escape > to be determined by experts		terrestrial	terrestrial	North America	N. America	yes	yes	yes					present	present	present	present				1876					no	published			3024109	Amelanchier lamarckii F. G. Schroed.	Amelanchier lamarckii	ACCEPTED	SPECIES	EXACT	99	3024109	Amelanchier lamarckii F. G. Schroed.
34	ok	20	harmonia	Anser indicus	Anser indicus						Anatidae				Bar-headed goose	Indische gans	Oie à tête barrée	naturalization	established		b1	9.0	isolated		pets and domestic animals	escape > pet/aquarium/terrarium species (including live food for such species )		freshwater	freshwater	Asia	Asia	yes	yes	no					present	present	absent	to be determined by experts				1966					no	published			2498035	Anser indicus (Latham, 1790)	Anser indicus	ACCEPTED	SPECIES	EXACT	99	2498035	Anser indicus (Latham, 1790)
