id,scientificname,species_group,species_type,species_status,count_obs
16927,Arcyria cinerea,Paddenstoelen,S,Native,38
16928,Arcyria denudata,Paddenstoelen,S,Native,132
16929,Arcyria ferruginea,Paddenstoelen,S,Native,14
16931,Arcyria incarnata,Paddenstoelen,S,Native,32
16934,Arcyria major,Paddenstoelen,S,Native,6
16935,Arcyria obvelata,Paddenstoelen,S,Native,51
16936,Arcyria oerstedii,Paddenstoelen,S,Native,5
16937,Arcyria pomiformis,Paddenstoelen,S,Native,7
16938,Arcyria stipata,Paddenstoelen,S,Native,55
16940,Badhamia affinis,Paddenstoelen,S,Native,3
16942,Badhamia capsulifera,Paddenstoelen,S,Native,5
16944,Badhamia foliicola,Paddenstoelen,S,Native,6
16946,Badhamia lilacina,Paddenstoelen,S,Native,2
16949,Badhamia macrocarpa,Paddenstoelen,S,Native,6
16950,Badhamia melanospora,Paddenstoelen,S,Native,2
16951,Badhamia nitens,Paddenstoelen,S,Native,1
16952,Badhamia panicea,Paddenstoelen,S,Native,17
16953,Badhamia utricularis,Paddenstoelen,S,Native,100
16954,Badhamia versicolor,Paddenstoelen,S,Native,1
16955,Brefeldia maxima,Paddenstoelen,S,Native,68
16960,Ceratiomyxa fruticulosa var. arbuscula,Paddenstoelen,V,Native,29
16961,Ceratiomyxa fruticulosa var. fruticulosa,Paddenstoelen,V,Native,377
16965,Comatricha elegans,Paddenstoelen,S,Native,3
16970,Colloderma oculatum,Paddenstoelen,S,Native,3
16972,Comatricha alta,Paddenstoelen,S,Native,2
16973,Comatricha ellae,Paddenstoelen,S,Native,1
16981,Comatricha nigra,Paddenstoelen,S,Native,91
16984,Comatricha pulchella,Paddenstoelen,S,Native,1
16988,Comatricha rigidireta,Paddenstoelen,S,Native,1
16989,Comatricha suksdorfii,Paddenstoelen,S,Native,1
16990,Comatricha tenerrima,Paddenstoelen,S,Native,6
16993,Craterium aureum,Paddenstoelen,S,Native,2
16995,Craterium leucocephalum,Paddenstoelen,S,Native,2
16999,Craterium minutum,Paddenstoelen,S,Native,132
17002,Cribraria argillacea,Paddenstoelen,S,Native,2
17003,Cribraria aurantiaca,Paddenstoelen,S,Native,2
17004,Cribraria cancellata,Paddenstoelen,S,Native,9
17018,Cribraria rufa,Paddenstoelen,S,Native,10
17020,Cribraria vulgaris,Paddenstoelen,S,Native,1
17022,Diachea leucopodia,Paddenstoelen,S,Native,35
17024,Dianema depressum,Paddenstoelen,S,Native,1
17025,Dianema harveyi,Paddenstoelen,S,Native,1
17028,Dictydiaethalium plumbeum,Paddenstoelen,S,Native,108
17033,Diderma carneum,Paddenstoelen,S,Native,1
17035,Diderma cinereum,Paddenstoelen,S,Native,2
17039,Diderma deplanatum,Paddenstoelen,S,Native,3
17040,Diderma donkii,Paddenstoelen,S,Native,10
17043,Diderma effusum,Paddenstoelen,S,Native,10
17046,Diderma floriforme,Paddenstoelen,S,Native,2
17047,Diderma globosum,Paddenstoelen,S,Native,7
17048,Diderma hemisphaericum,Paddenstoelen,S,Native,28
17049,Diderma montanum,Paddenstoelen,S,Native,3
17060,Diderma spumarioides,Paddenstoelen,S,Native,5
17063,Diderma testaceum,Paddenstoelen,S,Native,3
17069,Didymium applanatum,Paddenstoelen,Y,Native,2
17070,Didymium bahiense,Paddenstoelen,S,Native,13
17071,Didymium clavus,Paddenstoelen,S,Native,8
17072,Didymium comatum,Paddenstoelen,S,Native,2
17073,Didymium difforme,Paddenstoelen,S,Native,29
17076,Didymium eximium,Paddenstoelen,S,Native,2
17079,Didymium megalosporum,Paddenstoelen,S,Native,13
17080,Didymium melanospermum,Paddenstoelen,S,Native,6
17081,Didymium minus,Paddenstoelen,S,Native,6
17082,Didymium nigripes,Paddenstoelen,S,Native,8
17086,Didymium serpula,Paddenstoelen,S,Native,3
17087,Didymium squamulosum,Paddenstoelen,S,Native,147
17088,Didymium trachysporum,Paddenstoelen,S,Native,1
17091,Hemitrichia clavata,Paddenstoelen,S,Native,62
17093,Hemitrichia intorta,Paddenstoelen,S,Native,1
17095,Hemitrichia minor,Paddenstoelen,S,Native,2
17096,Hemitrichia pardina,Paddenstoelen,S,Native,1
17097,Hemitrichia serpula,Paddenstoelen,S,Native,9
17099,Lamproderma arcyrioides,Paddenstoelen,S,Native,8
17105,Lamproderma scintillans,Paddenstoelen,S,Native,12
17106,Leocarpus fragilis,Paddenstoelen,S,Native,125
17107,Lepidoderma tigrinum,Paddenstoelen,S,Native,1
17121,Mitopus morio,Geleedpotigen (overig),S,Native,132
17122,Juncus foliosus,Planten,S,Naturalized,69
17123,Juncus alpinoarticulatus,Planten,S,Native,39
17124,Juncus x kern-reichgeltii (Juncus conglomeratus x Juncus effusus),Planten,H,Native,8
17125,Luzula multiflora subsp. multiflora,Planten,I,Native,1128
17126,Luzula multiflora subsp. congesta,Planten,I,Native,483
