id,scientificname,species_group,species_type,species_status,count_obs
1,Botaurus stellaris,Vogels,S,Native,16150
2,Tachybaptus ruficollis,Vogels,S,Native,86003
3,Podiceps nigricollis,Vogels,S,Native,27354
4,Ixobrychus minutus,Vogels,S,Native,8055
5,Nycticorax nycticorax,Vogels,S,Native,3750
6,Ardea purpurea,Vogels,S,Native,3772
7,Ciconia ciconia,Vogels,S,Native,29041
8,Platalea leucorodia,Vogels,S,Native,23987
10,Netta rufina,Vogels,S,Native,6446
11,Somateria mollissima,Vogels,S,Native,3676
12,Milvus milvus,Vogels,S,Native,33991
13,Circus cyaneus,Vogels,S,Native,43479
14,Circus pygargus,Vogels,S,Native,3238
15,Lyrurus tetrix,Vogels,S,Native,1267
16,Perdix perdix,Vogels,S,Native,33494
17,Porzana porzana,Vogels,S,Native,3018
18,Crex crex,Vogels,S,Native,793
19,Grus grus,Vogels,S,Native,25222
20,Recurvirostra avosetta,Vogels,S,Native,22493
21,Burhinus oedicnemus,Vogels,S,Native,220
22,Charadrius hiaticula,Vogels,S,Native,13222
23,Charadrius alexandrinus,Vogels,S,Native,1054
24,Philomachus pugnax,Vogels,S,Native,26239
25,Gallinago gallinago,Vogels,S,Native,64930
26,Limosa limosa,Vogels,S,Native,35475
27,Tringa totanus,Vogels,S,Native,41284
28,Thalasseus sandvicensis,Vogels,S,Native,4907
29,Sterna hirundo,Vogels,S,Native,26769
30,Sterna paradisaea,Vogels,S,Native,1152
31,Sternula albifrons,Vogels,S,Native,1627
32,Chlidonias niger,Vogels,S,Native,11347
33,Tyto alba,Vogels,S,Native,9750
34,Athene noctua,Vogels,S,Native,29916
35,Asio flammeus,Vogels,S,Native,7763
36,Caprimulgus europaeus,Vogels,S,Native,3818
37,Alcedo atthis,Vogels,S,Native,76208
38,Upupa epops,Vogels,S,Native,742
39,Jynx torquilla,Vogels,S,Native,3634
40,Picus viridis,Vogels,S,Native,113884
41,Galerida cristata,Vogels,S,Native,2159
43,Anthus campestris,Vogels,S,Native,2816
44,Saxicola rubetra,Vogels,S,Native,20593
45,Saxicola rubicola,Vogels,S,Native,67980
46,Oenanthe oenanthe,Vogels,S,Native,36810
47,Locustella luscinioides,Vogels,S,Native,3687
48,Acrocephalus schoenobaenus,Vogels,S,Native,23565
49,Acrocephalus arundinaceus,Vogels,S,Native,2193
50,Panurus biarmicus,Vogels,S,Native,8647
51,Lanius collurio,Vogels,S,Native,12309
52,Lanius excubitor,Vogels,S,Native,17483
53,Lanius senator,Vogels,S,Native,340
54,Corvus corax,Vogels,S,Native,7144
55,Emberiza citrinella,Vogels,S,Native,60428
56,Emberiza hortulana,Vogels,S,Native,862
57,Emberiza calandra,Vogels,S,Native,11311
58,Phalacrocorax carbo,Vogels,S,Native,152606
59,Coccothraustes coccothraustes,Vogels,S,Native,24630
61,Tadorna tadorna,Vogels,S,Native,93254
62,Luscinia svecica,Vogels,S,Native,37687
64,Ardea cinerea,Vogels,S,Native,170650
65,Hirundo rustica,Vogels,S,Native,93101
67,Corvus cornix,Vogels,S,Native,1181
68,Calidris alpina,Vogels,S,Native,19872
69,Ficedula hypoleuca,Vogels,S,Native,9420
70,Sitta europaea,Vogels,S,Native,66676
71,Certhia brachydactyla,Vogels,S,Native,67182
72,Lullula arborea,Vogels,S,Native,24329
73,Anthus trivialis,Vogels,S,Native,34852
74,Falco subbuteo,Vogels,S,Native,50501
75,Acrocephalus palustris,Vogels,S,Native,31105
76,Tringa glareola,Vogels,S,Native,14377
77,Strix aluco,Vogels,S,Native,35840
78,Sylvia curruca,Vogels,S,Native,15941
79,Branta leucopsis,Vogels,S,Native,27509
80,Bucephala clangula,Vogels,S,Native,26360
81,Circus aeruginosus,Vogels,S,Native,68399
82,Buteo buteo,Vogels,S,Native,293349
83,Calidris alba,Vogels,S,Native,6262
84,Hydrocoloeus minutus,Vogels,S,Native,7549
87,Pica pica,Vogels,S,Native,108234
88,Phasianus colchicus,Vogels,S,Naturalized,52028
89,Phylloscopus trochilus,Vogels,S,Native,44184
90,Phylloscopus sibilatrix,Vogels,S,Native,6923
91,Podiceps cristatus,Vogels,S,Native,103755
92,Garrulus glandarius,Vogels,S,Native,90649
94,Phoenicurus phoenicurus,Vogels,S,Native,22173
95,Motacilla flava,Vogels,S,Native,46497
97,Apus apus,Vogels,S,Native,52383
98,Poecile palustris,Vogels,S,Native,20764
99,Regulus regulus,Vogels,S,Native,50350
100,Pluvialis apricaria,Vogels,S,Native,14072
101,Pyrrhula pyrrhula,Vogels,S,Native,31740
102,Sylvia communis,Vogels,S,Native,65858
103,Anthus pratensis,Vogels,S,Native,63470
104,Anser anser,Vogels,S,Native,78977
105,Muscicapa striata,Vogels,S,Native,12870
107,Carduelis chloris,Vogels,Y,Native,1797
108,Tringa nebularia,Vogels,S,Native,36087
109,Dendrocopos major,Vogels,S,Native,115224
110,Branta canadensis,Vogels,S,Naturalized,82156
111,Turdus viscivorus,Vogels,S,Native,38423
112,Larus marinus,Vogels,S,Native,11555
114,Mergus merganser,Vogels,S,Native,25298
115,Ardea alba,Vogels,S,Native,108402
116,Psittacula krameri,Vogels,S,Naturalized,16727
117,Accipiter gentilis,Vogels,S,Native,23371
118,Prunella modularis,Vogels,S,Native,101625
119,Columba oenas,Vogels,S,Native,45699
120,Columba palumbus,Vogels,S,Native,176315
121,Scolopax rusticola,Vogels,S,Native,19366
122,Passer domesticus,Vogels,S,Native,86602
123,Delichon urbicum,Vogels,S,Native,39805
124,Anser indicus,Vogels,S,Exotic,6087
125,Calidris canutus,Vogels,S,Native,3985
126,Coloeus monedula,Vogels,S,Native,90990
127,Fringilla montifringilla,Vogels,S,Native,42207
129,Vanellus vanellus,Vogels,S,Native,128685
130,Acrocephalus scirpaceus,Vogels,S,Native,53411
131,Larus fuscus,Vogels,S,Native,52478
132,Egretta garzetta,Vogels,S,Native,32520
133,Calidris minuta,Vogels,S,Native,4403
135,Linaria cannabina,Vogels,S,Native,53135
136,Cygnus olor,Vogels,S,Native,67629
137,Cuculus canorus,Vogels,S,Native,48878
138,Chroicocephalus ridibundus,Vogels,S,Native,107768
139,Anser albifrons,Vogels,S,Native,31217
140,Parus major,Vogels,S,Native,174336
141,Turdus iliacus,Vogels,S,Native,44724
142,Anas strepera,Vogels,S,Native,106859
143,Turdus pilaris,Vogels,S,Native,55745
144,Aythya fuligula,Vogels,S,Native,118324
145,Lophophanes cristatus,Vogels,S,Native,31402
147,Aix galericulata,Vogels,S,Naturalized,8218
148,Poecile montanus,Vogels,S,Native,33059
149,Fulica atra,Vogels,S,Native,127459
150,Turdus merula,Vogels,S,Native,198256
151,Cairina moschata,Vogels,S,Exotic,1599
152,Alopochen aegyptiaca,Vogels,S,Naturalized,81669
153,Mergellus albellus,Vogels,S,Native,16313
154,Actitis hypoleucos,Vogels,S,Native,53661
155,Riparia riparia,Vogels,S,Native,18328
158,Calidris maritima,Vogels,S,Native,2473
160,Anas acuta,Vogels,S,Native,35334
161,Cyanistes caeruleus,Vogels,S,Native,138306
162,Carduelis carduelis,Vogels,S,Native,64786
163,Numenius phaeopus,Vogels,S,Native,11844
164,Emberiza schoeniclus,Vogels,S,Native,77683
166,Passer montanus,Vogels,S,Native,30365
167,Corvus frugilegus,Vogels,S,Native,30245
168,Erithacus rubecula,Vogels,S,Native,145417
170,Limosa lapponica,Vogels,S,Native,5276
171,Oxyura jamaicensis,Vogels,S,Exotic,3774
172,Branta bernicla,Vogels,S,Native,4759
173,Haematopus ostralegus,Vogels,S,Native,62581
174,Spinus spinus,Vogels,S,Native,56028
175,Anas clypeata,Vogels,S,Native,79030
176,Anas penelope,Vogels,S,Native,54167
178,Accipiter nisus,Vogels,S,Native,122779
179,Hippolais icterina,Vogels,S,Native,14693
180,Sturnus vulgaris,Vogels,S,Native,96066
181,Aegithalos caudatus,Vogels,S,Native,72432
182,Arenaria interpres,Vogels,S,Native,8802
183,Larus canus,Vogels,S,Native,43875
184,Aythya ferina,Vogels,S,Native,73304
186,Phylloscopus collybita,Vogels,S,Native,167529
187,Aythya marila,Vogels,S,Native,4458
188,Falco tinnunculus,Vogels,S,Native,147334
189,Sylvia borin,Vogels,S,Native,32310
191,Streptopelia decaocto,Vogels,S,Native,87457
192,Alauda arvensis,Vogels,S,Native,77654
193,Fringilla coelebs,Vogels,S,Native,190002
195,Gallinula chloropus,Vogels,S,Native,93560
196,Anthus spinoletta,Vogels,S,Native,20689
198,Anas platyrhynchos,Vogels,S,Native,169623
199,Troglodytes troglodytes,Vogels,S,Native,150390
200,Anas crecca,Vogels,S,Native,96085
201,Tringa ochropus,Vogels,S,Native,65178
202,Motacilla alba,Vogels,S,Native,80686
203,Numenius arquata,Vogels,S,Native,51944
204,Turdus philomelos,Vogels,S,Native,84352
205,Larus argentatus,Vogels,S,Native,53973
206,Pluvialis squatarola,Vogels,S,Native,7448
208,Corvus corone,Vogels,S,Native,124537
209,Periparus ater,Vogels,S,Native,36284
210,Tringa erythropus,Vogels,S,Native,13797
212,Cygnus atratus,Vogels,S,Exotic,3860
213,Sylvia atricapilla,Vogels,S,Native,110781
214,Neophron percnopterus,Vogels,S,Native,16
215,Alca torda,Vogels,S,Native,1165
216,Tachymarptis melba,Vogels,S,Native,75
220,Buteo rufinus,Vogels,S,Native,410
221,Ichthyaetus audouinii,Vogels,S,Native,3
223,Acanthis spec.,Vogels,M,Native,7100
225,Clanga clanga,Vogels,S,Native,65
226,Turdus torquatus,Vogels,S,Native,8704
227,Phylloscopus inornatus,Vogels,S,Native,1960
229,Tryngites subruficollis,Vogels,S,Native,194
231,Lymnocryptes minimus,Vogels,S,Native,5387
232,Calidris fuscicollis,Vogels,S,Native,74
235,Branta canadensis / Branta hutchinsii,Vogels,M,Exotic,10665
236,Tadorna ferruginea,Vogels,S,Exotic,5168
237,Cettia cetti,Vogels,S,Native,34082
238,Phoenicopterus chilensis,Vogels,S,Exotic,94
239,Motacilla citreola,Vogels,S,Native,189
240,Sterna dougallii,Vogels,S,Native,94
241,Rissa tridactyla,Vogels,S,Native,3466
242,Microcarbo pygmeus,Vogels,S,Native,36
243,Hieraaetus pennatus,Vogels,S,Native,216
244,Anser erythropus,Vogels,S,Native,2088
245,Emberiza pusilla,Vogels,S,Native,641
246,Falco eleonorae,Vogels,S,Native,2
248,Serinus serinus,Vogels,S,Native,4123
249,Linaria flavirostris,Vogels,S,Native,1053
250,Larus michahellis,Vogels,S,Native,10416
251,Falco rusticolus,Vogels,S,Native,114
252,Phylloscopus trochiloides,Vogels,S,Native,191
253,Phalaropus lobatus,Vogels,S,Native,827
254,Acanthis flammea,Vogels,S,Native,1980
255,Larus hyperboreus,Vogels,S,Native,1106
256,Stercorarius skua,Vogels,S,Native,1848
257,Otis tarda,Vogels,S,Native,376
258,Melanitta fusca,Vogels,S,Native,2746
259,Pinicola enucleator,Vogels,S,Native,1
260,Threskiornis aethiopicus,Vogels,S,Exotic,912
261,Corvus splendens,Vogels,S,Native,1
262,Phylloscopus humei,Vogels,S,Native,137
263,Gavia immer,Vogels,S,Native,2258
264,Clangula hyemalis,Vogels,S,Native,1863
265,Calcarius lapponicus,Vogels,S,Native,1513
266,Limosa limosa islandica,Vogels,I,Native,1240
267,Morus bassanus,Vogels,S,Native,4416
270,Alle alle,Vogels,S,Native,331
271,Dendrocopos minor,Vogels,S,Native,18982
272,Larus glaucoides,Vogels,S,Native,959
273,Stercorarius parasiticus,Vogels,S,Native,2707
274,Cygnus bewickii,Vogels,S,Native,13870
275,Tetrax tetrax,Vogels,S,Native,185
276,Porzana parva,Vogels,S,Native,450
277,Porzana pusilla,Vogels,S,Native,183
278,Stercorarius longicaudus,Vogels,S,Native,605
280,Somateria spectabilis,Vogels,S,Native,42
281,Calandrella brachydactyla,Vogels,S,Native,95
283,Calidris ferruginea,Vogels,S,Native,3039
284,Loxia curvirostra,Vogels,S,Native,21819
285,Phalacrocorax aristotelis,Vogels,S,Native,993
286,Podiceps auritus,Vogels,S,Native,2298
287,Coturnix coturnix,Vogels,S,Native,9604
288,Gypaetus barbatus,Vogels,S,Native,4
289,Falco biarmicus,Vogels,S,Native,5
290,Dendrocopos medius,Vogels,S,Native,10373
291,Stercorarius pomarinus,Vogels,S,Native,1555
292,Mergus serrator,Vogels,S,Native,3746
293,Aegypius monachus,Vogels,S,Native,3
294,Charadrius morinellus,Vogels,S,Native,2299
295,Luscinia megarhynchos,Vogels,S,Native,18432
296,Phylloscopus trochilus acredula,Vogels,I,Native,8
297,Puffinus puffinus,Vogels,S,Native,1008
298,Fulmarus glacialis,Vogels,S,Native,1218
300,Bubo bubo,Vogels,S,Native,2257
302,Hippolais polyglotta,Vogels,S,Native,3841
303,Phylloscopus proregulus,Vogels,S,Native,629
304,Fratercula arctica,Vogels,S,Native,126
305,Gavia arctica,Vogels,S,Native,1546
306,Bombycilla garrulus,Vogels,S,Native,3399
307,Tringa stagnatilis,Vogels,S,Native,925
308,Gallinago media,Vogels,S,Native,239
309,Ardeola ralloides,Vogels,S,Native,513
310,Asio otus,Vogels,S,Native,15331
311,Hydroprogne caspia,Vogels,S,Native,393
312,Anser fabalis / Anser serrirostris,Vogels,M,Native,732
313,Branta ruficollis,Vogels,S,Native,3255
314,Gavia stellata,Vogels,S,Native,2828
315,Carpodacus erythrinus,Vogels,S,Native,933
316,Falco vespertinus,Vogels,S,Native,786
317,Chen rossii,Vogels,S,Exotic,99
318,Phalaropus fulicarius,Vogels,S,Native,1064
319,Motacilla alba yarrellii,Vogels,I,Native,2272
320,Sturnus roseus,Vogels,Y,Native,1
321,Buteo lagopus,Vogels,S,Native,4889
322,Falco cherrug,Vogels,S,Native,19
323,Coracias garrulus,Vogels,S,Native,25
324,Circaetus gallicus,Vogels,S,Native,1587
325,Falco peregrinus,Vogels,S,Native,50411
326,Falco columbarius,Vogels,S,Native,11463
327,Chen caerulescens,Vogels,S,Exotic,728
328,Bubo scandiacus,Vogels,S,Native,859
329,Plectrophenax nivalis,Vogels,S,Native,1991
330,Locustella naevia,Vogels,S,Native,19265
331,Aquila chrysaetos,Vogels,S,Native,10
332,Himantopus himantopus,Vogels,S,Native,3942
333,Aquila nipalensis,Vogels,S,Native,18
334,Circus macrourus,Vogels,S,Native,807
335,Hydrobates pelagicus,Vogels,S,Native,117
336,Eremophila alpestris,Vogels,S,Native,889
337,Certhia familiaris,Vogels,S,Native,2597
338,Anser fabalis,Vogels,S,Native,125
339,Calidris temminckii,Vogels,S,Native,2756
340,Xenus cinereus,Vogels,S,Native,331
341,Anser serrirostris,Vogels,S,Native,9671
342,Streptopelia turtur,Vogels,S,Native,16590
343,Oceanodroma leucorhoa,Vogels,S,Native,676
344,Gyps fulvus,Vogels,S,Native,427
345,Acrocephalus agricola,Vogels,S,Native,55
346,Pandion haliaetus,Vogels,S,Native,12988
347,Regulus ignicapilla,Vogels,S,Native,17003
348,Rallus aquaticus,Vogels,S,Native,40322
349,Pernis apivorus,Vogels,S,Native,32107
350,Oriolus oriolus,Vogels,S,Native,14579
351,Cygnus cygnus,Vogels,S,Native,6564
352,Loxia leucoptera,Vogels,S,Native,31
353,Haliaeetus albicilla,Vogels,S,Native,2101
354,Uria aalge,Vogels,S,Native,1738
355,Anas querquedula,Vogels,S,Native,26765
356,Phoenicurus ochruros,Vogels,S,Native,52284
357,Melanitta nigra,Vogels,S,Native,5077
358,Anthus petrosus,Vogels,S,Native,2665
359,Clanga pomarina,Vogels,S,Native,37
360,Bubulcus ibis,Vogels,S,Native,4603
361,Chlidonias leucopterus,Vogels,S,Native,624
362,Ciconia nigra,Vogels,S,Native,8737
363,Ichthyaetus melanocephalus,Vogels,S,Native,26907
364,Milvus migrans,Vogels,S,Native,10121
365,Motacilla flava flavissima,Vogels,I,Native,1377
367,Podiceps grisegena,Vogels,S,Native,4342
368,Gelochelidon nilotica,Vogels,S,Native,222
369,Puffinus mauretanicus,Vogels,S,Native,158
370,Calidris melanotos,Vogels,S,Native,829
371,Sylvia nisoria,Vogels,S,Native,424
372,Microtus agrestis,Zoogdieren,S,Native,1346
373,Myotis mystacinus,Zoogdieren,S,Native,887
374,Myotis bechsteinii,Zoogdieren,S,Native,197
375,Castor fiber,Zoogdieren,S,Native,5723
376,Martes martes,Zoogdieren,S,Native,510
377,Apodemus sylvaticus,Zoogdieren,S,Native,7070
378,Nyctalus leisleri,Zoogdieren,S,Native,247
379,Myotis brandtii,Zoogdieren,S,Native,132
380,Phocoena phocoena,Zoogdieren,S,Native,1235
381,Mustela putorius,Zoogdieren,S,Native,5696
382,Dama dama,Zoogdieren,S,Exotic,1646
383,Meles meles,Zoogdieren,S,Native,5931
385,Micromys minutus,Zoogdieren,S,Native,1329
386,Sorex minutus,Zoogdieren,S,Native,870
387,Pipistrellus pipistrellus,Zoogdieren,S,Native,21621
388,Cervus elaphus,Zoogdieren,S,Native,4013
389,Sciurus vulgaris,Zoogdieren,S,Native,32237
390,Erinaceus europaeus,Zoogdieren,S,Native,19560
391,Eliomys quercinus,Zoogdieren,S,Native,1132
392,Lynx lynx,Zoogdieren,S,Native,29
393,Myotis nattereri,Zoogdieren,S,Native,822
394,Sorex araneus,Zoogdieren,S,Native,621
395,Phoca vitulina,Zoogdieren,S,Native,2081
396,Plecotus austriacus,Zoogdieren,S,Native,212
397,Halichoerus grypus,Zoogdieren,S,Native,661
398,Plecotus auritus,Zoogdieren,S,Native,1051
399,Apodemus flavicollis,Zoogdieren,S,Native,105
400,Rhinolophus ferrumequinum,Zoogdieren,S,Native,133
401,Lepus europaeus,Zoogdieren,S,Native,38507
402,Cricetus cricetus,Zoogdieren,S,Native,492
403,Muscardinus avellanarius,Zoogdieren,S,Native,259
404,Mustela erminea,Zoogdieren,S,Native,4471
405,Crocidura russula,Zoogdieren,S,Native,3111
406,Myotis emarginatus,Zoogdieren,S,Native,549
407,Pipistrellus pygmaeus,Zoogdieren,S,Native,84
408,Rhinolophus hipposideros,Zoogdieren,S,Native,41
409,Oryctolagus cuniculus,Zoogdieren,S,Naturalized,30611
410,Eptesicus serotinus,Zoogdieren,S,Native,3346
411,Myotis dasycneme,Zoogdieren,S,Native,609
412,Talpa europaea,Zoogdieren,S,Native,12611
413,Barbastella barbastellus,Zoogdieren,S,Native,497
417,Lutra lutra,Zoogdieren,S,Native,48
418,Capreolus capreolus,Zoogdieren,S,Native,43203
419,Nyctalus noctula,Zoogdieren,S,Native,2587
420,Clethrionomys glareolus,Zoogdieren,Y,Native,1107
421,Martes foina,Zoogdieren,S,Native,6868
422,Tursiops truncatus,Zoogdieren,S,Native,75
423,Sorex coronatus,Zoogdieren,S,Native,142
424,Vespertilio murinus,Zoogdieren,S,Native,72
425,Myotis myotis,Zoogdieren,S,Native,216
426,Microtus arvalis,Zoogdieren,S,Native,977
427,Crocidura leucodon,Zoogdieren,S,Native,212
428,Vulpes vulpes,Zoogdieren,S,Native,26884
429,Neomys fodiens,Zoogdieren,S,Native,342
430,Myotis daubentonii,Zoogdieren,S,Native,3783
431,Mustela nivalis,Zoogdieren,S,Native,3480
432,Sus scrofa,Zoogdieren,S,Native,4039
433,Felis silvestris,Zoogdieren,S,Native,1096
435,Lagenorhynchus albirostris,Zoogdieren,S,Native,54
436,Arvicola amphibius/scherman,Zoogdieren,M,Native,767
437,Vipera berus,Reptielen en amfibieën,S,Native,893
438,Ichthyosaura alpestris,Reptielen en amfibieën,S,Native,10819
439,Hyla arborea,Reptielen en amfibieën,S,Native,2180
440,Rana temporaria,Reptielen en amfibieën,S,Native,19176
441,Bombina variegata,Reptielen en amfibieën,S,Native,127
442,Bufo bufo,Reptielen en amfibieën,S,Native,19898
443,Coronella austriaca,Reptielen en amfibieën,S,Native,1531
444,Pelophylax spec.,Reptielen en amfibieën,M,Native,8144
445,Anguis fragilis,Reptielen en amfibieën,S,Native,5198
446,Rana arvalis,Reptielen en amfibieën,S,Native,1317
447,Triturus cristatus,Reptielen en amfibieën,S,Native,2089
448,Lissotriton vulgaris,Reptielen en amfibieën,S,Native,8549
449,Pelobates fuscus,Reptielen en amfibieën,S,Native,155
450,Zootoca vivipara,Reptielen en amfibieën,S,Native,9772
451,Pelophylax ridibundus,Reptielen en amfibieën,S,Naturalized,810
452,Podarcis muralis,Reptielen en amfibieën,S,Native,3974
453,Pelophylax lessonae,Reptielen en amfibieën,S,Native,1018
454,Natrix natrix,Reptielen en amfibieën,S,Native,1805
455,Bufo calamita,Reptielen en amfibieën,S,Native,2751
456,Lissotriton helveticus,Reptielen en amfibieën,S,Native,4074
457,Alytes obstetricans,Reptielen en amfibieën,S,Native,1749
458,Salamandra salamandra,Reptielen en amfibieën,S,Native,3436
459,Lacerta agilis,Reptielen en amfibieën,S,Native,171
578,Calopteryx splendens,Libellen,S,Native,10821
579,Calopteryx virgo,Libellen,S,Native,5357
580,Sympecma fusca,Libellen,S,Native,3822
581,Lestes barbarus,Libellen,S,Native,1169
582,Lestes dryas,Libellen,S,Native,1087
583,Lestes sponsa,Libellen,S,Native,4137
584,Lestes virens,Libellen,S,Native,2013
585,Chalcolestes viridis,Libellen,S,Native,11349
587,Ischnura elegans,Libellen,S,Native,21025
588,Ischnura pumilio,Libellen,S,Native,2063
589,Pyrrhosoma nymphula,Libellen,S,Native,13169
590,Enallagma cyathigerum,Libellen,S,Native,10631
591,Coenagrion hastulatum,Libellen,S,Native,249
592,Coenagrion lunulatum,Libellen,S,Native,189
593,Coenagrion mercuriale,Libellen,S,Native,174
594,Coenagrion puella,Libellen,S,Native,20379
595,Coenagrion pulchellum,Libellen,S,Native,1614
596,Coenagrion scitulum,Libellen,S,Native,1569
597,Erythromma lindenii,Libellen,S,Native,966
598,Erythromma najas,Libellen,S,Native,4987
599,Erythromma viridulum,Libellen,S,Native,3882
600,Ceriagrion tenellum,Libellen,S,Native,2753
602,Gomphus flavipes,Libellen,S,Native,236
603,Gomphus vulgatissimus,Libellen,S,Native,350
604,Gomphus pulchellus,Libellen,S,Native,2197
605,Gomphus simillimus,Libellen,S,Incidental / Vagrant / Migrant,2
606,Onychogomphus forcipatus,Libellen,S,Native,468
608,Brachytron pratense,Libellen,S,Native,1458
609,Aeshna affinis,Libellen,S,Native,283
610,Aeshna cyanea,Libellen,S,Native,10169
611,Aeshna grandis,Libellen,S,Native,3149
612,Aeshna juncea,Libellen,S,Native,584
613,Aeshna mixta,Libellen,S,Native,11969
614,Aeshna subarctica,Libellen,S,Native,53
615,Aeshna isoceles,Libellen,S,Native,1521
616,Anax imperator,Libellen,S,Native,16659
617,Anax parthenope,Libellen,S,Native,847
618,Anax ephippiger,Libellen,S,Native,73
619,Cordulegaster boltonii,Libellen,S,Native,1396
620,Cordulegaster bidentata,Libellen,S,Native,200
621,Cordulia aenea,Libellen,S,Native,5787
622,Somatochlora arctica,Libellen,S,Native,134
623,Somatochlora flavomaculata,Libellen,S,Native,456
624,Somatochlora metallica,Libellen,S,Native,1034
625,Oxygastra curtisii,Libellen,S,Native,89
626,Epitheca bimaculata,Libellen,S,Native,89
627,Libellula depressa,Libellen,S,Native,11135
628,Libellula fulva,Libellen,S,Native,2254
629,Libellula quadrimaculata,Libellen,S,Native,10433
630,Orthetrum brunneum,Libellen,S,Native,434
631,Orthetrum cancellatum,Libellen,S,Native,16160
632,Orthetrum coerulescens,Libellen,S,Native,2353
633,Crocothemis erythraea,Libellen,S,Native,4213
634,Sympetrum danae,Libellen,S,Native,3702
635,Sympetrum depressiusculum,Libellen,S,Native,478
636,Sympetrum flaveolum,Libellen,S,Native,197
637,Sympetrum fonscolombii,Libellen,S,Native,1698
638,Sympetrum meridionale,Libellen,S,Native,208
639,Sympetrum pedemontanum,Libellen,S,Native,951
640,Sympetrum sanguineum,Libellen,S,Native,13919
641,Sympetrum striolatum,Libellen,S,Native,13621
642,Sympetrum vulgatum,Libellen,S,Native,2039
643,Leucorrhinia caudalis,Libellen,S,Native,102
644,Leucorrhinia dubia,Libellen,S,Native,1473
645,Leucorrhinia pectoralis,Libellen,S,Native,528
646,Leucorrhinia rubicunda,Libellen,S,Native,1104
649,Cupido minimus,Dagvlinders,S,Native,1530
650,Thymelicus acteon,Dagvlinders,S,Native,111
651,Aporia crataegi,Dagvlinders,S,Native,3275
652,Spialia sertorius,Dagvlinders,S,Native,821
653,Argynnis paphia,Dagvlinders,S,Native,4911
654,Cyaniris semiargus,Dagvlinders,S,Native,1341
655,Euphydryas aurinia,Dagvlinders,S,Native,299
656,Phengaris teleius,Dagvlinders,S,Extinct,1
657,Brenthis ino,Dagvlinders,S,Native,1930
658,Lycaena hippothoe,Dagvlinders,S,Native,801
659,Nymphalis antiopa,Dagvlinders,S,Native,111
660,Phengaris arion,Dagvlinders,S,Native,11
661,Plebejus idas,Dagvlinders,S,Extinct,1
662,Melitaea diamina,Dagvlinders,S,Native,1065
663,Coenonympha hero,Dagvlinders,S,Native,1
664,Boloria euphrosyne,Dagvlinders,S,Native,540
665,Erynnis tages,Dagvlinders,S,Native,2121
666,Limenitis populi,Dagvlinders,S,Native,155
667,Lycaena dispar,Dagvlinders,S,Native,589
668,Satyrium w-album,Dagvlinders,S,Native,1062
669,Coenonympha arcania,Dagvlinders,S,Native,2221
670,Boloria aquilonaris,Dagvlinders,S,Native,312
671,Melitaea cinxia,Dagvlinders,S,Native,1078
672,Pyrgus malvae,Dagvlinders,S,Native,3227
673,Carterocephalus palaemon,Dagvlinders,S,Native,4545
674,Melitaea athalia,Dagvlinders,S,Native,744
675,Argynnis niobe,Dagvlinders,S,Native,3
676,Apatura iris,Dagvlinders,S,Native,1961
677,Nymphalis polychloros,Dagvlinders,S,Native,1689
678,Argynnis aglaja,Dagvlinders,S,Native,1530
679,Thecla betulae,Dagvlinders,S,Native,4617
681,Coenonympha tullia,Dagvlinders,S,Native,20
682,Boloria selene,Dagvlinders,S,Native,2636
683,Aricia agestis,Dagvlinders,S,Native,9449
684,Lycaena tityrus,Dagvlinders,S,Native,1747
685,Satyrium ilicis,Dagvlinders,S,Native,1224
686,Plebejus argus,Dagvlinders,S,Native,2915
689,Issoria lathonia,Dagvlinders,S,Native,5055
690,Limenitis camilla,Dagvlinders,S,Native,5750
691,Hesperia comma,Dagvlinders,S,Native,719
692,Heteropterus morpheus,Dagvlinders,S,Extinct,1
693,Hipparchia semele,Dagvlinders,S,Native,5858
694,Papilio machaon,Dagvlinders,S,Native,13161
695,Lasiommata megera,Dagvlinders,S,Native,6192
696,Pararge aegeria,Dagvlinders,S,Native,74506
697,Celastrina argiolus,Dagvlinders,S,Native,27043
698,Maniola jurtina,Dagvlinders,S,Native,48814
699,Gonepteryx rhamni,Dagvlinders,S,Native,40134
700,Aglais io,Dagvlinders,S,Native,70999
702,Thymelicus sylvestris,Dagvlinders,S,Native,2768
703,Polygonia c-album,Dagvlinders,S,Native,47851
704,Callophrys rubi,Dagvlinders,S,Native,3549
705,Pieris brassicae,Dagvlinders,S,Native,32398
706,Ochlodes sylvanus,Dagvlinders,S,Native,24072
707,Coenonympha pamphilus,Dagvlinders,S,Native,18733
708,Polyommatus icarus,Dagvlinders,S,Native,34810
709,Pieris napi,Dagvlinders,S,Native,40882
710,Pieris rapae,Dagvlinders,S,Native,73487
711,Aglais urticae,Dagvlinders,S,Native,41568
712,Lycaena phlaeas,Dagvlinders,S,Native,21745
713,Aphantopus hyperantus,Dagvlinders,S,Native,16521
714,Araschnia levana,Dagvlinders,S,Native,27886
715,Pyronia tithonus,Dagvlinders,S,Native,31945
716,Anthocharis cardamines,Dagvlinders,S,Native,25853
717,Thymelicus lineola,Dagvlinders,S,Native,7821
718,Argynnis adippe,Dagvlinders,S,Native,498
719,Leptidea sinapis,Dagvlinders,S,Native,4201
720,Melanargia galathea,Dagvlinders,S,Native,5291
721,Carcharodus alceae,Dagvlinders,S,Native,1863
