taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	firstObservationYearBE	firstObservationYaerFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
148	harmonia	Acer negundo	Negundo fraxinifolium					Aceraceae					Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread		b2	9	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes		1955					no	pending	
103	harmonia	Acer negundo	Negundo fraxinifolium					Aceraceae					Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread		b2	9	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes		1955					no	published	
119	harmonia	Acer rufinerve	A. pensylvanicum ssp rufinerve					Aceraceae					Red veined maple	Grijze streepjesbastesdoorn	Erable à feuilles de vigne	naturalization		b1	10	isolated		agri- and horticulture		terrestrial	Asia	yes		yes		1990					no	published	
32	harmonia	Ailanthus altissima	Ailanthus glandulosa					Simaroubaceae					Tree of heaven	Hemelboom	Faux-vernis du japon	spread		a2	12	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes		1952					no	published	
18	harmonia	Aix galericulata						Anatidae					Mandarin duck	Mandarijneend	Canard mandarin	spread		c	8	widespread		pets and domestic animals		freshwater	Asia	yes	yes	yes		1953					no	published	
33	harmonia	Aix sponsa						Anatidae					Wood duck	Carolina-eend	Canard carolin	naturalization		c	1	isolated				freshwater	North America	yes	yes	no		1957					no	pending	
121	harmonia	Akebia quinata						Lardizabalaceae					Five-leaf	Klimbes, Schijnaugurk	Akébie à cinq feuilles			b0	10			agri- and horticulture		terrestrial	Asia	no									no	published	
19	harmonia	Alopochen aegyptiacus						Anatidae					Egyptian goose	Nijlgans	Ouette d'egypte	spread		a3	12	widespread		pets and domestic animals		freshwater	Africa	yes	yes	yes		1984					no	published	
34	harmonia	Ambrosia artemisiifolia	Ambrosia elatior					Asteraceae					Ragweed	Alsemambrosia	Ambroisie annuelle			c	8			accidental		terrestrial	North America	no									no	published	
1	harmonia	Ameiurus nebulosus	Ictalurus nebulosus					Ictaluridae					Brown bullhead	Bruine amerikaanse dwergmeerval	Poisson-chat américain	regression		b2	10	restricted		aqua- and mariculture		freshwater	North America	yes	yes	yes		1871					no	published	
