	gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	datasetName	firstObservationYearBE	firstObservationYearFL	invasionStage	habitat	nativeRange	introductionPathway	presenceBE	presenceFL	presenceWA	presenceBR	gbifapi_scientificName	index
607	Cotoneaster acutifolius var. lucidus (Schltdl.) L. T. Lu	3026061	Plantae	plants	2011.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster lucidus Schltdl.	2355
608	Cotoneaster acutifolius var. villosulus Rehd. & E.H. Wilson	3025565	Plantae	plants	1997.0		established	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster villosulus (Rehder & E.H. Wilson) Flinck & B. Hylmö	2364
609	Cotoneaster ambiguus Rehd. & E.H. Wilson	3025858	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster ambiguus Rehd. & E.H. Wilson	2339
610	Cotoneaster ascendens Flinck & B. Hylmö	3026024	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cotoneaster ascendens Flinck & B. Hylmö	2340
611	Cotoneaster bullatus Bois in Bilm. & Bois	3026294	Plantae	plants	2001.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cotoneaster bullatus Bois in Bilm. & Bois	2342
612	Cotoneaster bullatus var. floribundus (Stapf) L. T. Lu & A. R. Brach	3026295	Plantae	plants	2011.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster boisianus G. Klotz	2341
613	Cotoneaster bullatus var. macrophyllus Rehder & E. H. Wilson	3026161	Plantae	plants	1983.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	present	Cotoneaster rehderi Pojark	2360
614	Cotoneaster conspicuus H. F. Comber ex C. Marquand	3025875	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster conspicuus H. F. Comber ex C. Marquand	2343
615	Cotoneaster coriaceus Franch.	3026035	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cotoneaster coriaceus Franch.	2344
616	Cotoneaster dammeri C.K. Schneid.	3026049	Plantae	plants	2007.0		established	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster dammeri C.K. Schneid.	2345
617	Cotoneaster dielsianus E. Pritz.	3025896	Plantae	plants	1990.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cotoneaster dielsianus E. Pritz.	2346
618	Cotoneaster divaricatus Rehd. & E.H. Wilson	3026334	Plantae	plants	2001.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cotoneaster divaricatus Rehd. & E.H. Wilson	2347
619	Cotoneaster fangianus T.T. Yu	3025932	Plantae	plants	2001.0		established	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster fangianus T.T. Yu	2348
620	Cotoneaster franchetii Boiss.	3026162	Plantae	plants	2004.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cotoneaster franchetii Boiss.	2349
621	Cotoneaster hjelmqvistii K.E. Flinck & B. Hylmö	3026092	Plantae	plants	2000.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cotoneaster hjelmqvistii K.E. Flinck & B. Hylmö	2351
622	Cotoneaster horizontalis Decne	3025617	Plantae	harmonia | plants	1982.0		established | invasive	terrestrial | to be determined by experts	Asia	escape > horticulture | escape > to be determined by experts	present	present	present	present	Cotoneaster horizontalis Decne	62 | 2352
623	Cotoneaster microphylla var. thymifolius (Baker) Koehne	8422000	Plantae	plants	2001.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster integrifolius (Roxb.) Klotz	2354
624	Cotoneaster moupinensis Franch.	3025731	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster moupinensis Franch.	2357
625	Cotoneaster nanshan Mottet	3025935	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster nanshan Mottet	2358
626	Cotoneaster qungbixiensis J.Fryer & B.Hylmö	3025907	Plantae	plants	2011.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster qungbixiensis J.Fryer & B.Hylmö	2359
627	Cotoneaster salicifolius Franch.	3026074	Plantae	plants	1989.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	present	Cotoneaster salicifolius Franch.	2361
628	Cotoneaster salicifolius var. rugosus (E. Pritz.) Rehd. & E.H. Wilson	3026076	Plantae	plants	2011.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cotoneaster hylmoei K.E. Flinck & J. Fryer	2353
629	Cotoneaster simonsii Baker	3026107	Plantae	plants	1959.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cotoneaster simonsii Baker	2362
630	Cotoneaster zabelii C.K. Schneid.	3025605	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cotoneaster zabelii C.K. Schneid.	2367
631	Cotoneaster ×suecicus G. Klotz	3026040	Plantae	plants	2006.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	present	absent	Cotoneaster ×suecicus G. Klotz	2365
632	Cotoneaster ×watereri Exell	3026004	Plantae	plants	2000.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	present	absent	Cotoneaster ×watereri Exell	2366
633	Cotula anthemoides L.	3112123	Plantae	plants	1896.0		introduced	to be determined by experts	Africa |  Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cotula anthemoides L.	594
634	Cotula australis (Sieber ex Spreng.) Hook.f.	8542672	Plantae	plants	1889.0		introduced	to be determined by experts	Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	present	Cotula australis (Sieber ex Spreng.) Hook.f.	595
635	Cotula coronopifolia L.	3112110	Plantae	plants	1895.0		unknown	to be determined by experts	Africa |  Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Cotula coronopifolia L.	596
636	Cotula turbinata L.	3112098	Plantae	plants	1947.0		introduced	to be determined by experts	Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cotula turbinata L.	597
637	Crambe hispanica subsp. abyssinica (Hochst ex. R.E. Fr.) A. Prina	8510990	Plantae	plants	1994.0		introduced	to be determined by experts	Europe | Africa	escape > agriculture (including biofuel feedstocks)	present	present	absent	absent	Crambe abyssinica Hochst. ex R.E. Fr.	897
638	Crangonyx pseudogracilis Bousfield, 1958	2217982	Animalia	macroinvertebrates	1992.0	1992	established	freshwater	N. America	stowaway > to be determined by experts	present	present	to be determined by experts	to be determined by experts	Crangonyx pseudogracilis Bousfield, 1958	180
639	Crassostrea gigas (Thunberg, 1793)	2286069	Animalia	macroinvertebrates | wrims	1969.0	1969	established | to be determined by experts	estuarine | marine | to be determined by experts, primarily marine probably	Asia | to be determined by experts	escape > aquaculture / mariculture | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Crassostrea gigas (Thunberg, 1793)	221 | 9404 | 9405 | 9406
640	Crassula decumbens Thunb.	7334263	Plantae	plants	1904.0		introduced	to be determined by experts	Africa |  Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Crassula decumbens Thunb.	1120
641	Crassula helmsii (Kirk) A. Berger	8035075	Plantae	harmonia | plants	1982.0		established | invasive	freshwater | to be determined by experts	Oceania	escape > horticulture | escape > to be determined by experts	present	present	present	absent | present	Crassula helmsii (Kirk) A. Berger | Crassula helmsii (Kirk) Cockayne	63 | 64 | 1121
642	Crassula peduncularis (Sm.) Meigen	5690854	Plantae	plants	1894.0		introduced	to be determined by experts	Oceania | S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Crassula peduncularis (Sm.) Meigen	1122
643	Crataegus persimilis Sarg.	3015457	Plantae	plants	1959.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	absent	present	Crataegus persimilis Sarg.	2368
644	Crepidula fornicata (Linnaeus, 1758)	5192789	Animalia	macroinvertebrates | wrims	1911.0	1911	established | to be determined by experts	marine | to be determined by experts, primarily marine probably	N. America | to be determined by experts	stowaway > to be determined by experts | to be determined by experts	present	present	to be determined by experts	to be determined by experts	Crepidula fornicata (Linnaeus, 1758)	215 | 9407 | 9408 | 9409
645	Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.	5831060	Plantae	plants	2003.0		established	to be determined by experts	Europe | Asia	unknown	present	present	absent	absent	Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.	598
646	Crepis nicaeensis Balb.	7706146	Plantae	plants	1860.0		introduced	to be determined by experts	Europe	contaminant > seed contaminant	present	present	present	absent	Crepis nicaeensis Balb.	599
647	Crepis pulchra L.	5403272	Plantae	plants	1842.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	present	absent	Crepis pulchra L.	600
648	Crepis sancta subsp. nemausensis (Gouan) Babc.	5831068	Plantae	plants	1948.0		introduced	to be determined by experts	to be determined by experts	contaminant > transportation of habitat material (soil, vegetation,…)	present	present	present	present	Crepis sancta subsp. nemausensis (Gouan) Babc.	601
649	Crepis setosa Haller f.	4245384	Plantae	plants	1862.0		established	to be determined by experts	Europe | Asia	contaminant > seed contaminant	present	present	present	present	Crepis setosa Haller f.	602
650	Crepis tectorum L.	5403508	Plantae	plants	1842.0		introduced	to be determined by experts	Europe	contaminant > seed contaminant	present	present	present	present	Crepis tectorum L.	603
651	Crithopsis delileana (Schult.) Roshev.	4932431	Plantae	plants	1994.0		introduced	to be determined by experts	to be determined by experts	unknown	present	absent	present	present	Crithopsis delileana (Schult.) Roshev.	1934
653	Crocus chrysanthus (Herb.) Herb.	2747489	Plantae	plants	2013.0		unknown	to be determined by experts	Europe | Asia	escape > horticulture	present	present	absent	absent	Crocus chrysanthus (Herb.) Herb.	1490
655	Crocus vernus (L.) Hill	2747567	Plantae	plants	1969.0		unknown	to be determined by experts	Europe	escape > horticulture	present	present	absent	absent	Crocus vernus (L.) Hill	1492
656	Crocus ×stellaris Haw.	3586380	Plantae	plants	2013.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	absent	absent	Crocus ×stellaris Haw.	1493
657	Crucianella angustifolia L.	5336632	Plantae	plants	1837.0		introduced	to be determined by experts	to be determined by experts	unknown	present	present	absent	absent	Crucianella angustifolia L.	2456
658	Crypsis aculeata (L.) Aiton	5290184	Plantae	plants	1901.0		introduced	to be determined by experts	to be determined by experts	contaminant > transportation of habitat material (soil, vegetation,…)	present	present	absent	absent	Crypsis aculeata (L.) Aiton	1935
659	Crypsis alopecuroides (Piller & Mitterp.) Schrad.	5290186	Plantae	plants	1909.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Crypsis alopecuroides (Piller & Mitterp.) Schrad.	1936
660	Crypsis schoenoides (L.) Lam.	5290185	Plantae	plants	1914.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	absent	absent	Crypsis schoenoides (L.) Lam.	1937
661	Cryptomeria japonica (Thunb. ex L. f.) D. Don	5284237	Plantae	plants	2008.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cryptomeria japonica (Thunb. ex L. f.) D. Don	2610
662	Ctenopharyngodon idella (Valenciennes, 1844)	2362030	Animalia	fishes | harmonia	1978.0	1967	established	freshwater	Asia	release > biological control | to be determined by experts	absent | present	absent | present	absent | to be determined by experts	absent | to be determined by experts	Ctenopharyngodon idella (Valenciennes, 1844)	8 | 65
663	Cucumis melo L.	2874570	Plantae	plants	1949.0		introduced	to be determined by experts	Africa | Asia	escape > live food and live bait	present	present	present	absent	Cucumis melo L.	1143
664	Cucumis myriocarpus subsp. myriocarpus	3624993	Plantae	plants	1895.0		introduced	to be determined by experts	Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Cucumis myriocarpus Naud.	1144
665	Cucumis sativus L.	2874569	Plantae	plants	1950.0		introduced	to be determined by experts	unknown	escape > live food and live bait	present	present	absent	absent	Cucumis sativus L.	1145
666	Cucurbita moschata Duchesne	2874509	Plantae	plants	2014.0		introduced	to be determined by experts	N. America | S. America	escape > live food and live bait	present	present	absent	absent	Cucurbita moschata Duchesne	1146
667	Cucurbita pepo L.	2874508	Plantae	plants	1901.0		introduced	to be determined by experts	N. America | S. America	escape > live food and live bait	present	present	present	present	Cucurbita pepo L.	1147
668	Cullen americanum (L.) Rydb.	2948921	Plantae	plants	1915.0		introduced	to be determined by experts	Europe | Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Cullen americanum (L.) Rydb.	1265
669	Cuscuta epilinum Weihe	2927530	Plantae	plants	2011.0		introduced	to be determined by experts	unknown	contaminant > seed contaminant	present	present	absent	absent	Cuscuta epilinum Weihe	1102
670	Cuscuta gronovii Willd.	7694392	Plantae	plants	1950.0		introduced	to be determined by experts	N. America	contaminant > seed contaminant	present	present	absent	present	Cuscuta gronovii Willdenow ex Roemer & Schultes	1103
671	Cuscuta lupuliformis Krock.	3678256	Plantae	plants	2013.0		established	to be determined by experts	Europe | Asia	unknown	present	present	absent	absent	Cuscuta lupuliformis Krock.	1104
672	Cuscuta planiflora Ten.	2927522	Plantae	plants	1895.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	absent	absent	Cuscuta planiflora Ten.	1105
673	Cuscuta suaveolens Ser.	2927484	Plantae	plants	1976.0		introduced	to be determined by experts	S. America	contaminant > contaminant nursery material	present	present	absent	absent	Cuscuta suaveolens Ser.	1106
674	Cyanus depressus (M.Bieb.) Soják	8334968	Plantae	plants	1909.0		introduced	to be determined by experts	Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	present	Cyanus depressus (M.Bieb.) Soják	604
675	Cyanus triumfettii (All.) Dostál ex Á.Löve & D.Löve	5386028	Plantae	plants	1911.0		introduced	to be determined by experts	to be determined by experts	unknown	present	absent	present	absent	Cyanus triumfettii (All.) Dostál ex Á.Löve & D.Löve	605
676	Cyclamen coum Mill.	7127354	Plantae	plants	2011.0		introduced	to be determined by experts	Europe | Asia	escape > horticulture	present	present	present	absent	Cyclamen coum Mill.	2273
677	Cyclamen hederifolium Aiton	7127810	Plantae	plants	2003.0		introduced	to be determined by experts	to be determined by experts	escape > horticulture	present	present	present	present	Cyclamen hederifolium Aiton	2274
678	Cyclospermum leptophyllum (Pers.) Sprague	8350395	Plantae	plants	1893.0		introduced	to be determined by experts	N. America | S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P. Wilson	399
679	Cydonia oblonga Mill.	5362215	Plantae	plants	1873.0		unknown	to be determined by experts	Asia	escape > horticulture	present	present	present	present	Cydonia oblonga Mill.	2369
680	Cygnus atratus (Latham, 1790)	2498344		harmonia	1995.0		established	freshwater	Oceania	to be determined by experts	present	present	present	present	Cygnus atratus (Latham, 1790)	66
681	Cymbalaria muralis subsp. muralis	7331861	Plantae	plants	1835.0		established	to be determined by experts	Europe	escape > horticulture	present	present	present	present	Cymbalaria muralis subsp. muralis	1804
682	Cymbalaria muralis subsp. pubescens (C. Presl) D. A. Webb	8536465	Plantae	plants	1900.0		introduced	to be determined by experts	Europe	escape > horticulture	present	absent	present	absent	Cymbalaria muralis subsp. pubescens (C. Presl) D. A. Webb	1805
683	Cymbalaria pallida (Ten.) Wettst.	5559837	Plantae	plants	1995.0		established	to be determined by experts	Europe	escape > horticulture	present	absent	present	absent	Cymbalaria pallida (Ten.) Wettst.	1806
684	Cynodon dactylon (L.) Pers.	6109637	Plantae	plants	1813.0		established	to be determined by experts	Africa | N. America | S. America | Asia | Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > transportation of habitat material (soil, vegetation,…)	present	present	present	present	Cynodon dactylon (L.) Pers.	1938
685	Cynodon incompletus Nees	5674825	Plantae	plants	1895.0		introduced	to be determined by experts	Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cynodon incompletus var. hirsutus (Stent) de Wet & Harlan	1939
686	Cynoglossum amabile Stapf & Drummond	2925816	Plantae	plants	2011.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cynoglossum amabile Stapf & Drummond	825
687	Cynoglossum clandestinum Desf.	4064572	Plantae	plants	1948.0		introduced	to be determined by experts	Europe	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cynoglossum clandestinum Desf.	826
688	Cynosurus echinatus L.	2704394	Plantae	plants	1824.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	present	present	Cynosurus echinatus L.	1940
689	Cyperus aggregatus (Willd.) Endl.	2713662	Plantae	plants	1887.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cyperus aggregatus (Willd.) Endl.	1166
690	Cyperus congestus Vahl	2714656	Plantae	plants	1886.0		introduced	to be determined by experts	Africa	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Cyperus congestus Vahl	1167
691	Cyperus conglomeratus Rottb.	2714301	Plantae	plants	1947.0		introduced	to be determined by experts	Africa | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cyperus conglomeratus Rottb.	1168
692	Cyperus cyperoides (L.) Kuntze	2714453	Plantae	plants	2000.0		introduced	to be determined by experts	Africa | Asia	contaminant > seed contaminant	present	present	absent	absent	Cyperus cyperoides (L.) Kuntze	1169
693	Cyperus difformis L.	2714796	Plantae	plants	1911.0		introduced	to be determined by experts	Europe | Africa | Asia | Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cyperus difformis L.	1170
694	Cyperus eragrostis Lam.	2715482	Plantae	harmonia | plants	1896.0		established | invasive	terrestrial | to be determined by experts	N. America | S. America | S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant | escape > to be determined by experts	present	present	present | to be determined by experts	absent | to be determined by experts	Cyperus eragrostis Lam.	67 | 1171
695	Cyperus esculentus L.	2716226	Plantae	plants	1981.0		established	to be determined by experts	N. America	contaminant > seed contaminant	present	present	absent	absent	Cyperus esculentus var. leptostachyus Boeckeler	1172
696	Cyperus exaltatus Retz.	2715206	Plantae	plants	1911.0		introduced	to be determined by experts	Africa | N. America | S. America | Asia | Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cyperus exaltatus Retz.	1173
697	Cyperus imbricatus Retz.	2714233	Plantae	plants	1947.0		introduced	to be determined by experts	Africa | N. America | S. America | Asia | Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cyperus imbricatus Retz.	1174
698	Cyperus involucratus Rottb.	2714166	Plantae	plants	1953.0		introduced	to be determined by experts	Africa	escape > horticulture	present	absent	present	absent	Cyperus involucratus Rottb.	1175
699	Cyperus longus subsp. badius (Desf.) Bonnier & Layens	7421129	Plantae	plants	1816.0		introduced	to be determined by experts	Europe | Africa | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cyperus longus subsp. badius (Desf.) Bonnier & Layens	1176
700	Cyperus longus subsp. longus	7070211	Plantae	plants	1911.0		established	to be determined by experts	Europe | Africa | Asia	escape > horticulture	present	present	present	absent	Cyperus longus subsp. longus	1177
701	Cyperus reflexus Vahl	2714722	Plantae	plants	1887.0		introduced	to be determined by experts	N. America | S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cyperus reflexus Vahl	1179
702	Cyperus rigens J.Presl & C.Presl	2713519	Plantae	plants	1949.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cyperus rigens J.Presl & C.Presl	1180
703	Cyperus rotundus L.	2714818	Plantae	plants	1951.0		introduced	to be determined by experts	Africa | N. America | S. America | Asia | Oceania	escape > live food and live bait	present	present	absent	absent	Cyperus rotundus L.	1181
704	Cyperus virens Michx.	2716420	Plantae	plants	1947.0		introduced	to be determined by experts	N. America | S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Cyperus virens Michx.	1182
706	Cyrtomium falcatum (L. fil.) Presl	8656764	Plantae	plants	1998.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Cyrtomium falcatum (L. fil.) Presl	1190
707	Cyrtomium fortunei J. Sm.	2650827	Plantae	plants	2002.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Cyrtomium fortunei J. Sm.	1191
708	Cytisophyllum sessilifolium (L.) O.Lang	2940408	Plantae	plants	1949.0		introduced	to be determined by experts	Europe	escape > horticulture	present	absent	present	absent	Cytisus sessilifolius L.	1270
709	Cytisus decumbens (Durande) Spach	5354676	Plantae	plants	1858.0		introduced	to be determined by experts	Europe	unknown	present	absent	present	absent	Cytisus decumbens (Durande) Spach	1267
710	Cytisus hirsutus L.	5354500	Plantae	plants	1872.0		introduced	to be determined by experts	Europe | Asia	unknown	present	present	present	absent	Cytisus hirsutus L.	1268
711	Cytisus multiflorus Sweet	7681436	Plantae	plants	1955.0		established	to be determined by experts	Europe	escape > horticulture	present	present	present	absent	Cytisus multiflorus Sweet	1269
712	Cytisus striatus (Hill) Rothm.	5354707	Plantae	plants	1992.0		established	to be determined by experts	Europe	escape > horticulture	present	present	present	absent	Cytisus striatus (Hill) Rothm.	1271
713	Daboecia cantabrica (Huds.) K. Koch	8400045	Plantae	plants	2012.0		introduced	to be determined by experts	Europe	escape > horticulture	present	present	absent	absent	Daboecia cantabrica (Huds.) K. Koch	1208
714	Dactyloctenium aegyptium (L.) Willd.	2706188	Plantae	plants	1882.0		introduced	to be determined by experts	Africa | Asia	unknown	present	present	absent	absent	Dactyloctenium aegyptium (L.) Willd.	1942
715	Dactyloctenium radulans (R.Br.) P.Beauv.	2706190	Plantae	plants	1887.0		introduced	to be determined by experts	Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	present	present	absent	Dactyloctenium radulans (R.Br.) P.Beauv.	1943
716	Dahlia coccinea Cav.	5387098	Plantae	plants	2015.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	absent	absent	Dahlia coccinea Cav.	607
717	Dama dama (Linnaeus, 1758)	5220136		harmonia	1850.0		established	terrestrial	Europe	release > to be determined by experts	present	absent	present	to be determined by experts	Dama dama (Linnaeus, 1758)	68
718	Danae racemosa (L.) Moench	5303891	Plantae	plants	2015.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Danae racemosa (L.) Moench	469
719	Darmera peltata (Torr. ex Benth.) Voss	3032611	Plantae	plants	2011.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	absent	absent	Darmera peltata (Torr. ex Benth.) Voss	2514
720	Dasiphora fruticosa (L.) Rydb.	5370380	Plantae	plants	1893.0		established	to be determined by experts	Europe | Asia | N. America	escape > horticulture	present	present	present	present	Dasiphora fruticosa (L.) Rydb.	2371
721	Dasypyrum villosum (L.) P. Candargy	7810452	Plantae	plants	1887.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Dasypyrum villosum (L.) P. Candargy	1944
722	Datura ferox L.	7894250	Plantae	plants	1938.0		introduced	to be determined by experts	Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Datura ferox L.	2551
723	Datura innoxia P. Miller	2928755	Plantae	plants	1949.0		introduced	to be determined by experts	S. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant | escape > horticulture	present	present	present	absent	Datura innoxia P. Miller	2552
724	Datura stramonium L.	2928751	Plantae	plants	1856.0		unknown	to be determined by experts	N. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Datura stramonium L.	2553
725	Daucus aureus Desf.	6027382	Plantae	plants	1921.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Daucus aureus Desf.	400
727	Daucus durieua Lange	3641853	Plantae	plants	1938.0		introduced	to be determined by experts	to be determined by experts	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Daucus durieua Lange	402
728	Daucus glochidiatus (Labill.) Fischer, C. Meyer & Ave Lall.	6027313	Plantae	plants	1892.0		introduced	to be determined by experts	Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Daucus glochidiatus (Labill.) Fischer, C. Meyer & Ave Lall.	403
729	Decaisnea insignis (Griff.) Hook. fil. & Thoms.	5686494	Plantae	plants	2015.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Decaisnea insignis (Griff.) Hook. fil. & Thoms.	1589
730	Delosperma cooperi (Hook. fil.) L. Bol.	8078333	Plantae	plants	2009.0		introduced	to be determined by experts	Africa	escape > horticulture	present	present	absent	absent	Delosperma cooperi (Hook. f.) L. Bolus	244
731	Delphinium elatum L.	3033757	Plantae	plants	1949.0		introduced	to be determined by experts	unknown	escape > horticulture	present	absent	present	absent	Delphinium elatum L.	2302
732	Dendrocoelum romanodanubiale Codreanu, 1949	4344674	Animalia	macroinvertebrates	2001.0	2001	established	freshwater	Europe	corridor > interconnected waterways/basins/seas	present	present	to be determined by experts	to be determined by experts	Dendrocoelum romanodanubiale Codreanu, 1949	235
733	Descurainia incisa (Engelm. ex A. Gray) Britton	8610311	Plantae	plants	1893.0		introduced	to be determined by experts	N. America	contaminant > seed contaminant	present	present	absent	absent	Descurainia incisa (Engelm. ex A. Gray) Britton	898
734	Descurainia pinnata (Walter) Britton	3044133	Plantae	plants	1894.0		introduced	to be determined by experts	N. America	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	absent	Descurainia pinnata (Walter) Britton	899
735	Desmanthus illinoensis (Michx.) MacMill.	5360112	Plantae	plants	1995.0		introduced	to be determined by experts	N. America	contaminant > seed contaminant	present	present	absent	absent	Desmanthus illinoensis (Michx.) Robinson & Fernald	1272
736	Desmazeria sicula (Jacq.) Dumort.	4142153	Plantae	plants	1889.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	present	absent	Desmazeria sicula (Jacq.) Dumort.	1945
737	Deutzia scabra Thunb.	2985965	Plantae	plants	1984.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Deutzia scabra Thunb.	1472
738	Diadumene lineata (Verrill, 1869)	4283395	Animalia	wrims	1998.0		established	to be determined by experts, primarily marine probably	to be determined by experts	to be determined by experts	present		to be determined by experts	to be determined by experts	Diadumene lineata (Verrill, 1869)	9411
739	Dianthus barbatus L.	3085421	Plantae	plants	1867.0		introduced	to be determined by experts	Europe	escape > horticulture	present	present	present	absent	Dianthus barbatus L.	1037
740	Dianthus caryophyllus L.	3085420	Plantae	plants	1972.0		introduced	to be determined by experts	to be determined by experts	escape > horticulture	present	present	absent	present	Dianthus caryophyllus L.	1038
741	Dianthus giganteus subsp. giganteus	7267631	Plantae	plants	1993.0		unknown	to be determined by experts	Europe | Asia	escape > horticulture	present	absent	present	absent	Dianthus giganteus subsp. giganteus	1039
