index	taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
index		plants	Amaranthus clementii Domin	 					Amaranthaceae								Cas.						Wool	A		AUS			X					1939		1949					
index		plants	Amaranthus crispus (Lesp. et Thév.) N. Terrac.						Amaranthaceae								Cas.						Wool,etc	A		SAM			X					1884		1959					
index		plants	Amaranthus cruentus L.	Amaranthus hybridus L. subsp. cruentus (L.) Thell.					Amaranthaceae								Cas.						Hort.	D		SAM			X					2005		2005					
index		plants	Amaranthus deflexus L.						Amaranthaceae								Nat.						Grain, wool,etc	A		SAM		X	X					<1850		N					
index		plants	Amaranthus graecizans L.						Amaranthaceae								Cas.						Wool,etc	A		E AF AS		X	X					1874		1962					
index		plants	Amaranthus hybridus L. subsp. hybridus var. hybridus						Amaranthaceae								Nat.						Grain, wool,etc	A		AM		X	X	X				1870		N					
index		plants	Amaranthus hybridus L. subsp. hybridus var. pseudoretroflexus (Thell.) Carretero	Amaranthus powelii S. Watson					Amaranthaceae								Cas.						Grain, wool,etc	A		NAM		X	X	X				1904		2004					
index		plants	Amaranthus hybridus L. subsp. quitensis (Kunth) Costea et Carretero	Amaranthus quitensis Kunth					Amaranthaceae								Cas.						Grain, wool,etc	A		SAM		X	X	X				1898		2013					
index		plants	Amaranthus hypochondriacus L.	Amaranthus hybridus subsp. hybridus var. erythrostachys Moq.					Amaranthaceae								Cas.						Hort.	D		NAM		X	X					1857		Ann.					
index		plants	Amaranthus macrocarpus Benth. var. macrocarpus						Amaranthaceae								Cas.						Wool	A		AUS			X					1911		1949					
index		plants	Amaranthus macrocarpus Benth. var. pallidus Benth.						Amaranthaceae								Cas.						Wool	A		AUS			X					1947		1949					
index		plants	Amaranthus mitchellii Benth.						Amaranthaceae								Cas.						Wool	A		AUS			X					1892		1948					
index		plants	Amaranthus muricatus (Moq.) Hieron.						Amaranthaceae								Cas.						Wool,etc	A		SAM		X	X					1947		1975					
index		plants	Amaranthus palmeri S. Watson						Amaranthaceae								Cas.						Grain	A		NAM		X	X	X				1952		2009					
index		plants	Amaranthus polygonoides L.						Amaranthaceae								Cas.						Wool	A		AM			X					1959		1959					
index		plants	Amaranthus powellii S. Watson subsp. bouchonii (Thell.) Costea et Carretero	Amaranthus bouchonii Thell.					Amaranthaceae								Nat.						Grain,etc	A		E		X	X	X				1957		N					
index		plants	Amaranthus retroflexus L.						Amaranthaceae								Nat.						Grain, wool,etc	A		NAM		X	X	X				1857		N					
index		plants	Amaranthus scleropoides Uline et Bray						Amaranthaceae								Cas.						Wool	A		NAM			X					1959		1959					
index		plants	Amaranthus spinosus L.						Amaranthaceae								Cas.						Grain, wool,etc	A		Trop.		X	X					1887		2007					
index		plants	Amaranthus standleyanus Parodi ex Covas						Amaranthaceae								Cas.						Grain, wool,etc	A		SAM		X	X					1903		2009					
index		plants	Amaranthus thunbergii Moq.						Amaranthaceae								Cas.						Wool,etc	A		AF		X	X					1857		1975					
index		plants	Amaranthus tuberculatus (Moq.) Sauer						Amaranthaceae								Cas.						Grain	A		NAM		X						1992		2005					
index		plants	Amaranthus tuberculatus (Moq.) Sauer var. rudis (Sauer) Costea et Tardif	Amaranthus rudis Sauer					Amaranthaceae								Cas.						Grain	A		NAM		X						1983		2003					
index		plants	Amaranthus viridis L.						Amaranthaceae								Cas.						Wool, grain,etc	A		SAM		X	X					1905		2013					
index		plants	Amaranthus x ozanonii (Thell.) C. Schuster et M. Goldschm. (A. hybridus x retroflexus)						Amaranthaceae								Cas.						Hybridization	A		Hybr.		X	X					1983		2011					
index		plants	Amaranthus x ralletii Contré (A. bouchonii x retroflexus)						Amaranthaceae								Cas.						Hybridization	A		Hybr.				X				1985		1985					
index		plants	Atriplex eardleyae Aell.						Amaranthaceae								Cas.						Wool	A		AUS			X					1906		1906					
index		plants	Atriplex halimus L.						Amaranthaceae								Cas.						Hort.	D		E AF AS-Te		X						1922		1929					
index		plants	Atriplex holocarpa F. Muell.	Senniella spongiosa (F. Muell.) Aell. var. holocarpa (F. Muell.) Aell.					Amaranthaceae								Cas.						Wool	A		AUS			X					1906		1906					
index		plants	Atriplex hortensis L.						Amaranthaceae								Cas.						Hort., wool, grain	D		AS-Te		X	X	X				1859		Ann.					
index		plants	Atriplex leptocarpa F. Muell.						Amaranthaceae								Cas.						Wool	A		AUS			X					1911		1951					
index		plants	Atriplex micrantha Ledeb.						Amaranthaceae								Nat.						Wool,etc	A		AS-Te		X	X	X				1957		N					
index		plants	Atriplex muelleri Benth.						Amaranthaceae								Cas.						Wool	A		AUS			X					1947		1951					
index		plants	Atriplex oblongifolia Waldst. et Kit.						Amaranthaceae								Cas.						?	A		E AF AS-Te			X					<1850		<1850					
index		plants	Atriplex pseudocampanulata Aell.						Amaranthaceae								Cas.						Wool	A		AUS			X					1895		1895					
index		plants	Atriplex rosea L.						Amaranthaceae								Cas.						Wool,etc	A		E AF AS-Te		X	X					<1830		1953					
index		plants	Atriplex sagittata Borkh.						Amaranthaceae								Cas.						Wool,etc	A		E AS-Te		X	X	X				1853		1983					
index		plants	Atriplex semibaccata R. Brown						Amaranthaceae								Cas.						Wool	A		AUS			X					1947		1947					
index		plants	Atriplex sibirica L.						Amaranthaceae								Cas.						?	A		AS-Te				X				1967		1967					
index		plants	Atriplex suberecta Verdoorn						Amaranthaceae								Cas.						Wool	A		AUS			X					1903		1954					
index		plants	Atriplex tatarica L.						Amaranthaceae								Cas.						Grain, wool,etc	A		E AS-Te		X	X	X				<1835		1999					
index		plants	Axyris amaranthoides L.						Amaranthaceae								Cas.						Grain,etc	A		AS-Te		X	X	X				1918		2005					
index		plants	Bassia hyssopifolia (Pallas) O. Kuntze						Amaranthaceae								Cas.						Wool,etc	A		E AS-Te		X	X					<1861		1967					
index		plants	Bassia laniflora (S.G. Gmel.) A.J. Scott						Amaranthaceae								Cas.						?	A		E AS-Te		X						<1861		<1861					
index		plants	Bassia scoparia (L.) Voss s.l.						Amaranthaceae								Nat.						Grain, wool,etc	A		E AS-Te		X	X	X				<1835		N					
index		plants	Beta macrocarpa Guss.						Amaranthaceae								Cas.						Grain, wool	A		E AF		X	X					1910		2015					
index		plants	Beta trigyna Waldst. et Kit.						Amaranthaceae								Cas.						Grain,etc	A		E AS-Te		X	X					1859		1913					
index		plants	Beta vulgaris L. subsp. vulgaris						Amaranthaceae								Cas.						Agric.	D		?		X	X	X				1891		Ann.					
index		plants	Blitum capitatum L.	Chenopodium capitatum (L.) Ambr.					Amaranthaceae								Cas.						Agric.	D		?		X	X	X				<1850		1980					
index		plants	Blitum nuttallianum Schult.	Monolepis nuttalliana (Schult.) E. Greene					Amaranthaceae								Cas.						Grain,etc	A		NAM AS-Te		X						<1900		1994					
index		plants	Blitum virgatum L.	Chenopodium foliosum Aschers.					Amaranthaceae								Nat.						Ore, wool,etc	A		E AF AS-Te		X	X	X				1858		N					
index		plants	Chenopodiastrum simplex (Torr.) Fuentes & al.	Chenopodium simplex (Torr.) Rafin.					Amaranthaceae								Cas.						Grain?	A		NAM		X	X					1882		1970					
index		plants	Chenopodium album L. x hircinum						Amaranthaceae								Cas.						Hybridization	A		Hybr.		X						1954		1954					
index		plants	Chenopodium album L. x missouriense 						Amaranthaceae								Cas.						Hybridization	A		Hybr.		?	?	?				?		?					
index		plants	Chenopodium album L. x probstii 						Amaranthaceae								Cas.						Hybridization	A		Hybr.		?	?	?				?		?					
index		plants	Chenopodium auricomiforme J. Murr et Thell.						Amaranthaceae								Cas.						Wool	A		AUS			X					1911		1911					
index		plants	Chenopodium berlandieri Moq.						Amaranthaceae								Nat.						Ore?	A		NAM		X		X				1918		N					
index		plants	Chenopodium borbasioides A. Ludwig						Amaranthaceae								Cas.						Wool	A		SAM			X					1947		1962					
index		plants	Chenopodium bushianum Aell.						Amaranthaceae								Cas.						Grain?	A		NAM		X						1952		1952					
index		plants	Chenopodium giganteum D. Don						Amaranthaceae								Cas.						Grain, wool	A		AS-Tr  		X	X					1947		2005					
index		plants	Chenopodium hircinum Schrad.						Amaranthaceae								Cas.						Wool,etc	A		SAM		X	X	X				1874		1983					
index		plants	Chenopodium missouriense Aell.						Amaranthaceae								Cas.						Grain	A		NAM		X						2003		2003					
index		plants	Chenopodium opulifolium Schrad. ex Koch et Ziz						Amaranthaceae								Cas.						Wool, grain,etc	A		E AF AS-Te		X	X	X				1857		2015					
index		plants	Chenopodium pratericola Rydberg s.l.						Amaranthaceae								Cas.						Grain,etc	A		NAM		X	X	X				1893		1953					
index		plants	Chenopodium probstii Aell.						Amaranthaceae								Cas.						Grain, wool,etc	A		NAM		X	X	X				1954		2015					
index		plants	Chenopodium quinoa Willd.						Amaranthaceae								Cas.						Agric.	D		SAM		X	X					1991		1994					
index		plants	Chenopodium striatiforme J. Murr						Amaranthaceae								Cas.						?	A		E		X	X					1862		1967					
index		plants	Chenopodium suecicum J. Murr						Amaranthaceae								Cas.						?	A		E AS-Te			X					1971		1971					
index		plants	Chenopodium x pelgrimsianum Aell. (C. album L. x bushianum)						Amaranthaceae								Cas.						Hybridization	H		Hybr.		X						1952		1952					
index		plants	Chenopodium x preissmannii J. Murr (C. album L. x opulifolium)						Amaranthaceae								Cas.						Hybridization	H		Hybr.		?	?	?				?		?					
index		plants	Chenopodium x reynieri Ludwig et Aellen (C. album L. x giganteum)						Amaranthaceae								Cas.						Hybridization	H		Hybr.		X						2015		2015					
index		plants	Corispermum gmelinii Bunge						Amaranthaceae								Cas.						Grain	A		AS-Te		X						2009		2009					
index		plants	Corispermum pallasii Steven						Amaranthaceae								Nat.						Ore	A		AS-Te		X	X	X				1917		N					
index		plants	Dysphania ambrosioides (L.) Mosyakin et Clemants	Chenopodium ambrosioides L. s.l.					Amaranthaceae								Nat.						Wool, grain,etc	A		SAM		X	X	X				<1850		N					
index		plants	Dysphania botrys (L.) Mosyakin et Clemants	Chenopodium botrys L.					Amaranthaceae								Cas.						Ore, wool,etc	A		E AF AS-Te		X	X					1829		2015					
index		plants	Dysphania carinata (R. Brown) Mosyakin et Clemants	Chenopodium carinatum R. Brown					Amaranthaceae								Cas.						Wool	A		AUS		X	X					1940		1995					
index		plants	Dysphania cristata (F. Muell.) Mosyakin et Clemants	Chenopodium cristatum (F. Muell.) F. Muell.					Amaranthaceae								Cas.						Wool	A		AUS			X					1899		1972					
index		plants	Dysphania glomulifera (Nees) P.G. Wilson						Amaranthaceae								Cas.						Wool	A		AUS			X					1904		1924					
index		plants	Dysphania multifida (L.) Mosyakin et Clemants	Chenopodium multifidum L.					Amaranthaceae								Cas.						Wool,etc	A		SAM		X	X	X				1882		1948					
index		plants	Dysphania pseudomultiflora (J. Murr) Verloove et Lambinon	Chenopodium pseudomultiflorum (J. Murr) Uotila					Amaranthaceae								Cas.						Wool	A		AF			X					1947		1947					
index		plants	Dysphania pumilio (R. Brown) Mosyakin et Clemants	Chenopodium pumilium R. Brown					Amaranthaceae								Nat.						Grain, wool,etc	A		AUS		X	X	X				1887		N					
index		plants	Dysphania schraderiana (Schult.) Mosyakin et Clemants	Chenopodium schraderianum Schult.					Amaranthaceae								Cas.						Wool,etc	A		AF		X	X					1886		2011					
index		plants	Einadia polygonoides (J. Murr) Wilson	Chenopodium polygonoides (J. Murr) Aell.					Amaranthaceae								Cas.						Wool	A		AUS			X					1951		1951					
index		plants	Oxybasis glauca (L.) Fuentes & al. var. salina (Standley) Verloove	Chenopodium glaucum L. var. salinum (Standley) B. Boivin					Amaranthaceae								Cas.						Grain,etc	A		NAM		X	X					2003		2015					
index		plants	Oxybasis macrosperma (Hook. f.) Fuentes & al.	Chenopodium macrospermum Hook. f.					Amaranthaceae								Cas.						Wool,etc	A		SAM		X	X					1895		1904					
index		plants	Polycnemum arvense L.						Amaranthaceae								Cas.						Wool,etc	A		E AS-Te		X	X					<1835		1903					
index		plants	Ptilotus spicatus Benth.						Amaranthaceae								Cas.						Wool	A		AUS			X					1947		1947					
index		plants	Sclerolaena muricata (Moq.) Domin						Amaranthaceae								Cas.						Wool	A		AUS			X					1907		1911					
index		plants	Spinacia oleracea L.						Amaranthaceae								Cas.						Agric.	D		?		X	X	X				1872		2015					
index		plants	Spirobassia hirsuta (L.) Freitag et G. Kadereit	Bassia hirsuta (L.) Aschers.					Amaranthaceae								Cas.						?	A		E AS-Te		X						<1850		<1850					
index		plants	Allium carinatum L.						Amaryllidaceae								Ext.?						Hort.?	D?		E AS-Te			X					1811		1957					
index		plants	Allium christophii Trautv.						Amaryllidaceae								Cas.						Hort.	D		AS-Te		X						2011		2011					
index		plants	Allium fistulosum L.						Amaryllidaceae								Cas.						Hort.	D		AS-Te			X					<1850		<1850					
index		plants	Allium moly L.						Amaryllidaceae								Cas.						Hort.	D		E			X					1885		1885					
index		plants	Allium nigrum L.						Amaryllidaceae								Cas.						Hort.	D		E AF AS-Te		X						2013		2013					
index		plants	Allium paradoxum (Bieb.) G. Don var. paradoxum						Amaryllidaceae								Nat.						Hort.	D		AS-Te		X	X	 				1989		N					
index		plants	Allium porrum L.						Amaryllidaceae								Cas.						Agric.	D		?				X				1948		2015					
index		plants	Allium ramosum L. (s.l.)	Incl. A. tuberosum Rottler ex Spreng.					Amaryllidaceae								Cas.						Food refuse	D		AS-Te		X						2010		2010					
index		plants	Allium schoenoprasum L.						Amaryllidaceae								Nat.						Agric.	D		E		X	X	X				1836		N					
index		plants	Allium scorodoprasum L.						Amaryllidaceae								Nat.						Hort.	D		E		X	X					1925		N					
index		plants	Allium triquetrum L.						Amaryllidaceae								Nat.?						Hort.	D		E AF		X						2013		N?					
index		plants	Galanthus ikariae Baker						Amaryllidaceae								Cas.?						Hort.	D		E AS-Te				X				1984		1984					
index		plants	Galanthus nivalis L. var. nivalis						Amaryllidaceae								Nat.						Hort.	D		E AS-Te		X	X	X				1811		N					
index		plants	Galanthus nivalis L. var. scharlockii Caspary						Amaryllidaceae								Nat.?						Hort.	D		?		X	X					1939		N?					
index		plants	Galanthus x warei J. Allen (G. nivalis var. nivalis x nivalis var. scharlockii)						Amaryllidaceae								Cas.						Hort.	D		Hybr.			X					2003		2003					
index		plants	Galanthus woronowii Losinsk. 						Amaryllidaceae								Cas.						Hort.	D		AS-Te		X						2015		2015					
index		plants	Narcissus obvallaris Salisb.	N. pseudonarcissus L. subsp. obvallaris (Salisb.) A. Fern.					Amaryllidaceae								Nat.						Hort.	D		E		X						2014		N					
index		plants	Narcissus poeticus L.						Amaryllidaceae								Nat.						Hort.	D		E		X	X					1868		N					
index		plants	Narcissus pseudonarcissus L. subsp. major (Curt.) Baker						Amaryllidaceae								Nat.?						Hort.	D		E		?	?	?				?		?					
index		plants	Narcissus x incomparabilis Mill. (N. poeticus x pseudonarcissus)						Amaryllidaceae								Cas.						Hort.	D		Cult.		?	?	?				?		?					
index		plants	Tristagma uniflorum (Lindl.) Traub						Amaryllidaceae								Cas.						Hort.	D		SAM		X						2012		2015					
index		plants	Cotinus coggygria Scop.						Anacardiaceae								Cas.						Hort.	D		E		X	X					1957		2015					
index		plants	Rhus typhina L.						Anacardiaceae								Inv.						Hort. 	D		NAM		X	X					1898		N					
index		plants	Rhus x pulvinata E. Greene (R. glabra L. x typhina)						Anacardiaceae								Cas.						Hort. 	D		Hybr.			X					1983		1983					
index		plants	Ammi majus L.						Apiaceae								Nat.?						Grain,etc	A		E AF AS-Te		X	X	X				1813		N?					
index		plants	Ammi visnaga (L.) Lam.						Apiaceae								Cas.						Grain, wool,etc	A		E AF AS-Te		X	X					1880		2007					
index		plants	Anethum graveolens L.						Apiaceae								Cas.						Agric.	A/D		AS-Te		X	X	X				<1850		2015					
index		plants	Angelica archangelica L.						Apiaceae								Nat.						Hort., agric.	D		E AS-Te		X	X	X				<1850		N					
index		plants	Anthriscus cerefolium (L.) Hoffmann						Apiaceae								Nat.?						Agric.	D		E AF		X	X	X				1859		N?					
index		plants	Astrantia major L.						Apiaceae								Nat.						Hort.	D		E		X	X					1812		N					
index		plants	Bifora radians Bieb.						Apiaceae								Cas.						Grain, wool,etc	A		E AS-Te		X	X	X				1889		2014					
index		plants	Bifora testiculata (L.) Spreng.						Apiaceae								Cas.						Grain,etc	A		E AF AS-Te		X	X	X				1891		2015					
index		plants	Bupleurum croceum Fenzl						Apiaceae								Cas.						Grain	A		AS-Te		X		X				1938		2004					
index		plants	Bupleurum fruticosum L.						Apiaceae								Cas.						Hort.	D		E AF AS-Te			X					1975		1975					
index		plants	Bupleurum gerardi All.						Apiaceae								Cas.						Grain,etc	A		E AF AS-Te		X	X					1886		2010					
index		plants	Bupleurum odontites L.	Bupleurum fontanesii Guss. ex Caruel					Apiaceae								Cas.						Grain, etc	A		E AF AS-Te		X		X				1906		2015					
index		plants	Bupleurum praealtum L.						Apiaceae								Cas.						?	A		E AS-Te		X	X					<1835		1892					
index		plants	Bupleurum subovatum Link ex Spreng.						Apiaceae								Cas.						Grain, wool,etc	A		E AF AS-Te		X	X	X				1876		2015					
index		plants	Chaerophyllum aureum L.						Apiaceae								Nat.?						Hort.?	D?		E AS-Te		X	X					?		N?					
index		plants	Chaerophyllum bulbosum L.						Apiaceae								Cas.						Grain, hort.?	A/D?		E AS-Te		X	X	X				1873		2015					
index		plants	Chaerophyllum byzantinum Boiss.						Apiaceae								Cas.						Agric.	D		AS-Te			X					1989		1989					
index		plants	Coriandrum sativum L.						Apiaceae								Cas.						Agric.,etc	D/A		?		X	X	X				1885		2015					
index		plants	Cyclospermum leptophyllum (Pers.) Sprague ex Britton et P.G. Wilson						Apiaceae								Cas.						Grain, wool	A		AM		X	X					1893		2015					
index		plants	Daucus aureus Desf.						Apiaceae								Cas.						Grain, wool	A		E AF AS-Te		X	X					1921		2015					
index		plants	Daucus carota L. subsp. sativus (Hoffmann) Arcang.						Apiaceae								Cas.						Agric.	D		?		X	X					?		2015					
index		plants	Daucus durieua Lange						Apiaceae								Cas.						Wool	A		E AF AS-Te			X					1938		1938					
index		plants	Daucus glochidiatus (Labill.) Fisch., C.A. Mey. et Avé-Lall.						Apiaceae								Cas.						Wool	A		AUS			X					1892		1949					
index		plants	Eryngium bourgatii Gouan						Apiaceae								Cas.						Hort.	D		E AF AS-Te		X						2013		2013					
index		plants	Eryngium giganteum Bieb.						Apiaceae								Cas.						Hort.	D		AS-Te		X	X					1978		2005					
index		plants	Eryngium planum L.						Apiaceae								Cas.						Hort.	D		E AS-Te		X	X	X				1850		Ann.					
index		plants	Foeniculum vulgare Mill.						Apiaceae								Nat.						Agric.	D		E AF AS-Te		X	X	X				1820		N					
index		plants	Heracleum mantegazzianum Somm. et Lev.						Apiaceae								Inv.						Hort.	D		AS-Te		X	X	X				1945		N					
index		plants	Imperatoria ostruthium L. 	Peucedanum ostruthium (L.) Koch					Apiaceae								Nat.						Hort.	D		E			X					1811		N					
index		plants	Levisticum officinale Koch						Apiaceae								Cas.						Agric.	D		AS-Te		X	X					1870		2015					
index		plants	Myrrhis odorata (L.) Scop.						Apiaceae								Nat.						Agric.	D		E		X	X	X				1811		N					
index		plants	Oenanthe pimpinelloides L.						Apiaceae								Nat.						Nurseries,etc	A/D		E AS-Te		X		X				1859		N					
index		plants	Orlaya platycarpos Koch	Caucalis platycarpos L.					Apiaceae								Cas.						Grain	A		E AF AS-Te		X						2000		2011					
index		plants	Pastinaca sativa L. subsp. sativa 						Apiaceae								Cas.						Food refuse	D		Cult.		X						?		2015					
index		plants	Pastinaca sativa L. subsp. urens (Req. ex Godr.) Čelak.						Apiaceae								Nat.						Ore	A		E AS-Te		X	X	X				1947		N					
index		plants	Petroselinum crispum (Mill.) Nyman ex A.W. Hill						Apiaceae								Cas.						Agric.	D		AS-Te		X	X	X				1872		2015					
index		plants	Pimpinella anisum L.						Apiaceae								Cas.						Agric.	D		?		X		X				1928		2011					
index		plants	Pimpinella peregrina L.						Apiaceae								Nat.?						?	A		E AF AS-Te		X						2000		N?					
index		plants	Ridolfia segetum Moris						Apiaceae								Cas.						Grain, wool	A		E AF AS-Te		X	X					1921		2015					
index		plants	Scandix australis L. subsp. grandiflora (L.) Thell. 						Apiaceae								Cas.						Wool?	A		E AF AS-Te			X					1894		1894					
index		plants	Scandix balansae Reut. ex Boiss.						Apiaceae								Cas.						Grain	A		AS-Te		X						1997		1997					
index		plants	Scandix iberica Bieb.						Apiaceae								Cas.						Wool, grain	A		AS-Te		X	X	X				1908		1955					
index		plants	Scandix stellata Banks & Sol. 						Apiaceae								Cas.						?	A		E AF AS-Te				X				2013		2013					
index		plants	Seseli montanum L.						Apiaceae								Cas.						?	A		E		X	X					1815		1952					
index		plants	Smyrnium perfoliatum L.						Apiaceae								Cas.						Hort.	D		E AS-Te		X	X					1850		2015					
index		plants	Tordylium maximum L. 						Apiaceae								Cas.						Grain,etc	A		E AS-Te		X						2004		2015					
index		plants	Torilis africana Spreng. 	Torilis arvensis (Huds.) Link subsp. purpurea (Ten.) Hayek					Apiaceae								Cas.						Grain	A		E AF AS-Te		X						1999		2001					
index		plants	Torilis leptophylla (L.) Reichenb. f.						Apiaceae								Cas.						Wool, grain	A		E AF AS-Te			X					1872		1955					
index		plants	Trachyspermum ammi (L.) Sprague ex Turrill						Apiaceae								Cas.						Wool,etc	A		?			X	X				1892		1985					
index		plants	Asclepias incarnata L.						Apocynaceae								Cas.						Hort.	D		NAM		X						2009		2012					
index		plants	Asclepias syriaca L.						Apocynaceae								Nat.?						Hort.	D		NAM		X		X				1987		N?					
