index	taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
index		fishes	Acipenser baeri											Siberian sturgeon			A						AQ, OR			AS									2001						
index		fishes	Acipenser guldenstaedti											Russian sturgeon			A						AQ, OR			EE									2005						
index		fishes	Acipenser ruthenus											Sterlet			A						AQ, OR			EE									20xx						
index		fishes	Ameiurus nebulosus											Brown bullhead			N						AQ, OR			NA									1871						
index		fishes	Aspius aspius											Asp			N						AN			EE									1984						
index		fishes	Carassius auratus											Goldfish			A						OR			AS									17th c.						
index		fishes	Carassius gibelio											Gibel carp			N						UN			AS or EE									17th c.						
index		fishes	Clarias gariepinus											African catfish			A*						AQ			AFR									1980s						
index		fishes	Ctenopharyngodon idella											Grass carp			A						BC			AS									1967						
index		fishes	Cyprinus carpio											Common carp			N						AQ			EE									13th c.						
index		fishes	Hypophthalmichthys molitrix											Silver carp			A						BC			AS									1975						
index		fishes	Hypophthalmichthys nobilis											Bighead carp			A						BC			AS									1975						
index		fishes	Ictalurus punctatus											Channel catfish			A						AQ			NA									1884						
index		fishes	Lepomis gibbosus											Pumpkinseed			N						OR			NA									1885						
index		fishes	Neogobius melanostomus											Round goby			N						BW, AM			EE									2010						
index		fishes	Oncorhynchus mykiss											Rainbow trout			A						AQ, AN			NA									1884						
index		fishes	Oreochromis niloticus											Nile tilapia			A*						AQ			AFR									1990						
index		fishes	Pimephales promelas											Fathead minnow			N						AN			NA									1984						
index		fishes	Ponticola kessleri											Bighead goby			N						BW, AM			EE									2012						
index		fishes	Proterorhinus semilunairs											Tubenose goby			N						AM			EE									2010						
index		fishes	Pseudorasbora parva											Topmouth gudgeon			N						UN, AN			AS									1992						
index		fishes	Sander lucioperca											Pikeperch			N						AN			EE									1890						
index		fishes	Umbra pygmaea											Eastern mudminnow			N						OR, AQ			NA									1920						
index		plants	Acanthus mollis L.						Acanthaceae								Cas.						Hort.	D		E AF		X	X					1998		2015					
index		plants	Acorus calamus L.						Acoraceae								Nat.						Hort.	D		AS-Te		X	X	X				1680		N					
index		plants	Actinidia deliciosa (Chevalier) C.S. Liang et A.R. Ferguson						Actinidiaceae								Cas.						Food refuse	D		AS-Te		X	X					2000		Ann.					
index		plants	Sambucus canadensis L.						Adoxaceae								Cas.						Hort.	D		NAM		X						1972		2015					
index		plants	Viburnum davidii Franch.						Adoxaceae								Cas.						Hort.	D		AS-Te		X						2014		2015					
index		plants	Viburnum rhytidophyllum Hemsl.						Adoxaceae								Cas.						Hort.	D		AS-Te		X	X	X				1990		N					
index		plants	Viburnum tinus L.						Adoxaceae								Cas.						Hort.	D		E		X						2007		2015					
index		plants	Viburnum x rhytidophylloides Suringar (V. lantana x rhytidophyllum)						Adoxaceae								Cas.						Hort.	D		Hybr.		X						2013		2015					
index		plants	Delosperma cooperi (Hook.f.) L. Bolus						Aizoaceae								Cas.						Hort.	D		AF		X						2009		2009					
index		plants	Mesembryanthemum cordifolium L.f. 	Aptenia cordifolia (L. f.) Schwantes					Aizoaceae								Cas.						Wool	A		AF			X					1892		1947					
index		plants	Mesembryanthemum crystallinum L.						Aizoaceae								Cas.						Hort.	D		AF			X					1955		1955					
index		plants	Mesembryanthemum nodiflorum L.						Aizoaceae								Cas.						Wool	A		E AF AS-Te			X					1895		1949					
index		plants	Sesuvium portulacastrum (L.) L.						Aizoaceae								Cas.						Wool?	A		Trop.			X					1907		1907					
index		plants	Tetragonia tetragonioides (Pallas) O. Kuntze						Aizoaceae								Cas.						Agric., wool	A/D		AS-Tr AUS SAM		X	X	X				1888		2015					
index		plants	Sagittaria latifolia Willd.						Alismataceae								Nat.						Hort.	D		AM		X	X					1997		N					
index		plants	Liquidambar styraciflua L.						Altingiaceae								Cas.						Hort.	D		NAM		X						2007		2015					
index		plants	Alternanthera angustifolia R. Brown						Amaranthaceae								Cas.						Wool	A		AUS			X					1895		1895					
index		plants	Alternanthera caracasana Humb., Bonpl. et Kunth						Amaranthaceae								Cas.						Wool	A		SAM			X					1947		1948					
index		plants	Alternanthera denticulata R. Brown						Amaranthaceae								Cas.						Wool	A		AUS			X					1895		1947					
index		plants	Alternanthera nodiflora R. Brown						Amaranthaceae								Cas.						Wool	A		AF AS-Tr AUS			X					1947		1947					
index		plants	Alternanthera paronychioides A. St. Hil.						Amaranthaceae								Cas.						Wool	A		SAM			X					1911		1911					
index		plants	Alternanthera pungens Humb., Bonpl. et Kunth						Amaranthaceae								Cas.						Wool	A		SAM			X					<1949		<1949					
index		plants	Alternanthera sessilis (L.) DC.						Amaranthaceae								Cas.						Wool	A		Trop.			X					1911		1951					
index		plants	Alternanthera tenella Colla						Amaranthaceae								Cas.						Grain	A		SAM		X						2001		2002					
index		plants	Amaranthus acutilobus Uline et Bray						Amaranthaceae								Cas.						Wool	A		NAM			X					1908		1928					
index		plants	Amaranthus albus L.						Amaranthaceae								Nat.						Grain, wool,etc	A		NAM		X	X	X				1857		N					
index		plants	Amaranthus blitoides S. Watson						Amaranthaceae								Nat.						Grain, wool,etc	A		NAM		X	X					1886		N					
index		plants	Amaranthus blitum L. s.l.						Amaranthaceae								Nat.						Grain, wool,etc	A		E AF AS 		X	X	X				<1835		N					
index		plants	Amaranthus capensis Thell. subsp. capensis						Amaranthaceae								Cas.						Wool	A		AF			X					1890		1911					
index		plants	Amaranthus capensis Thell. subsp. uncinatus (Thell.) Brenan	Amaranthus dinteri Schinz var. uncinatus Thell.					Amaranthaceae								Cas.						Wool	A		AF			X					1890		1949					
index		plants	Amaranthus caudatus L.						Amaranthaceae								Cas.						Hort.	D		Trop.		X	X	X				1874		2015					
