index	taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
43	40	harmonia	Azolla filiculoides	Azolla caroliniana					Azollaceae					Water fern	Grote kroosvaren	Azolla	spread		b2	9	restricted		aquariums and ponds		freshwater	North America, South America	yes	yes	yes					1912					no	published	
44	41	harmonia	Baccharis halimifolia						Asteraceae					Eastern baccharis	Struikaster	Séneçon en arbre	spread		a1	12	isolated		agri- and horticulture		terrestrial	North America	yes	yes	no					1924					no	published	
45	42	harmonia	Bidens frondosa						Asteraceae					Large-leaved beggarticks	Zwart tandzaad	Bident à fruits noirs	stabilization		b3	9	widespread		accidental		terrestrial	North America	yes	yes	yes					1886					no	published	
46	147	harmonia	Branta canadensis						Anatidae					Canada goose	Canadese gans	Bernache du canada	spread		a3	12	widespread		pets and domestic animals		freshwater	North America	yes	yes	yes					1973					no	published	
47	21	harmonia	Branta canadensis						Anatidae					Canada goose	Canadese gans	Bernache du canada	spread		a3	12	widespread		pets and domestic animals		freshwater	North America	yes	yes	yes					1973					no	draft	
48	43	harmonia	Branta leucopsis						Anatidae					Barnacle goose	Brandgans	Bernache nonnette	spread		c	0	restricted				freshwater	Europe	yes	yes	no					1980					no	pending	
49	44	harmonia	Buddleja davidii						Buddlejaceae					Butterfly bush	Vlinderstruik	Arbre aux papillons	spread		b3	10	widespread		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1942					no	published	
50	120	harmonia	Cabomba caroliniana	Cabomba australis					Cabombaceae					Carolina fanwort	Waterwaaier	Cabomba			b0	10			aquariums and ponds		freshwater	South America	no												no	published	
51	126	harmonia	Callosciurus erythraeus						Sciuridae					Pallas's squirrel, Red-bellied tree squirrel	Pallas eekhoorn	Ecureuil à ventre rouge	naturalization		a1	11	isolated		pets and domestic animals		terrestrial	Asia	yes	yes	no					2005					yes	published	
52	127	harmonia	Callosciurus finlaysonii						Sciuridae					Finlayson's squirrel	Thaise eekhoorn	Ecureuil de finlayson			a0	11			pets and domestic animals		terrestrial	Asia	no												no	published	
53	45	harmonia	Campylopus introflexus											Campylopus moss					a3	1	widespread		accidental		terrestrial		yes	yes	yes					1966					no	pending	
54	2	harmonia	Carassius gibelio						Cyprinidae					Prussian carp	Giebel	Gibèle	spread		a3	12	widespread		aquariums and ponds		freshwater	Asia, Europe	yes	yes	yes					1750					no	published	
