taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	usageKey	canonicalName	rank	matchType	confidence	acceptedKey
	plants	Mesembryanthemum cordifolium L. f.	Aptenia cordifolia (L. f.) Schwantes					Aizoaceae								SYNONYM						Wool	A		AF			X					1892		1947						3084878	Mesembryanthemum cordifolium	SPECIES	EXACT	100	5384309
	plants	Mesembryanthemum crystallinum L.						Aizoaceae								ACCEPTED						Hort.	D		AF			X					1955		1955						3084839	Mesembryanthemum crystallinum	SPECIES	EXACT	100	3084839
	plants	Mesembryanthemum nodiflorum L.						Aizoaceae								ACCEPTED						Wool	A		E AF AS-Te			X					1895		1949						3084837	Mesembryanthemum nodiflorum	SPECIES	EXACT	100	3084837
	plants	Sesuvium portulacastrum (L.) L.						Aizoaceae								ACCEPTED						Wool?	A		Trop.			X					1907		1907						3084883	Sesuvium portulacastrum	SPECIES	EXACT	100	3084883
	plants	Tetragonia tetragonioides (Pall.) Kuntze						Aizoaceae								ACCEPTED						Agric., wool	A/D		AS-Tr AUS SAM		X	X	X				1888		2015						5384307	Tetragonia tetragonioides	SPECIES	EXACT	100	5384307
	plants	Sagittaria latifolia Willd.						Alismataceae								ACCEPTED						Hort.	D		AM		X	X					1997		N						5328909	Sagittaria latifolia	SPECIES	EXACT	100	5328909
	plants	Liquidambar styraciflua L.						Altingiaceae								ACCEPTED						Hort.	D		NAM		X						2007		2015						3152824	Liquidambar styraciflua	SPECIES	EXACT	100	3152824
	plants	Alternanthera angustifolia Moq.						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1895		1895						7323282	Alternanthera angustifolia	SPECIES	EXACT	100	7323282
	plants	Alternanthera caracasana Kunth						Amaranthaceae								ACCEPTED						Wool	A		SAM			X					1947		1948						3084958	Alternanthera caracasana	SPECIES	EXACT	100	3084958
	plants	Alternanthera denticulata Wall.						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1895		1947						7323192	Alternanthera denticulata	SPECIES	EXACT	100	7323192
	plants	Alternanthera nodiflora R.Br.						Amaranthaceae								ACCEPTED						Wool	A		AF AS-Tr AUS			X					1947		1947						7323675	Alternanthera nodiflora	SPECIES	EXACT	100	7323675
	plants	Alternanthera paronychioides A. St.-Hil.						Amaranthaceae								ACCEPTED						Wool	A		SAM			X					1911		1911						6429778	Alternanthera paronychioides	SPECIES	EXACT	100	6429778
	plants	Alternanthera pungens Kunth						Amaranthaceae								ACCEPTED						Wool	A		SAM			X					<1949		<1949						3084949	Alternanthera pungens	SPECIES	EXACT	100	3084949
	plants	Alternanthera sessilis (L.) R. Br. ex DC.						Amaranthaceae								ACCEPTED						Wool	A		Trop.			X					1911		1951						3084939	Alternanthera sessilis	SPECIES	EXACT	100	3084939
	plants	Alternanthera tenella Colla						Amaranthaceae								SYNONYM						Grain	A		SAM		X						2001		2002						3084968	Alternanthera tenella	SPECIES	EXACT	100	3084969
	plants	Amaranthus acutilobus Uline & W.L. Bray						Amaranthaceae								ACCEPTED						Wool	A		NAM			X					1908		1928						5384333	Amaranthus acutilobus	SPECIES	EXACT	100	5384333
	plants	Amaranthus albus L.						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		NAM		X	X	X				1857		N						5384372	Amaranthus albus	SPECIES	EXACT	100	5384372
	plants	Amaranthus blitoides S. Watson						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		NAM		X	X					1886		N						5384395	Amaranthus blitoides	SPECIES	EXACT	100	5384395
	plants	Amaranthus blitum L.						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		E AF AS 		X	X	X				<1835		N						5384336	Amaranthus blitum	SPECIES	EXACT	100	5384336
	plants	Amaranthus capensis subsp. capensis						Amaranthaceae								ACCEPTED						Wool	A		AF			X					1890		1911						7323341	Amaranthus capensis capensis	SUBSPECIES	EXACT	100	7323341
	plants	Amaranthus capensis subsp. uncinatus (Thell.) Brenan	Amaranthus dinteri Schinz var. uncinatus Thell.					Amaranthaceae								ACCEPTED						Wool	A		AF			X					1890		1949						5548011	Amaranthus capensis uncinatus	SUBSPECIES	EXACT	100	5548011
	plants	Amaranthus caudatus L.						Amaranthaceae								ACCEPTED						Hort.	D		Trop.		X	X	X				1874		2015						6109611	Amaranthus caudatus	SPECIES	EXACT	100	6109611
	plants	Amaranthus clementii Domin	 					Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1939		1949						5547989	Amaranthus clementii	SPECIES	EXACT	100	5547989
	plants	Amaranthus crispus (Lesp. & Thev.) N. Terracc.						Amaranthaceae								ACCEPTED						Wool,etc	A		SAM			X					1884		1959						5384341	Amaranthus crispus	SPECIES	EXACT	100	5384341
	plants	Amaranthus cruentus L.	Amaranthus hybridus L. subsp. cruentus (L.) Thell.					Amaranthaceae								ACCEPTED						Hort.	D		SAM			X					2005		2005						5384390	Amaranthus cruentus	SPECIES	EXACT	100	5384390
	plants	Amaranthus deflexus L.						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		SAM		X	X					<1850		N						5384396	Amaranthus deflexus	SPECIES	EXACT	100	5384396
	plants	Amaranthus graecizans L.						Amaranthaceae								ACCEPTED						Wool,etc	A		E AF AS		X	X					1874		1962						5384373	Amaranthus graecizans	SPECIES	EXACT	100	5384373
	plants	Amaranthus hybridus var. hybridus						Amaranthaceae								ACCEPTED						Grain, wool,etc	A		AM		X	X	X				1870		N						7323184	Amaranthus hybridus hybridus	VARIETY	EXACT	97	7323184
	plants	Amaranthus hybridus var. pseudoretroflexus (Thell.) Carretero	Amaranthus powelii S. Watson					Amaranthaceae								ACCEPTED						Grain, wool,etc	A		NAM		X	X	X				1904		2004						5547860	Amaranthus hybridus pseudoretroflexus	VARIETY	EXACT	100	5547860
	plants	Amaranthus hybridus subsp. quitensis (Kunth) Costea & Carretero	Amaranthus quitensis Kunth					Amaranthaceae								ACCEPTED						Grain, wool,etc	A		SAM		X	X	X				1898		2013						5547857	Amaranthus hybridus quitensis	SUBSPECIES	EXACT	100	5547857
	plants	Amaranthus hypochondriacus L.	Amaranthus hybridus subsp. hybridus var. erythrostachys Moq.					Amaranthaceae								ACCEPTED						Hort.	D		NAM		X	X					1857		Ann.						6109718	Amaranthus hypochondriacus	SPECIES	EXACT	100	6109718
	plants	Amaranthus macrocarpus var. macrocarpus						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1911		1949						7323834	Amaranthus macrocarpus macrocarpus	VARIETY	EXACT	100	7323834
	plants	Amaranthus macrocarpus var. pallidus Benth.						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1947		1949						5548724	Amaranthus macrocarpus pallidus	VARIETY	EXACT	100	5548724
	plants	Amaranthus mitchellii Benth.						Amaranthaceae								ACCEPTED						Wool	A		AUS			X					1892		1948						7323810	Amaranthus mitchellii	SPECIES	EXACT	100	7323810
	plants	Amaranthus muricatus (Moq.) Hieron.						Amaranthaceae								ACCEPTED						Wool,etc	A		SAM		X	X					1947		1975						5384332	Amaranthus muricatus	SPECIES	EXACT	100	5384332
	plants	Amaranthus palmeri S. Watson						Amaranthaceae								ACCEPTED						Grain	A		NAM		X	X	X				1952		2009						5384393	Amaranthus palmeri	SPECIES	EXACT	100	5384393
	plants	Amaranthus polygonoides L.						Amaranthaceae								ACCEPTED						Wool	A		AM			X					1959		1959						5384342	Amaranthus polygonoides	SPECIES	EXACT	100	5384342
