index	nameMatchValidation	taxonID	datasetName	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey	gbifapi_acceptedScientificName
20	ok		fishes	Pseudorasbora parva	Pseudorasbora parva		Animalia								Topmouth gudgeon			N						UN, AN			AS									1992								2362868	Pseudorasbora parva (Temminck & Schlegel, 1846)	Pseudorasbora parva	ACCEPTED	SPECIES	EXACT	100	2362868	Pseudorasbora parva (Temminck & Schlegel, 1846)
21	ok		fishes	Sander lucioperca	Sander lucioperca		Animalia								Pikeperch			N						AN			EE									1890								2382155	Sander lucioperca (Linnaeus, 1758)	Sander lucioperca	ACCEPTED	SPECIES	EXACT	100	2382155	Sander lucioperca (Linnaeus, 1758)
22	ok		fishes	Umbra pygmaea	Umbra pygmaea		Animalia								Eastern mudminnow			N						OR, AQ												1920								5203111	Umbra pygmaea (DeKay, 1842)	Umbra pygmaea	ACCEPTED	SPECIES	EXACT	100	5203111	Umbra pygmaea (DeKay, 1842)
23	ok	148	harmonia	Acer negundo	Acer negundo	Negundo fraxinifolium					Aceraceae				Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread		b2	9.0	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1955					no	pending			3189866	Acer negundo L.	Acer negundo	ACCEPTED	SPECIES	EXACT	100	3189866	Acer negundo L.
24	ok	103	harmonia	Acer negundo	Acer negundo	Negundo fraxinifolium					Aceraceae				Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread		b2	9.0	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1955					no	published			3189866	Acer negundo L.	Acer negundo	ACCEPTED	SPECIES	EXACT	100	3189866	Acer negundo L.
25	ok	119	harmonia	Acer rufinerve	Acer rufinerve	A. pensylvanicum ssp rufinerve					Aceraceae				Red veined maple	Grijze streepjesbastesdoorn	Erable à feuilles de vigne	naturalization		b1	10.0	isolated		agri- and horticulture		terrestrial	Asia	yes		yes					1990					no	published			7263145	Acer rufinerve Sieb. & Zucc.	Acer rufinerve	ACCEPTED	SPECIES	EXACT	100	7263145	Acer rufinerve Sieb. & Zucc.
26	ok	32	harmonia	Ailanthus altissima	Ailanthus altissima	Ailanthus glandulosa					Simaroubaceae				Tree of heaven	Hemelboom	Faux-vernis du japon	spread		a2	12.0	restricted		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1952					no	published			3190653	Ailanthus altissima (Miller) Swingle	Ailanthus altissima	ACCEPTED	SPECIES	EXACT	100	3190653	Ailanthus altissima (Miller) Swingle
27	ok	18	harmonia	Aix galericulata	Aix galericulata						Anatidae				Mandarin duck	Mandarijneend	Canard mandarin	spread		c	8.0	widespread		pets and domestic animals		freshwater	Asia	yes	yes	yes					1953					no	published			2498388	Aix galericulata (Linnaeus, 1758)	Aix galericulata	ACCEPTED	SPECIES	EXACT	100	2498388	Aix galericulata (Linnaeus, 1758)
28	ok	33	harmonia	Aix sponsa	Aix sponsa						Anatidae				Wood duck	Carolina-eend	Canard carolin	naturalization		c	1.0	isolated				freshwater	North America	yes	yes	no					1957					no	pending			2498387	Aix sponsa (Linnaeus, 1758)	Aix sponsa	ACCEPTED	SPECIES	EXACT	100	2498387	Aix sponsa (Linnaeus, 1758)
29	ok	121	harmonia	Akebia quinata	Akebia quinata						Lardizabalaceae				Five-leaf	Klimbes, Schijnaugurk	Akébie à cinq feuilles			b0	10.0			agri- and horticulture		terrestrial	Asia	no												no	published			3033965	Akebia quinata (Houtt.) Decne.	Akebia quinata	ACCEPTED	SPECIES	EXACT	97	3033965	Akebia quinata (Houtt.) Decne.
30	ok	19	harmonia	Alopochen aegyptiacus	Alopochen aegyptiacus						Anatidae				Egyptian goose	Nijlgans	Ouette d'egypte	spread		a3	12.0	widespread		pets and domestic animals		freshwater	Africa	yes	yes	yes					1984					no	published			2498253	Alopochen aegyptiacus (Linnaeus, 1766)	Alopochen aegyptiacus	SYNONYM	SPECIES	EXACT	100	2498252	Alopochen aegyptiaca (Linnaeus, 1766)
31	ok	34	harmonia	Ambrosia artemisiifolia	Ambrosia artemisiifolia	Ambrosia elatior					Asteraceae				Ragweed	Alsemambrosia	Ambroisie annuelle			c	8.0			accidental		terrestrial	North America	no												no	published			3110576	Ambrosia L.	Ambrosia	ACCEPTED	GENUS	HIGHERRANK	96	3110576	Ambrosia L.
32	ok	1	harmonia	Ameiurus nebulosus	Ameiurus nebulosus	Ictalurus nebulosus					Ictaluridae				Brown bullhead	Bruine amerikaanse dwergmeerval	Poisson-chat américain	regression		b2	10.0	restricted		aqua- and mariculture		freshwater	North America	yes	yes	yes					1871					no	published			2340989	Ameiurus nebulosus (Lesueur, 1819)	Ameiurus nebulosus	ACCEPTED	SPECIES	EXACT	100	2340989	Ameiurus nebulosus (Lesueur, 1819)
33	ok	35	harmonia	Amelanchier lamarckii	Amelanchier lamarckii	Amelanchier canadensis					Malaceae				Juneberry	Amerikaans krentenboompje	Amélanchier d'amérique	spread		b2	9.0	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1876					no	published			3024109	Amelanchier lamarckii F. G. Schroed.	Amelanchier lamarckii	ACCEPTED	SPECIES	EXACT	100	3024109	Amelanchier lamarckii F. G. Schroed.
34	ok	20	harmonia	Anser indicus	Anser indicus						Anatidae				Bar-headed goose	Indische gans	Oie à tête barrée	naturalization		b1	9.0	isolated		pets and domestic animals		freshwater	Asia	yes	yes	no					1966					no	published			2498035	Anser indicus (Latham, 1790)	Anser indicus	ACCEPTED	SPECIES	EXACT	100	2498035	Anser indicus (Latham, 1790)
35	ok	36	harmonia	Aspius aspius	Aspius aspius						Cyprinidae				Asp	Roofblei	Aspe	spread		b1	1.0	isolated		accidental		freshwater	Europe	yes	yes	yes					1990					no	pending			2360181	Aspius aspius (Linnaeus, 1758)	Aspius aspius	SYNONYM	SPECIES	EXACT	100	5851603	Leuciscus aspius (Linnaeus, 1758)
36	empty	38	harmonia		Aster americ.	A. lanceolatus, A. novi-belgii & A. salignus					Asteraceae				North American asters	Amerikaanse asters	Asters nord-américains	spread		a3	12.0	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1830					no	draft											
37	ok, updated to accepted	105	harmonia	Eurybia divaricata	Aster divaricatus	Eurybia divaricata									White wood aster					c	3.0	isolated		agri- and horticulture		terrestrial	North America	yes		yes					1946					no	pending			5396125	Eurybia divaricata (L.) G.L.Nesom	Eurybia divaricata	SYNONYM	SPECIES	EXACT	100	3139628	Croptilon divaricatum (Nutt.) Raf.
38	ok	104	harmonia	Aster laevis	Aster laevis						Asteraceae				Smooth aster	Gladde aster	Aster lisse			c	3.0	isolated		agri- and horticulture		terrestrial	North America	yes	yes	yes					1939					no	pending			3093921	Aster L.	Aster	ACCEPTED	GENUS	HIGHERRANK	91	3093921	Aster L.
39	ok	137	harmonia	Aster lanceolatus	Aster lanceolatus						Asteraceae				Narrow-leaved michaelmas daisy	Smalle aster	Aster lancéolé	spread		a2	11.0	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1835					no	published			7593922	Aster lanceolatus (Hook.)  in Kuntze	Aster lanceolatus	ACCEPTED	SPECIES	EXACT	97	7593922	Aster lanceolatus (Hook.)  in Kuntze
40	ok	143	harmonia	Aster novi-belgii	Aster novi-belgii						Asteraceae				Confused michaelmas daisy	Nieuw-nederlandse asters	Aster de viriginie	spread		b2	9.0	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1865					no	pending			3093921	Aster L.	Aster	ACCEPTED	GENUS	HIGHERRANK	91	3093921	Aster L.
41	ok	135	harmonia	Aster novi-belgii	Aster novi-belgii						Asteraceae				Confused michaelmas daisy	Nieuw-nederlandse asters	Aster de viriginie	spread		b3	9.0	widespread		agri- and horticulture		terrestrial	North America	yes	yes	yes					1865					no	published			3093921	Aster L.	Aster	ACCEPTED	GENUS	HIGHERRANK	91	3093921	Aster L.
42	ok, updated to accepted	138	harmonia	Symphyotrichum salignum	Aster x salignus	A. lanceolatus x novi-belgii					Asteraceae				Common michaelmas daisy	Wilgaster	Aster à feuilles de saule	spread		a2	11.0	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1861					no	published			3151811	Symphyotrichum salignum (Willd.) G.L.Nesom	Symphyotrichum salignum	DOUBTFUL	SPECIES	EXACT	99	3151811	Symphyotrichum salignum (Willd.) G.L.Nesom
43	ok	40	harmonia	Azolla filiculoides	Azolla filiculoides	Azolla caroliniana					Azollaceae				Water fern	Grote kroosvaren	Azolla	spread		b2	9.0	restricted		aquariums and ponds		freshwater	North America, South America	yes	yes	yes					1912					no	published			2650107	Azolla filiculoides Lam.	Azolla filiculoides	ACCEPTED	SPECIES	EXACT	100	2650107	Azolla filiculoides Lam.
44	ok	41	harmonia	Baccharis halimifolia	Baccharis halimifolia						Asteraceae				Eastern baccharis	Struikaster	Séneçon en arbre	spread		a1	12.0	isolated		agri- and horticulture		terrestrial	North America	yes	yes	no					1924					no	published			3129135	Baccharis L.	Baccharis	ACCEPTED	GENUS	HIGHERRANK	96	3129135	Baccharis L.
45	ok	42	harmonia	Bidens frondosa	Bidens frondosa						Asteraceae				Large-leaved beggarticks	Zwart tandzaad	Bident à fruits noirs	stabilization		b3	9.0	widespread		accidental		terrestrial	North America	yes	yes	yes					1886					no	published			5392174	Bidens frondosa L.	Bidens frondosa	SYNONYM	SPECIES	EXACT	98	6077759	Bidens frondosus L.
46	ok	147	harmonia	Branta canadensis	Branta canadensis						Anatidae				Canada goose	Canadese gans	Bernache du canada	spread		a3	12.0	widespread		pets and domestic animals		freshwater	North America	yes	yes	yes					1973					no	published			5232437	Branta canadensis (Linnaeus, 1758)	Branta canadensis	ACCEPTED	SPECIES	EXACT	100	5232437	Branta canadensis (Linnaeus, 1758)
47	ok	21	harmonia	Branta canadensis	Branta canadensis						Anatidae				Canada goose	Canadese gans	Bernache du canada	spread		a3	12.0	widespread		pets and domestic animals		freshwater	North America	yes	yes	yes					1973					no	draft			5232437	Branta canadensis (Linnaeus, 1758)	Branta canadensis	ACCEPTED	SPECIES	EXACT	100	5232437	Branta canadensis (Linnaeus, 1758)
48	ok	43	harmonia	Branta leucopsis	Branta leucopsis						Anatidae				Barnacle goose	Brandgans	Bernache nonnette	spread		c	0.0	restricted				freshwater	Europe	yes	yes	no					1980					no	pending			5232464	Branta leucopsis (Bechstein, 1803)	Branta leucopsis	ACCEPTED	SPECIES	EXACT	100	5232464	Branta leucopsis (Bechstein, 1803)
49	ok	44	harmonia	Buddleja davidii	Buddleja davidii						Buddlejaceae				Butterfly bush	Vlinderstruik	Arbre aux papillons	spread		b3	10.0	widespread		agri- and horticulture		terrestrial	Asia	yes	yes	yes					1942					no	published			3173338	Buddleja davidii Franch.	Buddleja davidii	ACCEPTED	SPECIES	EXACT	100	3173338	Buddleja davidii Franch.
50	ok	120	harmonia	Cabomba caroliniana	Cabomba caroliniana	Cabomba australis					Cabombaceae				Carolina fanwort	Waterwaaier	Cabomba			b0	10.0			aquariums and ponds		freshwater	South America	no												no	published			2882443	Cabomba caroliniana A. Gray	Cabomba caroliniana	ACCEPTED	SPECIES	EXACT	100	2882443	Cabomba caroliniana A. Gray
51	ok	126	harmonia	Callosciurus erythraeus	Callosciurus erythraeus						Sciuridae				Pallas's squirrel, Red-bellied tree squirrel	Pallas eekhoorn	Ecureuil à ventre rouge	naturalization		a1	11.0	isolated		pets and domestic animals		terrestrial	Asia	yes	yes	no					2005					yes	published			2437394	Callosciurus erythraeus (Pallas, 1779)	Callosciurus erythraeus	ACCEPTED	SPECIES	EXACT	100	2437394	Callosciurus erythraeus (Pallas, 1779)
52	ok	127	harmonia	Callosciurus finlaysonii	Callosciurus finlaysonii						Sciuridae				Finlayson's squirrel	Thaise eekhoorn	Ecureuil de finlayson			a0	11.0			pets and domestic animals		terrestrial	Asia	no												no	published			2437399	Callosciurus finlaysonii (Horsfield, 1823)	Callosciurus finlaysonii	ACCEPTED	SPECIES	EXACT	100	2437399	Callosciurus finlaysonii (Horsfield, 1823)
53	ok	45	harmonia	Campylopus introflexus	Campylopus introflexus										Campylopus moss					a3	1.0	widespread		accidental		terrestrial		yes	yes	yes					1966					no	pending			5281901	Campylopus introflexus Bridel, 1819 [1818]	Campylopus introflexus	ACCEPTED	SPECIES	EXACT	100	5281901	Campylopus introflexus Bridel, 1819 [1818]
54	ok	2	harmonia	Carassius gibelio	Carassius gibelio						Cyprinidae				Prussian carp	Giebel	Gibèle	spread		a3	12.0	widespread		aquariums and ponds		freshwater	Asia, Europe	yes	yes	yes					1750					no	published			2366634	Carassius gibelio (Bloch, 1782)	Carassius gibelio	ACCEPTED	SPECIES	EXACT	100	2366634	Carassius gibelio (Bloch, 1782)
55	ok	118	harmonia	Carpobrotus	Carpobrotus spp.	Carpobrotus edulis, C. acinaciformis					Aizoaceae				Hottentot fig	Hottentotvijg	Griffes de sorcières			a0	12.0			agri- and horticulture		terrestrial	Africa	no												yes	published			3084841	Carpobrotus N. E. Br.	Carpobrotus	ACCEPTED	GENUS	EXACT	92	3084841	Carpobrotus N. E. Br.
56	ok	123	harmonia	Castor canadensis	Castor canadensis						Castoridae				Canadian beaver	Canadese bever	Castor canadien	naturalization		b1	10.0	isolated		fur farming		freshwater	North America	yes	no	yes					2009					no	published			2439838	Castor canadensis Kuhl, 1820	Castor canadensis	ACCEPTED	SPECIES	EXACT	100	2439838	Castor canadensis Kuhl, 1820
