Phylum/Division;Class;Genus;Species;Great Britain;France;Belgium;Netherlands;Environment;Notes;;;
Angiospermae;Eudicotyledoneae;Adenostyles;alliariae;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Adonis;annua;present;not confirmed;present;present;terrestrial;;;;
Angiospermae;Monocotyledoneae;Adonis;flammea;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Aegilops;cylindrica;present;present;present;present;terrestrial;;;;
Angiospermae;Monocotyledoneae;Aegilops;geniculata;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Aegilops;juvenalis;not confirmed;present;not confirmed;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Aegilops;triuncialis;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Aegilops;ventricosa;not confirmed;present;present;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Aegopodium;podagraria;present;present;present;present;terrestrial;;;;
Angiospermae;Monocotyledoneae;Aeluropus;littoralis;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Aeonium;cuneatum;present;not confirmed;not confirmed;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Aeonium;haworthii;not confirmed;present;not confirmed;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Aeschynomene;americana;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Aeschynomene;indica;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Aesculus;hippocastanum;present;present;present;present;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Aesculus;indica;present;not confirmed;present;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Eudicotyledoneae;Aesculus;pavia;not confirmed;present;not confirmed;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Aesculus;x carnea;present;present;present;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Eudicotyledoneae;Aethusa;cynapium  agrestis;present;not confirmed;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agapanthus;praecox;present;not confirmed;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agave;americana;present;present;not confirmed;present;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Ageratina;adenophora;not confirmed;present;not confirmed;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Ageratum;conyzoides;present;present;not confirmed;present;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Ageratum;houstonianum;present;not confirmed;present;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Eudicotyledoneae;Agrimonia;procera;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Agropogon;x robinsonii;present;not confirmed;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agropyron;pectinatum;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Agrostemma;githago;present;present;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Eudicotyledoneae;Agrostemma;gracile;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Agrostis;avenacea;present;not confirmed;present;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agrostis;billardierei;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Agrostis;castellana;present;not confirmed;present;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agrostis;eriantha;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Agrostis;exarata;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Agrostis;gigantea;present;not confirmed;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agrostis;gigantea x stolonifera;present;not confirmed;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agrostis;hyemalis;present;not confirmed;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agrostis;lachnantha;present;not confirmed;present;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agrostis;nebulosa;not confirmed;present;present;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Agrostis;scabra;present;not confirmed;present;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agrostis;x bjoerkmanii;present;not confirmed;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Agrostis;x fouilladei;present;not confirmed;present;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Eudicotyledoneae;Ailanthus;altissima;present;present;present;present;terrestrial;;;;
Angiospermae;Monocotyledoneae;Aira;elegantissima;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Ajuga;chamaepitys;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Magnoliopsida;Akebia;quinata;present;present;present;present;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Albizia;julibrissin;present;present;not confirmed;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Alcea;biennis;not confirmed;present;not confirmed;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Alcea;rosea;present;present;present;present;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Alchemilla;conjuncta;present;not confirmed;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Eudicotyledoneae;Alchemilla;micans;not confirmed;not confirmed;present;not confirmed;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Alchemilla;mollis;present;present;present;present;terrestrial;;;;
Angiospermae;Eudicotyledoneae;Aldrovanda;vesiculosa;not confirmed;present;not confirmed;not confirmed;terrestrial;;;;
Angiospermae;Monocotyledoneae;Allium;ampeloprasum;present;not confirmed;not confirmed;not confirmed;terrestrial;data based solely on DAISIE portal;;;
Angiospermae;Monocotyledoneae;Allium;carinatum;present;not confirmed;not confirmed;present;terrestrial;;;;
Angiospermae;Monocotyledoneae;Allium;cepa;present;present;not confirmed;present;terrestrial;;;;
