taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	firstObservationYearBE	firstOservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
	rinse				Angiospermae	Monocotyledoneae			Aegilops	ventricosa														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Aegopodium	podagraria														terrestrial		present											
	rinse				Angiospermae	Monocotyledoneae			Aeluropus	littoralis														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Aeonium	cuneatum														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Aeonium	haworthii														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Aeschynomene	americana														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Aeschynomene	indica														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Aesculus	hippocastanum														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Aesculus	indica														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Aesculus	pavia														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Aesculus	x carnea														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Aethusa	cynapium  agrestis														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agapanthus	praecox														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agave	americana														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Ageratina	adenophora														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Ageratum	conyzoides														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Ageratum	houstonianum														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Agrimonia	procera														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Agropogon	x robinsonii														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agropyron	pectinatum														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Agrostemma	githago														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Agrostemma	gracile														terrestrial		present											
	rinse				Angiospermae	Monocotyledoneae			Agrostis	avenacea														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agrostis	billardierei														terrestrial		present											
	rinse				Angiospermae	Monocotyledoneae			Agrostis	castellana														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agrostis	eriantha														terrestrial		present											
	rinse				Angiospermae	Monocotyledoneae			Agrostis	exarata														terrestrial		present											
	rinse				Angiospermae	Monocotyledoneae			Agrostis	gigantea														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agrostis	gigantea x stolonifera														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agrostis	hyemalis														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agrostis	lachnantha														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agrostis	nebulosa														terrestrial		present											
	rinse				Angiospermae	Monocotyledoneae			Agrostis	scabra														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agrostis	x bjoerkmanii														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Monocotyledoneae			Agrostis	x fouilladei														terrestrial		present											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Ailanthus	altissima														terrestrial		present											
	rinse				Angiospermae	Monocotyledoneae			Aira	elegantissima														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Ajuga	chamaepitys														terrestrial		present											
	rinse				Angiospermae	Magnoliopsida			Akebia	quinata														terrestrial		present											
