Source,Field,DwC term,Example,Needed?
Harmonia,Species ID,organismID?,148,yes
Harmonia,Added,,2013/10/08 at 13:25:01,no
Harmonia,Last update,,2012/05/11 at 09:29:15,no
Harmonia,Last state change,,2007/12/04 at 17:42:26,no
Harmonia,Current state,,pending,no
Harmonia,Group,,Vascular plants,yes
Harmonia,phylum,phylum,Vascular plants,yes
Harmonia,family,family,Aceraceae,yes
Harmonia,genus,genus,Acer,yes
Harmonia,specificEpithet,specificEpithet,negundo,yes
Harmonia,scientificName,scientificName,Acer negundo,yes
Harmonia,Synonym(s),,Negundo fraxinifolium,yes
Harmonia,vernacularName,vernacularName,"Box-elder, Ash-leaved maple",yes
Harmonia,Local name(s) (fr),,Erable negundo,yes
Harmonia,Local name(s) (nl),,Vederesdoorn,yes
Harmonia,Origin(s),,North America,yes
Harmonia,habitat,habitat,terrestrial,yes
Harmonia,Introduction pathway(s),,agri- and horticulture,
Harmonia,establishmentMeans,,agri- and horticulture,
Harmonia,Category,,b2,
Harmonia,ISEIA score,,9,
Harmonia,First observation,,1955,
Harmonia,Spatial distribution,,restricted,
Harmonia,Invasion stage,,spread,
Harmonia,Already invasive in (if any),,United Kingdom,no
Harmonia,Reproduction (Belgium),,yes,
Harmonia,Reproduction (Wallonia),,yes,
Harmonia,Reproduction (Flanders),,yes,
Harmonia,Risk Analysis,,no,
Harmonia,Dispersion potential,,high,
Harmonia,Natural habitats,,high,
Harmonia,Predation / Herbivory,,low,
Harmonia,Competition,,unlikely,
Harmonia,Disease transmission,,unlikely,
Harmonia,Genetic effects,,low,
Harmonia,Nutrient cycling,,low,
Harmonia,Physical alteration,,low,
Harmonia,Natural successions,,low,
Harmonia,Food web alteration,,low,
Harmonia,Contributors,,"Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip",no
Harmonia,Maritime,,widespread,
Harmonia,Flandrian,,widespread,
Harmonia,Kempen,,isolated,
Harmonia,Brabant,,widespread,
Harmonia,Meuse,,isolated,
Harmonia,Ardenne,,isolated,
Harmonia,Lorraine,,isolated,
Macroinvertebrates,phylum,phylum,ANNELIDA,yes
Macroinvertebrates,order,order,Sabellida,yes
Macroinvertebrates,family,family,Sabellidae,yes
Macroinvertebrates,genus,genus,Laonome,yes
Macroinvertebrates,specificEpithet,specificEpithet,calida,yes
Macroinvertebrates,scientifcName,scientifcName,Laonome calida,yes
Macroinvertebrates,Origin,,Australia,yes
