index	nameMatchValidation	taxonID	datasetName	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey	gbifapi_acceptedScientificName
163	ok		macroinvertebrates	Laonome calida	Laonome calida		Animalia	ANNELIDA		Sabellida	Sabellidae													shipping		Freshwater/Brackish	Australia									2014		This study						7009279	Laonome calida Capa, 2007	Laonome calida	ACCEPTED	SPECIES	EXACT	100	7009279	Laonome calida Capa, 2007
164	ok		macroinvertebrates	Ficopomatus enigmaticus	Ficopomatus enigmaticus		Animalia	ANNELIDA			Serpulidae													shipping		Freshwater/Brackish	Asia									1950		Leloup and Lefevre 1952						2327735	Ficopomatus enigmaticus (Fauvel, 1923)	Ficopomatus enigmaticus	ACCEPTED	SPECIES	EXACT	100	2327735	Ficopomatus enigmaticus (Fauvel, 1923)
165	ok, SYNONYM		macroinvertebrates	Marenzelleria viridis	Marenzelleria viridis		Animalia	ANNELIDA		Spionida	Spionidae													shipping		Brackish	North-America									1995		Ysebaert et al. 1997						2321012	Marenzelleria viridis (Verrill, 1873)	Marenzelleria viridis	SYNONYM	SPECIES	EXACT	100	2321332	Scolecolepides viridis (Verrill, 1873)
166	ok		macroinvertebrates	Marenzelleria neglecta	Marenzelleria neglecta		Animalia	ANNELIDA																shipping		Brackish	North-America									2008		Soors et al. 2013						2321010	Marenzelleria neglecta Sikorski & Bick, 2004	Marenzelleria neglecta	ACCEPTED	SPECIES	EXACT	100	2321010	Marenzelleria neglecta Sikorski & Bick, 2004
167	ok		macroinvertebrates	Hypania invalida	Hypania invalida		Animalia	ANNELIDA		Terebellida	Ampharetidae													shipping		Freshwater	Ponto-Caspian									2000		Vercauteren et al. 2005						5199161	Hypania invalida (Grube, 1860)	Hypania invalida	ACCEPTED	SPECIES	EXACT	100	5199161	Hypania invalida (Grube, 1860)
168	ok		macroinvertebrates	Branchiodrilus hortensis	Branchiodrilus hortensis		Animalia	ANNELIDA		Tubficida	Naididae													shipping, corridors		Freshwater	Asia, Africa and Australia									2010		Soors et al. 2013						4812260	Branchiodrilus hortensis (Stephenson, 1910)	Branchiodrilus hortensis	ACCEPTED	SPECIES	EXACT	100	4812260	Branchiodrilus hortensis (Stephenson, 1910)
169	HIGHERRANK to genus		macroinvertebrates	Bratislavia dadayi	Bratislavia dadayi		Animalia	ANNELIDA																shipping, corridors		Freshwater	Southern hemisphere, China and USA									2002		Soors et al. 2013						2308124	Bratislavia Kosel, 1976	Bratislavia	ACCEPTED	GENUS	HIGHERRANK	97	2308124	Bratislavia Kosel, 1976
170	ok		macroinvertebrates	Branchiura sowerbyi	Branchiura sowerbyi		Animalia	ANNELIDA			Tubificidae													shipping		Freshwater/Brackish	East-Asia									1931		Damas 1938						2308574	Branchiura sowerbyi Beddard, 1892	Branchiura sowerbyi	ACCEPTED	SPECIES	EXACT	100	2308574	Branchiura sowerbyi Beddard, 1892
171	ok		macroinvertebrates	Limnodrilus cervix	Limnodrilus cervix		Animalia	ANNELIDA																shipping		Freshwater	North-America									2009		Soors et al. 2013						2308541	Limnodrilus cervix Brinkhurst, 1963	Limnodrilus cervix	ACCEPTED	SPECIES	EXACT	100	2308541	Limnodrilus cervix Brinkhurst, 1963
172	ok		macroinvertebrates	Monopylephorus limosus	Monopylephorus limosus		Animalia	ANNELIDA																shipping		Freshwater	Asia									2002		Soors et al. 2013						4410150	Monopylephorus limosus (Hatai, 1898)	Monopylephorus limosus	ACCEPTED	SPECIES	EXACT	100	4410150	Monopylephorus limosus (Hatai, 1898)
173	ok		macroinvertebrates	Potamothrix vejdovskyi	Potamothrix vejdovskyi		Animalia	ANNELIDA																shipping		Freshwater	Ponto-Caspian									2009		Soors et al. 2013						2308605	Potamothrix vejdovskyi (Hrabe, 1941)	Potamothrix vejdovskyi	ACCEPTED	SPECIES	EXACT	100	2308605	Potamothrix vejdovskyi (Hrabe, 1941)
174	ok		macroinvertebrates	Psammoryctides moravicus	Psammoryctides moravicus		Animalia	ANNELIDA																shipping		Freshwater	Ponto-Caspian									2008		Soors et al. 2013						4410056	Psammoryctides moravicus (Hrabe, 1934)	Psammoryctides moravicus	ACCEPTED	SPECIES	EXACT	100	4410056	Psammoryctides moravicus (Hrabe, 1934)
175	ok		macroinvertebrates	Quistadrilus multisetosus	Quistadrilus multisetosus		Animalia	ANNELIDA																shipping		Freshwater	North-America									1996		Seys et al. 1999						4410088	Quistadrilus multisetosus (Smith, 1900)	Quistadrilus multisetosus	ACCEPTED	SPECIES	EXACT	100	4410088	Quistadrilus multisetosus (Smith, 1900)
176	HIGHERRANK to genus		macroinvertebrates	Tasserkidrilus americanus	Tasserkidrilus americanus		Animalia	ANNELIDA																shipping		Freshwater	North-America									2006		Soors et al. 2013						4405162	Tasserkidrilus Holmquist, 1985	Tasserkidrilus	ACCEPTED	GENUS	HIGHERRANK	97	4405162	Tasserkidrilus Holmquist, 1985
177	ok		macroinvertebrates	Caprella mutica	Caprella mutica		Animalia	CRUSTACEA		Amphipoda	Caprellidae													shipping, aquaculture		Marine	Northeast-Asia									1998		Cook et al. 2007						5178057	Caprella mutica Schurin, 1935	Caprella mutica	ACCEPTED	SPECIES	EXACT	100	5178057	Caprella mutica Schurin, 1935
178	ok		macroinvertebrates	Chelicorophium curvispinum	Chelicorophium curvispinum		Animalia	CRUSTACEA			Corophidae													corridors		Freshwater/Brackish	Ponto-Caspian									1990		Vercauteren et al. 2006						4314683	Chelicorophium curvispinum (G.O. Sars, 1895)	Chelicorophium curvispinum	ACCEPTED	SPECIES	EXACT	100	4314683	Chelicorophium curvispinum (G.O. Sars, 1895)
179	ok		macroinvertebrates	Monocorophium sextonae	Monocorophium sextonae 		Animalia	CRUSTACEA																shipping		Brackish/Marine	New Zealand									1993		Dewicke 2002						4314702	Monocorophium sextonae (Crawford, 1937)	Monocorophium sextonae	ACCEPTED	SPECIES	EXACT	100	4314702	Monocorophium sextonae (Crawford, 1937)
180	ok		macroinvertebrates	Crangonyx pseudogracilis	Crangonyx pseudogracilis		Animalia	CRUSTACEA			Crangonictidae													shipping		Freshwater	North-America									1992		Wouters 2002						2217982	Crangonyx pseudogracilis Bousfield, 1958	Crangonyx pseudogracilis	ACCEPTED	SPECIES	EXACT	100	2217982	Crangonyx pseudogracilis Bousfield, 1958
181	ok, SYNONYM		macroinvertebrates	Synurella ambulans	Synurella ambulans		Animalia	CRUSTACEA																aquaculture		Freshwater	Ponto-Caspian									2003		Boets et al. 2010b						4416920	Synurella ambulans	Synurella ambulans	SYNONYM	SPECIES	EXACT	100	6461686	Stygobromus ambulans (F. Müller, 1846)
182	ok		macroinvertebrates	Dikerogammarus villosus	Dikerogammarus villosus		Animalia	CRUSTACEA			Gammaridae													corridors		Freshwater/Brackish	Ponto-Caspian									1997		Messiaen et al. 2010						4315705	Dikerogammarus villosus (Sowinsky, 1894)	Dikerogammarus villosus	ACCEPTED	SPECIES	EXACT	100	4315705	Dikerogammarus villosus (Sowinsky, 1894)
183	ok		macroinvertebrates	Echinogammarus berilloni	Echinogammarus berilloni		Animalia	CRUSTACEA																corridors		Freshwater	South-Europe									1925		Wouters 2002						4315760	Echinogammarus berilloni (Catta, 1878)	Echinogammarus berilloni	ACCEPTED	SPECIES	EXACT	100	4315760	Echinogammarus berilloni (Catta, 1878)
184	ok		macroinvertebrates	Echinogammarus trichiatus	Echinogammarus trichiatus		Animalia	CRUSTACEA																corridors		Freshwater	Ponto-Caspian									2009		Boets et al. 2012c 						4417131	Echinogammarus trichiatus (Martynov, 1932)	Echinogammarus trichiatus	ACCEPTED	SPECIES	EXACT	100	4417131	Echinogammarus trichiatus (Martynov, 1932)
185	fuzzy		macroinvertebrates	Gammarus roeseli	Gammarus roeseli		Animalia	CRUSTACEA																corridors		Freshwater	South-Europe									1937		Collection RBINS						5864277	Gammarus roeselii Gervais, 1835	Gammarus roeselii	ACCEPTED	SPECIES	FUZZY	95	5864277	Gammarus roeselii Gervais, 1835
186	ok		macroinvertebrates	Gammarus tigrinus	Gammarus tigrinus		Animalia	CRUSTACEA																corridors		Freshwater/Brackish	North-America									1991		Messiaen et al. 2010						2219863	Gammarus tigrinus Sexton, 1939	Gammarus tigrinus	ACCEPTED	SPECIES	EXACT	100	2219863	Gammarus tigrinus Sexton, 1939
187	ok		macroinvertebrates	Melita nitida	Melita nitida		Animalia	CRUSTACEA			Melitidae													shipping		Marine	North-America									1996		Faasse and Van Moorsel, 2003						2215949	Melita nitida S. I. Smith, 1873	Melita nitida	ACCEPTED	SPECIES	EXACT	100	2215949	Melita nitida S. I. Smith, 1873
188	ok		macroinvertebrates	Incisocalliope aestuarius	Incisocalliope aestuarius		Animalia	CRUSTACEA			Pleustidae													shipping		Brackish/Marine	North-America									1996		Faasse and Van Moorsel 2003						5177825	Incisocalliope aestuarius (Watling and Maurer, 1973)	Incisocalliope aestuarius	ACCEPTED	SPECIES	EXACT	100	5177825	Incisocalliope aestuarius (Watling and Maurer, 1973)
189	ok		macroinvertebrates	Orchestia cavimana	Orchestia cavimana		Animalia	CRUSTACEA			Talitridae													shipping, corridors		Freshwater/Brackish	Ponto-Caspian									1927		Wouters 2002						2218567	Orchestia cavimana Heller, 1865	Orchestia cavimana	ACCEPTED	SPECIES	EXACT	100	2218567	Orchestia cavimana Heller, 1865
190	ok		macroinvertebrates	Sinelobus vanhaareni	Sinelobus vanhaareni		Animalia	CRUSTACEA			Tanaidae													shipping, aquaculture		Brackish	unknown									2007		Van  Haaren and Soors 2009						7547256	Sinelobus vanhaareni Bamber, 2014	Sinelobus vanhaareni	ACCEPTED	SPECIES	EXACT	100	7547256	Sinelobus vanhaareni Bamber, 2014
191	ok		macroinvertebrates	Astacus leptodactylus	Astacus leptodactylus		Animalia	CRUSTACEA		Decapoda	Astacidae													aquaculture		Freshwater	East-Europe									1986		Gerard 1986						4417551	Astacus leptodactylus Eschscholtz, 1823	Astacus leptodactylus	ACCEPTED	SPECIES	EXACT	100	4417551	Astacus leptodactylus Eschscholtz, 1823
192	ok		macroinvertebrates	Pacifastacus leniusculus	Pacifastacus leniusculus		Animalia	CRUSTACEA																aquaculture		Freshwater	North-America									1986		Gerard 1986						2226990	Pacifastacus (Pacifastacus) leniusculus (Dana, 1852)	Pacifastacus leniusculus	ACCEPTED	SPECIES	EXACT	100	2226990	Pacifastacus (Pacifastacus) leniusculus (Dana, 1852)
