Species ID;Added;Last update;Last state change;Current state;Scientific name(s);Synonym(s);Local name(s) (en);Local name(s) (fr);Local name(s) (nl);Family;Group;Origin(s);Habitat(s);Introduction pathway(s);Category;ISEIA score;First observation;Spatial distribution;Invasion stage;Already invasive in (if any);Reproduction (Belgium);Reproduction (Wallonia);Reproduction (Flanders);Risk Analysis;Dispersion potential;Natural habitats;Predation / Herbivory;Competition;Disease transmission;Genetic effects;Nutrient cycling;Physical alteration;Natural successions;Food web alteration;Contributors;Maritime;Flandrian;Kempen;Brabant;Meuse;Ardenne;Lorraine
144;2010/12/16 at 09:23:17;2011/10/14 at 14:25:47;2010/12/16 at 12:29:07;published;Fallopia sachalinensis;Reynoutria sachalinensis, Polygonum sachalinense;Giant knotweed;Renouée de sakhaline;Sachalinse duizendknoop;Polygonaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;a2;12;1924;restricted;spread;;yes;yes;yes;no;high;high;low;high;low;low;likely;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;isolated;widespread;widespread;widespread;widespread;isolated
58;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Fallopia sachalinensis;;Giant knotweed;Renouée de sakhaline;Sachalinse duizenknoop;Polygonaceae;Vascular plants;Asia;terrestrial;;a1;1;1924;isolated;spread;;yes;yes;yes;no;;;no;strong;no;no;;;;;Branquart Etienne;;;;;;;
145;2010/12/16 at 09:49:03;2010/12/16 at 14:56:48;2010/12/16 at 12:54:19;published;Fallopia x bohemica;;Hybrid knotweed;Renouée de bohème;;Polygonaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;a2;12;1924;restricted;spread;;yes;yes;yes;no;high;high;low;high;low;low;likely;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;isolated;widespread;widespread;isolated;;
134;2010/07/23 at 14:26:56;2011/03/11 at 14:05:26;2010/07/23 at 14:44:34;published;Fraxinus pennsylvanica;Fraxinus pubescens;Red ash, Green ash;Frêne rouge;;Oleaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b1;9;2008;isolated;spread;;yes;;yes;no;high;likely;low;likely;low;low;;medium;medium;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip.;isolated;isolated;;;;;
59;2007/05/31 at 15:27:51;2007/12/04 at 17:50:28;2007/12/04 at 17:50:28;published;Gaillardia x grandiflora;;Blanket flower;Gaillarde;Kokardebloem;Asteraceae;Vascular plants;North America;terrestrial;agri- and horticulture;c;8;1953;restricted;spread;;yes;no;yes;no;high;high;low;unlikely;low;low;;low;low;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;;;;;;
102;2007/06/07 at 11:13:02;2007/06/11 at 17:16:58;2007/06/11 at 17:16:58;published;Harmonia axyridis;;Harlequin ladybird;Coccinelle asiatique;Veelkleurig aziatisch lieveheersbeestje;Coccinellidae;Arthropods;Asia;terrestrial;biological control;a3;11;2000;widespread;spread;;yes;yes;yes;no;high;high;high;high;low;low;low;low;low;likely;Adriaens Tim, Branquart Etienne, De Clercq Patrick and Grégoire Jean-Claude;widespread;widespread;widespread;widespread;widespread;widespread;widespread
60;2007/05/31 at 15:27:51;2010/12/21 at 15:19:22;2007/12/04 at 17:51:16;published;Helianthus tuberosus;H. tuberosus x h. strumosus;Jerusalem artichoke;Topinambour;Aardpeer;Asteraceae;Vascular plants;North America;terrestrial;agri- and horticulture;a3;12;1893;widespread;spread;;yes;yes;yes;no;high;high;low;high;low;low;;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;isolated;widespread
10;2007/05/31 at 15:27:49;2010/12/21 at 15:40:55;2007/10/17 at 11:09:29;published;Heracleum mantegazzianum;;Giant hogweed;Berce du caucase;Reuzenbereklauw;Apiaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;a3;11;1938;widespread;spread;;yes;yes;yes;no;high;high;low;high;low;;unlikely;medium;medium;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
61;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Heracleum sosnowskyi;;Sosnowski's hogweed;;;Apiaceae;Vascular plants;Asia;terrestrial;;a0;1;;;;Estonia, Germany, Latvia, Lithuania, Poland, Russian Federation, Ukraine;no;;;no;;;no;strong;no;no;;;;;Branquart Etienne;;;;;;;
62;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Humulus japonicus;;Japanese hop;;;Canabaceae;Vascular plants;Asia;freshwater, terrestrial;;a0;1;;;;France, Hungary, Italy;no;;;no;;;no;strong;no;no;;;;;Branquart Etienne;;;;;;;
132;2010/07/23 at 11:55:15;2010/12/09 at 16:54:26;2010/07/23 at 11:55:15;published;Hyacinthoides hispanica;Hyacinthoides x massartiana;Spanish bluebell;Scille d'espagne;Spaanse hyacint;Liliaceae;Vascular plants;Europe;terrestrial;agri- and horticulture;b2;9;1882;restricted;spread;;yes;yes;yes;no;medium;high;low;likely;low;high;;;low;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip.;widespread;widespread;isolated;widespread;;;
63;2007/05/31 at 15:27:51;2013/12/11 at 16:03:55;2007/10/29 at 16:47:53;published;Hydrocotyle ranunculoides;;Water pennywort;Hydrocotyle fausse renoncule;Grote waternavel;Apiaceae;Vascular plants;North America;freshwater;aquariums and ponds;a2;12;1992;restricted;spread;;yes;yes;yes;yes;high;high;low;high;low;low;likely;high;high;low;Branquart Etienne, Stiers Iris, Triest Ludwig, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;isolated;;
64;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Hypophthalmichthys molitrix;;Silver carp;Carpe argentée;Zilverkarper;Cyprinidae;Fish;Asia;freshwater;;c;1;1975;isolated;;;no;no;no;no;;;strong;weak;no;no;;;;;Branquart Etienne;;;;;;;
65;2007/05/31 at 15:27:51;2010/12/22 at 10:16:28;2007/10/11 at 13:55:32;published;Impatiens glandulifera;;Indian balsam;Balsamine géante;Reuzenbalsemien;Balsaminaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;a3;12;1939;widespread;spread;;yes;yes;yes;no;high;high;low;high;low;low;high;high;medium;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
66;2007/05/31 at 15:27:51;2010/12/22 at 10:12:21;2007/12/05 at 17:00:42;published;Impatiens parviflora;;Small yellow balsam;Balsamine à petites fleurs;Klein springzaad;Balsaminaceae;Vascular plants;Asia;terrestrial;accidental;b3;10;1868;widespread;spread;;yes;yes;yes;no;high;high;low;medium;low;low;;low;medium;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip and Vervoort Arnaud;isolated;widespread;widespread;widespread;widespread;widespread;widespread
67;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Juncus tenuis;;Slender rush;Jonc grêle;Tengere rus;Juncaceae;Vascular plants;North America;terrestrial;accidental;b3;1;1823;widespread;stabilization;;yes;yes;yes;no;;;no;;no;no;;;;;Branquart Etienne;;;;;;;
68;2007/05/31 at 15:27:51;2013/12/11 at 16:17:44;2007/11/22 at 15:48:29;published;Lagarosiphon major;Elodea crispa;Curly waterweed;Elodée à feuilles alternes;Verspreidbladige waterpest;Hydrocharitaceae;Vascular plants;Africa;freshwater;aquariums and ponds;a1;12;1993;isolated;spread;;yes;yes;yes;yes;high;high;low;high;low;low;high;high;high;low;Branquart Etienne, Stiers Iris, Triest Ludwig, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;;;isolated;isolated;;isolated
69;2007/05/31 at 15:27:51;2010/12/21 at 16:56:50;2007/11/22 at 16:01:54;published;Lemna minuta;Lemna minuscula;Minute duckweed;Lentille d'eau minuscule;Dwergkroos;Lemnaceae;Vascular plants;North America;freshwater;aquariums and ponds;b3;10;1983;widespread;spread;;yes;yes;yes;no;high;high;low;medium;low;low;likely;medium;low;low;Branquart Etienne, Stiers Iris, Triest Ludwig, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;isolated;;isolated
70;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Lemna turionifera;;Turion duckweed;Lentille d'eau rouge;Olijfgroen kroos;Lemnaceae;Vascular plants;Asia, North America;freshwater;accidental;b1;1;1992;isolated;spread;;yes;;yes;no;;;no;weak;no;no;;;;;Branquart Etienne;;;;;;;
3;2007/05/31 at 15:27:41;2011/08/02 at 15:31:08;2007/10/02 at 16:08:37;published;Lepomis gibbosus;;Pumpkinseed;Perche soleil;Zonnebaars;Centrachidae;Fish;North America;freshwater;aquariums and ponds;b2;9;1884;restricted;stabilization;;yes;yes;yes;no;medium;medium;high;high;likely;low;low;low;low;likely;Anseeuw Dieter, Branquart Etienne, Lieffrig François, Micha Jean-Claude, Parkinson Denis, Verreycken Hugo;;widespread;widespread;widespread;isolated;isolated;
71;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Lindernia dubia;;False pimpernel;Lindernie fausse-gratiole;Schijngenadekruid;Scrophulariaceae;Vascular plants;North America;freshwater, terrestrial;;b1;1;1993;isolated;naturalization;;yes;no;yes;no;;;no;;no;no;;;;;Branquart Etienne;;;;;;;
72;2007/05/31 at 15:27:51;2010/12/21 at 17:08:02;2009/03/16 at 10:20:05;published;Lonicera japonica;;Japanese honeysuckle;Chèvrefeuille asiatique;Japanse kamperfoelie;Caprifoliaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;b0;10;;;;France, Ireland, Italy, Portugal, Spain, Switzerland, United Kingdom;no;;;no;likely;medium;low;high;low;;likely;high;high;low;Baus Erika, Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip.;;;;;;;
73;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Lophocolea semiteres;;Southern crestwort;;;;Bryophytes;;terrestrial;accidental;b2;1;;restricted;;;yes;;;no;;;no;;no;no;;;;;Branquart Etienne;;;;;;;
11;2007/05/31 at 15:27:49;2013/12/11 at 16:18:43;2007/11/19 at 13:50:19;published;Ludwigia grandiflora;L. hexapetala, L. uruguayensis;Water primrose;Jussie à grandes fleurs;Waterteunisbloem;Onagraceae;Vascular plants;South America;freshwater;agri- and horticulture;a2;12;1983;restricted;spread;;yes;yes;yes;yes;high;high;low;high;low;;high;high;high;low;Branquart Etienne, Stiers Iris, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;widespread;widespread;widespread;isolated;isolated;
12;2007/05/31 at 15:27:49;2013/12/11 at 16:19:00;2007/11/19 at 13:51:12;published;Ludwigia peploides;;Water primrose;Jussie rampante;Kleine waterteunisbloem;Onagraceae;Vascular plants;South America;freshwater;agri- and horticulture;a1;12;1995;isolated;spread;;yes;yes;;yes;high;high;low;high;low;;high;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;isolated;;isolated;;;
108;2007/11/26 at 16:02:34;2010/12/14 at 16:31:21;2007/12/04 at 17:53:36;published;Lupinus polyphyllus;;Garden lupin;Lupin vivace;Vaste lupine;Fabaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b2;10;1882;restricted;spread;;yes;yes;yes;no;medium;likely;low;high;low;low;high;likely;likely;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;widespread;widespread;widespread;isolated;widespread;isolated
13;2007/05/31 at 15:27:49;2010/12/07 at 14:44:49;2007/11/22 at 16:08:58;published;Lysichiton americanus;;American skunk cabbage;Faux-arum, Lysichite;Moerasaronskelk, Moeraslantaarn;Araceae;Vascular plants;North America;terrestrial;agri- and horticulture;b1;10;2006;isolated;naturalization;;yes;yes;no;no;medium;high;low;high;low;low;;likely;;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;;;;isolated;;
74;2007/05/31 at 15:27:51;2010/12/17 at 15:00:32;2007/12/04 at 17:54:28;published;Mahonia aquifolium;Berberis aquifolium;Oregon grape;Mahonia faux-houx;Mahonia;Berberidaceae;Vascular plants;North America;terrestrial;agri- and horticulture;a2;12;1906;restricted;spread;;yes;yes;yes;no;high;high;low;high;low;low;;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;;
75;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Micropterus salmoides;;Largemouth bass;Black-bass à grande bouche;Forelbaars;Centrachidae;Fish;North America;freshwater;;b1;1;1880;isolated;;;no;no;no;no;;;strong;strong;no;no;;;;;Branquart Etienne;;;;;;;
116;2009/02/05 at 16:05:28;2010/12/22 at 15:12:03;2009/03/16 at 10:23:15;published;Mimulus guttatus;;Monkeyflower;Mimule tacheté;Gele maskerbloem;Scrophulariaceae;Vascular plants;North America;freshwater, terrestrial;agri- and horticulture;b2;10;1953;restricted;naturalization;;yes;yes;yes;no;high;high;low;medium;low;medium;medium;likely;likely;low;Baus Erika, Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;widespread;widespread;widespread;isolated;widespread;isolated
125;2009/03/05 at 14:31:36;2013/12/11 at 16:35:37;2009/03/23 at 12:01:09;published;Muntiacus reevesi;;Reeves' muntjac;Muntjac;Chinese muntjak;Cervidae;Mammals;Asia;terrestrial;pets and domestic animals;a0;12;;;;United Kingdom;no;;;yes;high;high;high;medium;likely;low;low;high;likely;likely;Branquart Etienne, Licoppe Alain, Motte Grégory, Schockert Vinciane, Stuyck Jan;;;;;;;
26;2007/05/31 at 15:27:49;2013/12/11 at 15:41:20;2007/09/18 at 18:10:53;published;Mustela vison;Neovison vison;American mink;Vison d'amérique;Amerikaanse nerts;Mustelidae;Mammals;North America;freshwater, terrestrial;fur farming;a0;11;;;;Denmark, Estonia, Finland, France, Germany, Iceland, Ireland, Latvia, Netherlands, Norway, Poland, Russian Federation, Spain, Sweden, United Kingdom;no;;;yes;high;high;high;likely;likely;unlikely;low;low;low;likely;Branquart Etienne, D'aes Margo, Manet Benoît, Motte Grégory, Schockert Vinciane, Stuyck Jan, Van Den Berge Koen.;;;;;;;
27;2007/05/31 at 15:27:49;2013/12/11 at 16:21:03;2007/09/18 at 18:11:53;published;Myocastor coypus;;Coypu, Nutria;Ragondin;Beverrat;Echimyidae;Mammals;South America;freshwater;fur farming;a1;12;1975;isolated;spread;;yes;yes;yes;yes;high;high;high;likely;likely;low;likely;high;high;likely;Branquart Etienne, D'aes Margo, Manet Benoît, Motte Grégory, Schockert Vinciane, Stuyck Jan;;;isolated;isolated;isolated;;
76;2007/05/31 at 15:27:51;2013/12/11 at 16:18:07;2007/10/29 at 16:49:22;published;Myriophyllum aquaticum;Myriophyllum brasiliense;Parrotfeather;Myriophylle du brésil;Parelvederkruid;Haloragaceae;Vascular plants;South America;freshwater;aquariums and ponds;a2;12;1983;restricted;spread;;yes;yes;yes;yes;high;high;low;high;low;low;high;high;high;low;Branquart Etienne, Triest Ludwig, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;widespread;widespread;widespread;isolated;;
117;2009/02/06 at 10:41:55;2013/12/11 at 16:18:24;2009/03/16 at 10:25:58;published;Myriophyllum heterophyllum;;Variable watermilfoil;Myriophylle hétérophylle;Ongelijkbladig vederkruid;Haloragaceae;Vascular plants;North America;freshwater;aquariums and ponds;a1;12;1993;isolated;spread;;yes;yes;yes;yes;high;high;low;high;low;unlikely;likely;high;likely;low;Baus Erika, Branquart Etienne, Stiers Iris, Triest Ludwig, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;;isolated;;;;
152;2014/09/18 at 13:41:47;2014/10/31 at 13:44:50;2014/09/18 at 13:42:31;published;Neogobius melanostomus;Apollonia melanostomus;Round goby;Gobie à taches noires;Zwartbekgrondel;Gobiidae;Fish;Asia, Europe;freshwater, brackish;accidental;a2;12;2012;restricted;;;yes;yes;yes;yes;high;high;high;high;likely;low;likely;likely;low;high;Branquart Etienne, Verreycken Hugo.;isolated;isolated;isolated;;isolated;;
78;2007/05/31 at 15:27:51;2013/12/11 at 16:19:31;2009/03/23 at 12:12:45;published;Nyctereutes procyonoides;;Raccoon dog;Chien viverrin;Wasbeerhond;Canidae;Mammals;Asia;terrestrial;;b1;9;2010;isolated;naturalization;;yes;yes;;yes;high;high;medium;medium;likely;low;low;low;low;unlikely;Branquart Etienne, Licoppe Alain, Motte Grégory, Schockert Vinciane, Stuyck Jan, Van Den Berge Koen;;;;;;isolated;
114;2008/02/14 at 13:34:05;2011/01/11 at 17:19:45;2009/03/16 at 10:26:40;published;Oenothera spp.;O. biennis, O. deflexa, O. glazioviana.;Evening primrose;Onagre;Teunisbloem;Onagraceae;Vascular plants;North America;terrestrial;agri- and horticulture;c;7;1792;widespread;spread;;yes;yes;yes;no;medium;medium;low;medium;;low;;;unlikely;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;isolated;widespread
79;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Oncorhynchus mykiss;;Rainbow trout;Truite arc-en-ciel;Regenboogforel;Salmonidae;Fish;North America;freshwater;;b2;1;1884;restricted;;;no;no;no;no;;;weak;strong;weak;weak;;;;;Branquart Etienne;;;;;;;
28;2007/05/31 at 15:27:49;2011/08/02 at 15:53:39;2007/09/18 at 18:15:17;published;Ondatra zibethicus;;Muskrat;Rat musqué;Muskusrat;Muridae;Mammals;North America;freshwater;fur farming;a3;12;1928;widespread;spread;;yes;yes;yes;no;high;high;high;likely;likely;low;medium;high;high;likely;Branquart Etienne, D'aes Margo, Manet Benoît, Motte Grégory, Schockert Vinciane, Stuyck Jan;widespread;widespread;widespread;widespread;widespread;widespread;widespread
80;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Orthodontium lineare;;Cape thread-moss;;Geelsteeltje;Orthodontiaceae;Bryophytes;;terrestrial;;b2;1;1945;restricted;;;yes;;;no;;;no;weak;no;no;;;;;Branquart Etienne;;;;;;;
81;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Ovis ammon;;Mouflon;Mouflon;;Bovidae;Mammals;Europe;terrestrial;;c;1;1938;isolated;naturalization;;yes;yes;no;no;;;no;no;no;no;;;;;Branquart Etienne;;;;;;;
22;2007/05/31 at 15:27:49;2013/12/11 at 16:33:42;2007/08/24 at 10:06:17;published;Oxyura jamaicensis;;Ruddy duck;Erismature rousse;Rosse stekelstaart;Anatidae;Birds;North America;freshwater;pets and domestic animals;b0;10;;;;France, Norway, Spain, Sweden, United Kingdom;no;;;yes;high;high;low;high;low;high;low;low;low;;Anselin Anny, Branquart Etienne, Strubbe Diederik, Weiserbs Anne;;;;;;;
133;2010/07/23 at 12:43:05;2011/03/18 at 15:00:11;2010/07/23 at 12:43:05;published;Parthenocissus spp.;P. inserta, P. quinquefolia, P. vitacea;(false) virginia creeper;Vigne vierge;(valse) wingerd;Vitaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b3;10;1880;widespread;spread;;yes;yes;yes;no;high;high;low;likely;low;unlikely;;likely;likely;low;Branquart Etienne, Dupriez Pascal, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip.;widespread;widespread;widespread;widespread;widespread;isolated;isolated
89;2007/05/31 at 15:27:51;2009/03/27 at 11:54:03;2007/09/19 at 11:59:33;published;Pelophylax ridibundus;Rana ridibunda;Marsh frog;Grenouille rieuse;Meerkikker, Grote groene kikker;Ranidae;Amphibians and reptiles;Asia, Europe;freshwater;aquariums and ponds;a2;11;1975;restricted;spread;;yes;yes;yes;no;high;high;medium;high;likely;high;;;;likely;Branquart Etienne, Mergeay Joachim, Percsy Christiane;isolated;widespread;widespread;widespread;widespread;isolated;isolated
82;2007/05/31 at 15:27:51;2013/12/11 at 15:42:49;2009/03/23 at 12:08:38;published;Perccottus glenii;Perccottus glehni;Rotan, Amur sleeper;Goujon de l'amour;Amurgrondel;Odontobutidae;Fish;Asia;freshwater, brackish;accidental, aquariums and ponds, game/fish stocking;a0;11;;;;Bulgaria, Estonia, Hungary, Latvia, Lithuania, Poland, Romania, Russian Federation, Serbia, Slovakia, Ukraine;no;;;yes;medium;high;high;high;likely;low;;;likely;high;Branquart Etienne, Verreycken Hugo;;;;;;;
85;2007/05/31 at 15:27:51;2010/12/22 at 17:22:08;2007/12/04 at 17:55:21;published;Persicaria wallichii;Polygonum polystachyum;Himalayan knotweed;Renouée de l'himalaya;Afgaanse duizendknoop;Polygonaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;b2;10;1898;restricted;naturalization;;yes;yes;yes;no;high;medium;low;high;low;low;likely;likely;medium;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;widespread;widespread;widespread;isolated;isolated;isolated
111;2007/11/27 at 16:17:26;2010/12/17 at 15:07:45;2009/03/16 at 10:42:37;published;Phytolacca americana;Phytolacca decandra;American pokeweed;Raisin d'Amérique;Westerse karmozijnbes;Phytolaccaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b0;9;;;;France, Italy, Portugal, Spain, Switzerland;no;;;no;likely;likely;low;high;low;low;;;likely;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;;;;;;
4;2007/05/31 at 15:27:41;2010/01/26 at 15:40:49;2007/06/11 at 16:47:23;published;Pimephales promelas;;Fathead minnow;Vairon américain;Dikkopelrits;Cyprinidae;Fish;North America;freshwater;game/fish stocking;b2;9;1986;restricted;spread;;yes;yes;yes;no;medium;high;low;medium;high;low;low;low;low;low;Anseeuw Dieter, Branquart Etienne, Lieffrig François, Micha Jean-Claude, Parkinson Denis, Verreycken Hugo;;;isolated;widespread;isolated;;
83;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Pinus nigra nigra;;Austrina pine;Pin noir d'autriche;Oostenrijkse den;Pinaceae;Vascular plants;Europe;terrestrial;;b2;1;;restricted;;;yes;yes;yes;no;;;no;weak;no;no;;;;;Branquart Etienne;;;;;;;
84;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Polemonium caeruleum;;Jacob's ladder;Polémoine;Jakobsladder;Polemoniaceae;Vascular plants;Asia, Europe;terrestrial;;b1;1;1864;isolated;spread;;yes;yes;no;no;;;no;;no;no;;;;;Branquart Etienne;;;;;;;
150;2013/12/11 at 16:32:33;2013/12/11 at 16:32:33;2013/12/11 at 16:32:33;pending;Procambarus clarkii;;Red swamp crayfish;Ecrevisse de louisiane;Rode rivierkreeft;;Other invertebrates;North America;freshwater;aqua- and mariculture;c;6;;isolated;naturalization;;yes;;yes;yes;;high;;;high;;;;;;Etienne Branquart;;;;;;;
29;2007/05/31 at 15:27:49;2009/02/02 at 14:46:10;2007/09/18 at 18:17:04;published;Procyon lotor;;Raccoon;Raton laveur;Wasbeer;Procyonidae;Mammals;North America;terrestrial;fur farming, game/fish stocking;a2;11;1986;restricted;spread;;yes;yes;no;no;high;high;high;likely;likely;low;low;low;low;likely;Branquart Etienne, D'aes Margo, Manet Benoît, Motte Grégory, Schockert Vinciane, Stuyck Jan;;;;;isolated;widespread;isolated
112;2007/11/27 at 16:54:04;2010/12/22 at 16:11:40;2007/12/04 at 17:57:49;published;Prunus laurocerasus;Lauroceraus officinalis;Cherry laurel;Laurier cerise;Kerslaurier;Rosaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;b1;9;1994;isolated;naturalization;;yes;yes;;no;high;likely;low;likely;likely;low;;likely;likely;low;Branquart Etienne, Dupriez Pascal, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;widespread;isolated;widespread;isolated;;
14;2007/05/31 at 15:27:49;2012/09/14 at 09:57:13;2007/11/21 at 17:37:36;published;Prunus serotina;Padus serotina;Black cherry;Cerisier tardif;Amerikaanse vogelkers;Amygdalaceae;Vascular plants;North America;terrestrial;forestry;a3;12;1890;widespread;spread;;yes;yes;yes;no;high;high;low;high;low;low;medium;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Vanhellemont Margot, Van Landuyt Wouter, Van Rossum Fabienne, Verheyen Kris, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
5;2007/05/31 at 15:27:41;2007/06/11 at 17:06:10;2007/06/11 at 17:06:10;published;Pseudorasbora parva;;Stone moroko, Topmouth gudgeon;Goujon asiatique;Blauwband(-grondel);Cyprinidae;Fish;Asia;freshwater;game/fish stocking;a2;11;1989;restricted;spread;;yes;yes;yes;no;high;high;likely;high;high;low;low;low;low;medium;Anseeuw Dieter, Branquart Etienne, Lieffrig François, Micha Jean-Claude, Parkinson Denis, Verreycken Hugo;widespread;widespread;widespread;widespread;isolated;;
86;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Pseudotsuga menziesii;;Douglas fir;Douglas;Douglasspar;Pinaceae;Vascular plants;North America;terrestrial;;b1;1;;isolated;;;yes;yes;;no;;;no;;no;no;;;;;Branquart Etienne;;;;;;;
23;2007/05/31 at 15:27:49;2009/09/29 at 09:59:01;2007/06/29 at 10:23:56;published;Psittacula krameri;;Ring-necked parakeet;Perruche à collier;Halsbandparkiet;Psittacidae;Birds;Africa, Asia;terrestrial;pets and domestic animals;b2;9;1966;restricted;spread;;yes;yes;yes;no;high;high;likely;medium;likely;low;low;low;low;;Anselin Anny, Branquart Etienne, Strubbe Diederik, Weiserbs Anne;;;isolated;widespread;isolated;;
87;2007/05/31 at 15:27:51;2012/10/12 at 16:24:42;2007/12/04 at 18:00:25;published;Quercus rubra;Quercus borealis;Red oak;Chêne rouge;Amerikaanse eik;Fagaceae;Vascular plants;North America;terrestrial;agri- and horticulture, forestry;b3;10;1950;widespread;spread;;yes;yes;yes;no;medium;likely;low;high;low;low;high;likely;likely;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
88;2007/05/31 at 15:27:51;2013/12/11 at 15:59:30;2007/09/19 at 11:09:17;published;Rana catesbeiana;Lithobates catesbeianus;American bullfrog;Grenouille taureau;Stierkikker;Ranidae;Amphibians and reptiles;North America;freshwater;aquariums and ponds;a1;12;1996;isolated;spread;;yes;yes;yes;yes;high;high;high;high;high;low;low;low;;high;Branquart Etienne, Laudelout Arnaud, Louette Gerald, Martin Youri, Percsy Christiane;;isolated;widespread;isolated;;;
