dataset	verbatimValue	controlledValue
plants	Grain, wool,etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Grain, wool, etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Grain, wool, seeds	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Grass seed, wool	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, birdseed	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, grain	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, grain  	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, grain,etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, grain, etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, seeds	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, seeds,etc	contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Seeds, hort.	escape > horticulture | contaminant > seed contaminant
plants	Hort., wool, grain	escape > horticulture | contaminant > seed contaminant | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Grain, ore, etc	contaminant > seed contaminant | contaminant > transportation of habitat material (soil, vegetation,…)
plants	Grain, Ore,etc	contaminant > seed contaminant | contaminant > transportation of habitat material (soil, vegetation,…)
plants	Grain, seeds, ore	contaminant > seed contaminant | contaminant > transportation of habitat material (soil, vegetation,…)
plants	Grain, ore, wool	contaminant > seed contaminant | contaminant > transportation of habitat material (soil, vegetation,…) | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Ore, grain, wool	contaminant > seed contaminant | contaminant > transportation of habitat material (soil, vegetation,…) | contaminant > contaminant on animals (except parasites, species transported by host/vector)
fishes	BW, AM	stowaway > ship/boat ballast water | unaided > natural dispersal across borders of invasive alien species that have been introduced through pathways 1 to 5
plants	Timber	contaminant > timber trade
plants	Timber,etc	contaminant > timber trade
harmonia	agri- and horticulture	escape > to be determined by experts
harmonia	agri- and horticulture, forestry	escape > to be determined by experts
harmonia	aquariums and ponds	escape > to be determined by experts
harmonia	game/fish stocking	release > to be determined by experts
harmonia	accidental, aquariums and ponds, game/fish stocking	release > to be determined by experts | escape > to be determined by experts
harmonia	fur farming, game/fish stocking	release > to be determined by experts | escape > to be determined by experts
rinse-annex-b		to be determined by experts
rinse		to be determined by experts
harmonia		to be determined by experts
wrims		to be determined by experts
plants		to be determined by experts
harmonia	accidental	to be determined by experts
plants	Fish	to be determined by experts
plants	Hybridization	to be determined by experts
macroinvertebrates	shipping	stowaway > to be determined by experts
macroinvertebrates	shipping, other	stowaway > to be determined by experts
macroinvertebrates	shipping, others	stowaway > to be determined by experts
macroinvertebrates	shipping, corridors	stowaway > to be determined by experts | corridor > to be determined by experts
macroinvertebrates	shipping, corridors, other	stowaway > to be determined by experts | corridor > to be determined by experts
macroinvertebrates	shipping, aquaculture	stowaway > to be determined by experts | escape > to be determined by experts
plants	Ore	contaminant > transportation of habitat material (soil, vegetation,…)
plants	Ore,etc	contaminant > transportation of habitat material (soil, vegetation,…)
plants	Ore, etc	contaminant > transportation of habitat material (soil, vegetation,…)
plants	Ore, wool	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > transportation of habitat material (soil, vegetation,…)
plants	Ore, wool,etc	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > transportation of habitat material (soil, vegetation,…)
plants	Grain, wool, ore	contaminant > seed contaminant | contaminant > transportation of habitat material (soil, vegetation,…) | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	?	unknown
plants	Birdseed?	unknown
plants	Bulbs?	unknown
plants	Food refuse?	unknown
plants	Grain?	unknown
plants	Hay?	unknown
plants	Hort.?	unknown
plants	Hort.?,etc	unknown
plants	Military troops?	unknown
plants	Nurseries?	unknown
plants	Ore?	unknown
plants	Ore?, grain?	unknown
plants	Ore?, hort.?	unknown
macroinvertebrates	other	unknown
plants	Seeds?	unknown
plants	Timber?	unknown
plants	Traffic?	unknown
plants	Waterfowl?	unknown
plants	Wool?	unknown
plants	Urban weed	stowaway
plants	Urban weed,etc	stowaway
