scientificName	gbifapi_usageKey	gbifapi_acceptedScientificName	gbifapi_acceptedKey	status	remark	accordingTo
Dreissena rostriformis subsp. bugensis Andrusov, 1897	4371624	Dreissena bugensis Andrusov, 1897	2287073	verify: SYNONYM unresolved	not in The Plant List	
Echinochloa hispidula (Retz.) Nees ex Royle	8002116	Echinochloa oryzoides (Ard.) Fritsch	2702820	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-410285
Echinochloa muricata subsp. microstachya (Wiegand) Jauzein	6313067	Echinochloa muricata (P.Beauv.) Fernald	2702816	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-410311
Echinopsis silvestrii Speg.	5621983	Echinopsis albispinosa K. Schum.	7282357	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-2783644
Elaeagnus pungens Thunb.	3039270	Elaeagnus pungens C.P. Thunb. ex A. Murray	8214730	ok: SYNONYM author variation	ex author	
Elaeagnus umbellata Thunb.	3039267	Elaeagnus umbellata C.P. Thunb. ex A. Murray	7752288	ok: SYNONYM author variation	ex author	
Eleocharis austriaca Hayek	2717405	Eleocharis mamillata subsp. austriaca (Hayek) Strandh.	2717402	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-242325
Eleusine coracana subsp. africana	4115907	Eleusine africana	4124350	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-410608
Eleusine indica subsp. indica	6431270	Eleusine indica (L.) Gaertn.	2705953	ok: SYNONYM probably valid	accepted name is in plants	http://alienplantsbelgium.be/taxonomy/term/5676/descriptions
Elymus scaber (R. Br.) A. Love	7324613	Anthosachne multiflora (Banks & Sol. ex Hook.f.) C.Yen & J.L.Yang	7344735	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-411541
Ephedra saxatilis var. sikkimensis (Stapf) Florin	2653395	Ephedra gerardiana var. sikkimensis Stapf	2653392	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-333036
Eragrostis chloromelas Steud.	2705380	Eragrostis curvula (Schrad.) Nees	2705378	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-412373
Eragrostis cilianensis (All.) Janch.	8621843	Poa alpina L.	2704234	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/kew-412374
Eragrostis trichophora Coss. & Durieu	2705367	Eragrostis cylindriflora Hochst.	2705391	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-413316
Eragrostis virescens subsp. verloovei Portal	6084851	Eragrostis mexicana (Hornem.) Link	2705339	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-457520
Erigeron flahaultianus Thell.	4217250	Erigeron sumatrensis Retz.	3146683	verify: SYNONYM probably invalid	considered synonym of Erigeron floribundus (Kunth) Sch.Bip.	http://www.theplantlist.org/tpl1.1/record/gcc-84289
Erigeron huelsenii Vatke	3095939	Conyzigeron huelsenii (Vatke) Rauschert	3095938	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-32837
Erigeron pampeanus Parodi	3126046	Conyza pampeana (Parodi) Cabrera	5397996	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-143229
Erodium cygnorum subsp. glandulosum Carolin	3827934	Erodium carolinianum J.J. Aldasoro, C. Aedo, C. Navarro & L. Saez	3828342	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-2798210
Erodium moschatum var. cicutarioides Delile	8605414	Erodium meynieri Maire	3826756	verify: SYNONYM unresolved	not in The Plant List	
Erodium moschatum var. moschatum	7258888	Erodium moschatum	2891625	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/tro-13900786
Erodium salzmannii Del.	4934102	Erodium cicutarium subsp. cicutarium	7258886	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-2798426
Erucastrum incanum (L.) W.D.J. Koch	5376070	Sinapis incana L.	3047620	verify: SYNONYM probably invalid	considered synonym of Hirschfeldia incana (L.) Lagr.-Foss.	http://www.theplantlist.org/tpl1.1/record/kew-2798847
Erysimum ruscinonense Jord.	3048071	Erysimum nevadense subsp. collisparsum (Jord.) P.W. Ball	3048069	verify: SYNONYM probably invalid	considered synonym of Erysimum canescens Roth	http://www.theplantlist.org/tpl1.1/record/kew-2800445
Euonymus hederaceus Champ. ex Benth.	3792460	Euonymus fortunei (Turcz.) Hand.-Mazz.	3169137	ok: SYNONYM valid	synonym in same direction	http://alienplantsbelgium.be/taxonomy/term/6002/descriptions
Euphorbia brittingeri Opiz ex Samp.	3069065	Euphorbia verrucosa L.	3069053	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-78730
Euphorbia glomerifera (Millsp.) L.C.Wheeler	3066330	Euphorbia hypericifolia L.	3066321	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-79884
Euphorbia serpens subsp. fissistipula (Thell.) Verloove & Lambinon	8273282	Euphorbia serpens Kunth	3064221	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-465908
Eurybia divaricata (L.) G.L.Nesom	5396125	Croptilon divaricatum (Nutt.) Raf.	3139628	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/gcc-17778
Eutrochium maculatum (L.) E.E.Lamont	3138195	Eupatorium maculatum L.	5401612	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/gcc-51805
Fallopia bohemica (Chrtek & Chrtková) J.P. Bailey	5652296	Reynoutria bohemica J. Chrtek & A. Chrtková	4038485	ok: SYNONYM valid	synonym in same direction	http://alienplantsbelgium.be/taxonomy/term/4858/descriptions
Fallopia japonica (Houtt.) Ronse Decraene	5334357	Reynoutria japonica Houtt.	2889173	ok: SYNONYM valid	synonym in same direction	http://alienplantsbelgium.be/taxonomy/term/4856/descriptions
Fallopia sachalinensis (Friedrich Schmidt Petrop.) Ronse Decraene	5334293	Reynoutria sachalinensis (Friedrich Schmidt Petrop.) Nakai	2889088	ok: SYNONYM valid	synonym in same direction	http://alienplantsbelgium.be/taxonomy/term/6034/descriptions
Festuca brevipila R.Tracey	2704955	Festuca trachyphylla (Hack.) Hack.	2704949	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-414662
Fragaria ×ananassa (Weston) Duchesne ex Rozier	3029912	Fragaria ananassa subsp. ananassa	6550282	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/rjp-38077
Gaillardia grandiflora Hort.	8440418	Gaillardia grandiflora Hort. ex Van Houtte	5387817	ok: SYNONYM author variation	ex author	
Galactites elegans (All.) Nyman ex Soldano	3137580	Centaurea cineraria L.	3128305	verify: SYNONYM probably invalid	considered synonym of Galactites tomentosa Moench	http://www.theplantlist.org/tpl1.1/record/gcc-131160
Galanthus nivalis var. scharlockii Casp.	2855358	Galanthus nivalis L.	2855356	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-307586
Galanthus warei J.Allen	7556596	Galanthus nivalis L.	2855356	verify: SYNONYM unresolved	not in The Plant List	
Galinsoga quadriradiata Ruiz & Pav.	8298495	Galinsoga quadriradiata Cav.	3132567	ok: SYNONYM probably valid	other author, should be verified further	
Galium parisiense var. leiocarpum Tausch	2914818	Galium parisiense L.	2913169	verify: SYNONYM probably invalid	considered synonym of Galium divaricatum Pourr. ex Lam.	http://www.theplantlist.org/tpl1.1/record/kew-87117
Gamochaeta antillana (Urb.) Anderb.	3103180	Gnaphalium antillanum Urb.	5390801	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-4559
Gamochaeta pensylvanica (Willd.) Cabrera	3103082	Gnaphalium pensylvanicum Willd.	5390730	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/3432/descriptions
Gaura lindheimeri Engelm. & Gray	3189268	Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch	3664589	ok: SYNONYM probably valid	synonym in other direction, accepted name is in plants	http://www.theplantlist.org/tpl1.1/record/kew-2818180
Glebionis coronaria (L.) Tzvelev	7627205	Glebionis coronaria (L.) Cass. ex Spach	3141115	ok: SYNONYM probably valid	other author, should be verified further	
Helianthus decapetalus L.	3119185	Helianthus hirsutus Raf.	3119209	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/gcc-120879
Heliotropium suaveolens M.Bieb.	7294771	Heliotropium suaveolens subsp. suaveolens	7294772	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-2844512
Helipterum floribundum A.Cunn. ex DC.	3137630	Rhodanthe floribunda (DC.) Paul G.Wilson	3137629	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-9505
Helipterum strictum (Lindl.) Benth.	3137688	Rhodanthe stricta (Lindl.) Paul G.Wilson	3137686	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-31729
Hieracium amplexicaule subsp. speluncarum (Arv.-Touv.) Zahn	6078423	Hieracium amplexicaule subsp. spelaeum (Arv.-Touv.) Zahn	6295486	verify: SYNONYM unresolved	not in The Plant List	
Hieracium glaucinum subsp. recensitum (Jord. ex Boreau) Gottschl.	4219118	Hieracium recensitum ford	7358565	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-50572
Honorius nutans (L.) Gray	2773290	Ornithogalum nutans L.	2773281	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/6268/descriptions
Hordeum geniculatum All.	4116522	Hordeum marinum subsp. gussoneanum (Parl.) Thell.	8338571	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-419319
Hordeum glaucum Steud.	4116483	Hordeum murinum subsp. glaucum (Steud.) Tzvelev	4115425	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-419324
Hordeum leporinum Link	4115652	Hordeum murinum subsp. leporinum (Link) Arcang.	4270548	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-419386
Humulus japonicus Sieb. & Zucc.	2984536	Humulopsis scandens (Lour.) I.A. Grudzinskaya	3874408	ok: SYNONYM probably valid	synonym in other direction, NL name matches	http://www.theplantlist.org/tpl1.1/record/kew-2855038
Humulus scandens (Lour.) Merr.	2984537	Humulopsis scandens (Lour.) I.A. Grudzinskaya	3874408	ok: SYNONYM probably valid	other author, should be verified further	
Hypericum ×moserianum Andre	3189474	Hypericum moseranum Ed. Andre	3189468	ok: SYNONYM author variation	author variation	
Hystrix patula Moench	4146782	Elymus hystrix L.	8112114	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-419913
Ipomoea coccinea L.	2928560	Ipomoea rubriflora O'Donell	7519113	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/tro-8500974
Ipomoea hederacea var. integriuscula A.Gray	2928622	Ipomoea hederacea (L.) Jacquin	2928538	verify: SYNONYM probably invalid	considered synonym of Ipomoea nil (L.) Roth	http://www.theplantlist.org/tpl1.1/record/tro-8501538
Ipomoea lacunosa f. lacunosa	7324507	Ipomoea lacunosa L.	2928584	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/tro-8501542
Isotrema macrophyllum (Lam.) C. F. Reed	2873995	Aristolochia macrophylla Lam.	2873994	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/5365/descriptions
Jovibarba sobolifera (J. Sims) Opiz	7334511	Sempervivum globiferum subsp. globiferum	7334391	verify: SYNONYM unresolved	considered synonym of Sempervivum globiferum L.	http://www.theplantlist.org/tpl1.1/record/kew-2332848
Juncus tenuis subsp. anthelatus (Wiegand) Verloove & Lambinon	7841979	Juncus anthelatus (Wiegand) R.E.Brooks & Whittem.	2702058	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-467419
Juncus tenuis subsp. dichotomus (Elliott) Verloove & Lambinon	8143288	Juncus dichotomus Elliott	2701120	ok: SYNONYM valid	synonym in same direction, accepted name is in plants	http://www.theplantlist.org/tpl1.1/record/kew-315964
Juncus tenuis subsp. dudleyi (Wiegand) P.Fourn.	2701833	Juncus dudleyi Wiegand	2701831	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-315966
Kolkwitzia amabilis Graebn.	2888706	Linnaea amabilis (Graebn.) Christenh.	7529757	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/tro-6000434
Lactuca sativa L.	7403263	Lactuca sativa	3140379	ok: SYNONYM valid	accepted has no author	
Lamprocapnos spectabilis (L.) T.Fukuhara	2888564	Fumaria barnolae subsp. barnolae	7314977			
Lathyrus cicera L.	5356481	Astragalus cicer L.	5343253			
Ledum palustre L.	2882977	Rhododendron tomentosum subsp. tomentosum	6400570			
Lepidium draba subsp. chalepensis (L.) Thell.	7738761	Lepidium chalepense L.	5376514			
Lepidium draba subsp. draba	5376966	Lepidium draba L.	5376961			
Lepidium neglectum Thell.	5377072	Lepidium densiflorum Schrad.	5377064			
Leucanthemum superbum (Bergmans ex J.W.Ingram) D.H.Kent	5401007	Leucanthemum ×superbum (Bergmans ex J.Ingram) Soreng & E.A.Cope	7378144	ok: SYNONYM probably valid	other author, should be verified further	
Lindernia procumbens (Krock.) Borbás	8602699	Lindernia procumbens (Krocker) Philcox	3171882	ok: SYNONYM probably valid	other author, should be verified further	
Lolium boucheanum Kunth	4133390	Lolium multiflorum Lam.	4129708			
Lolium subulatum Vis.	2706221	Lolium rigidum Gaudin	2706218			
Loncomelos brevistylum (Wolfner) Dostál	2772890	Ornithogalum pyramidale L.	2772885	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-280957
Loncomelos narbonense (L.) Raf.	2772978	Ornithogalum narbonense L.	2772958	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-279996
Lonicera chrysantha Turcz. ex Ledeb.	5334246	Lonicera chrysantha Turcz.	8242349	ok: SYNONYM author variation	ex author	
Lonicera nitida E.H. Wilson	5599249	Lonicera pileata var. yunnanensis (Franch.) Bernd Schulz	7764700			
Ludwigia hexapetala (Hook. & Arn.) E.M. Zardini, H.Y. Gu & P.H. Raven	5421040	Ludwigia grandiflora var. hexapetala (Hook. & Arn.) D.B.Ward	8309092			
Lysimachia linum-stellatum L.	4007682	Asterolinon linum-stellatum (L.) Duby	4007104	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-2492991
Lysimachia monellii (L.) U.Manns & Anderb.	7862391	Anagallis monellii subsp. monellii	8349720			
Mahonia aquifolium (Pursh) Nutt.	3033865	Berberis aquifolium Pursh	3033868	ok: SYNONYM valid	synonym in same direction	http://alienplantsbelgium.be/taxonomy/term/3619/descriptions
Malus sylvestris subsp. mitis (Wallr.) Mansf.	3001381	Malus pumila Mill.	3001093			
Malva preissiana Miq.	3941038	Malva australiana M.F. Ray	3935002			
Malva pseudolavatera Webb & Berthel.	3940998	Malva multiflora (Cav.) Soldano et al.	3933415			
Malva setigera K.F.Schimp. & Spenn.	3940638	Malva hirsuta (L.) E. H. L. Krause	7944532			
Malva trimestris var. brachypoda (Pérez Lara) Verloove & Lambinon	8300984	Malva trimestris (L.) Salisb.	3940326			
Matricaria recutita var. coronata (J.Gay ex Boiss.) Fertig	8258539	Chamomilla chamomilla var. coronata J.Gay ex Boiss.	6291909			
Matthiola longipetala subsp. bicornis (Sm.) P.W. Ball	7740944	Matthiola longipetala subsp. longipetala	7225577			
Mazus reptans N.E. Br.	3171303	Mazus miquelii Makino	3171302			
Meconopsis cambrica (L.) Vig.	3601091	Papaver cambricum L.	3602683			
Medicago monantha subsp. incisa (Benth.) Verloove & Lambinon	3966132	Medicago monantha (C.A.Mey.) Trautv.	2965226			
Medicago monantha subsp. noeana (Boiss.) Greuter & Burdet	3966127	Medicago monantha (C.A.Mey.) Trautv.	2965226			
Medicago varia Martyn	2965331	Medicago sativa subsp. varia (Martyn) Arcang.	8316569			
Melilotus officinalis (L.) Lam.	8193111	Melilotus officinalis (L.) Pall.	2971024	ok: SYNONYM probably valid	other author, should be verified further	
Mentha smithiana R.A.Graham	2927185	Mentha wirtgeniana F.W.Schultz	3893979			
Mentha spicata subsp. glabrata (Lej. & Courtois) Lebeau	3895556	Mentha spicata subsp. spicata	7308335			
Microlonchus salmanticus (L.) DC.	3141575	Mantisalca salmantica (L.) Briq. & Cavill.	3141571	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-2745
Minuartia laricifolia (L.) Schinz & Thell.	6364275	Cherleria laricifolia subsp. laricifolia	7808349			
Minuartia mediterranea (Link) K. Maly	7895013	Sabulina mediterranea (Link) Rchb.	5587011			
Miscanthus sacchariflorus (Maxim.) Benth. & Hook. f.	8410425	Miscanthus sacchariflorus (Maxim.) Hack.	2706023	ok: SYNONYM probably valid	other author, should be verified further	
Molinia caerulea subsp. arundinacea (Schrank) K. Richt.	8353934	Molinia caerulea (L.) Moench	5289877			
Moorochloa eruciformis (Sm.) Veldkamp	4155246	Brachiaria eruciformis (Sm.) Griseb.	2704068	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-424915
Mustela vison Schreber, 1777	5218823	Neovison vison (Schreber, 1777)	2433652	ok: SYNONYM probably valid	synonym in other direction	http://ias.biodiversity.be/species/show/26
Myosotis alpestris F. W. Schmidt	5341187	Myosotis alpestris subsp. alpestris	7295191			
Narcissus obvallaris Salisb.	2858374	Narcissus hispanicus Gouan	2858384	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-281999
Narcissus pseudonarcissus subsp. major (Curtis) Baker	2858363	Narcissus hispanicus Gouan	2858384	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-309116
Nemophila menziesii var. integrifolia Parish	3611735	Nemophila menziesii var. integrifolia Brand	7536406	ok: SYNONYM probably valid	other author, should be verified further	
Noccaea brachypetala (Jord.) F.K. Mey.	3045473	Noccaea caerulescens subsp. brachypetala (Jord.) Tzvelev	3045464	verify: SYNONYM probably invalid	considered synonym of Thlaspi caerulescens subsp. brachypetalum (Jord.) O.Bolòs, Vigo, Masalles & Ninot	http://www.theplantlist.org/tpl1.1/record/kew-2381272
Notodanthonia gracilis (Hook.f.) Zotov	4146338	Rytidosperma gracile (Hook.f.) Connor & Edgar	4136338	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-426018
Odontella sinensis (Greville) Grunow, 1884	5421668	Trieres chinensis (Greville) M.P.Ashworth & E.C.Theriot, 2013	8051459	verify: SYNONYM unresolved	not in The Plant List	
Oenothera cruciata Nutt. ex G. Don	7926755	Oenothera parviflora L.	3188833	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/tro-23201349
Oenothera depressa Greene	6428493	Oenothera villosa subsp. villosa	6427623	verify: SYNONYM probably invalid	considered synonym of Oenothera strigosa var. depressa	http://www.theplantlist.org/tpl1.1/record/tro-23202102
Oenothera glazioviana f. rubricalyx (R.R.Gates) Lambinon	3666059	Oenothera perangusta Gates	7322738	ok: SYNONYM probably valid	accepted name is in plants	http://alienplantsbelgium.be/taxonomy/term/4687/descriptions
Oenothera rubricalyx R.R.Gates	3665866	Oenothera perangusta Gates	7322738	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/kew-2399568
Orobanche ramosa L.	3173272	Phelipanche ramosa (L.) Pomel	3728894	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/tro-23201349
Osteospermum jucundum (E.Phillips) Norl.	3093587	Dimorphotheca jucunda E.Phillips	5402340	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/gcc-97069
Oxalis stricta L.	2891666	Oxalis dillenii Jacq.	2891677	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/kew-2394269
Panicum capillare subsp. barbipulvinatum (Nash) Tzvelev	8536910	Panicum capillare L.	2705162			
Panicum capillare subsp. capillare	6449040	Panicum capillare L.	2705162			
Panicum capillare subsp. hillmanii (Chase) Freckmann & Lelong	4153082	Panicum hillmanii Chase	2705098	ok: SYNONYM valid	synonym in same direction	http://alienplantsbelgium.be/taxonomy/term/6050/descriptions
Panicum chloroticum Nees ex Trin.	8357651	Panicum dichotomiflorum Michx.	2705144			
Panicum miliaceum subsp. agricola H.Scholz & Mikoláš	4134826	Panicum miliaceum L.	2705090			
Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev	4134741	Panicum miliaceum L.	2705090			
Papaver somniferum subsp. setigerum (DC.) Arcangeli	8242032	Papaver setigerum DC.	3602227			
Parthenocissus inserta (A. Kerner) Fritsch	3039203	Parthenocissus vitacea (Knerr) A.S. Hitchc.	3039193	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/5306/descriptions
Paspalum notatum var. saurae Parodi	4106609	Paspalum saurae (Parodi) Parodi	4154259	verify: SYNONYM unresolved	both considered synonyms of Paspalum notatum	http://alienplantsbelgium.be/taxonomy/term/6246/descriptions
Pastinaca sativa subsp. urens (Req. ex Godr.) Celak.	7466434	Pastinaca sativa subsp. sativa	7224157	verify: SYNONYM probably invalid	considered synonym of Pastinaca umbrosa Steven	http://www.theplantlist.org/tpl1.1/record/tro-1702999
Pelargonium capitatum (L.) Aiton	8112856	Pelargonium capitatum	2891613	ok: SYNONYM valid	accepted has no author	
Pentaschistis airoides (Nees) Stapf	4145907	Pentameris airoides (Nees) Steud.	4146851	ok: SYNONYM probably valid	other author, should be verified further	
Persicaria pensylvanica (L.) G. Maza	8026804	Persicaria pensylvanica (L.) M. Gómez	8263906	ok: SYNONYM probably valid	other author, should be verified further	
Persicaria perfoliata (L.) H. Gross	4033648	Truellum perfoliatum (L.) Soják	4037171	verify: SYNONYM probably invalid	considered synonym of Polygonum perfoliatum L.	http://www.theplantlist.org/tpl1.1/record/kew-2572612
Persicaria wallichii W. Greuter & Burdet	6391908	Rubrivena polystachya (Wall.) M. Král	4037343	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-2572263
Petrorhagia nanteuilii (Burnat) P. W. Ball & Heywood	3085622	Petrorhagia nanteuilii (Bumat) P. W. Ball & Heywood	8693157	ok: SYNONYM author variation	author variation	
Petunia parviflora Juss.	2928906	Calibrachoa parviflora (Jussieu) W.G. D'Arcy	7823026	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/tro-29600085
Phalaris arundinacea var. picta L.	5289757	Phalaris arundinacea L.	5289756			
Phalaris paradoxa var. paradoxa	6067713	Phalaris paradoxa L.	5289758			
Phalaris paradoxa var. praemorsa (Lam.) Coss. & Durieu	8008561	Phalaris paradoxa L.	5289758			
Photinia beauverdiana var. notabilis (C. K. Schneider) Rehd. & E. H. Wilson	5363895	Photinia beauverdiana C.K. Schneid.	5363891			
Phuopsis stylosa (Trin.) Hook.f. ex B.D.Jacks.	2903387	Phuopsis stylosa (Trin.) G.Nicholson	7671397	ok: SYNONYM probably valid	other author, should be verified further	
Physalis angulata var. angulata	7300041	Physalis angulata L.	5341792			
Physalis angulata var. pendula (Rydb.) Waterf.	5341795	Physalis angulata L.	5341792			
Physalis ixocarpa Brot. ex Hornem.	6402873	Physalis philadelphica subsp. ixocarpa (Brot. ex Hornem.) Sobr.-Vesp. & Sanz-Elorza	5581168			
Physalis minima L.	5341772	Physalis lagascae Roem. & Schult.	5341775			
Pilosella bauhini Arv.-Touv.	6300805	Pilosella piloselloides subsp. bauhini (Schult.) S.Bräut. & Greuter	8111836			
Pilosella duplex (Peter) Holub	3134993	Hieracium duplex Peter	3134985	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/gcc-117533
Pilosella flagellaris (Willd.) P.D.Sell & C.West	7764066	Pilosella flagellaris (Willd.) Arv.-Touv.	3123262	ok: SYNONYM probably valid	other author, should be verified further	
Pilosella florentoides (Arv.-Touv.) P.D.Sell & C.West	3123658	Pilosella visianii F.W.Schultz & Sch.Bip.	3123683			
Piptatherum miliaceum subsp. miliaceum	6067668	Achnatherum miliaceum (L.) P.Beauv.	4141737			
Piptatherum miliaceum subsp. thomasii (Duby) Freitag	4134872	Achnatherum miliaceum (L.) P.Beauv.	4141737			
Platanus hispanicus Muenchh.	8221404	Platanus hybrida Brot.	3152814			
Pleioblastus pumilus (Mitford) Nakai	4131135	Pleioblastus argenteostriatus (Regel) Nakai	4132188			
Polygonum arenarium subsp. pulchellum (Loisel.) D. A. Webb & Chater	7681832	Polygonum arenarium subsp. pulchellum (Loisel.) Thell.	8336551	ok: SYNONYM probably valid	other author, should be verified further	
Polypogon rioplatensis Herter	4153734	Polypogon imberbis (Phil.) Johow	4154206			
Polysiphonia harveyi Bailey, 1848	5277408	Neosiphonia harveyi (Bailey) M.-S.Kim, H.-G.Choi, Guiry & G.W.Saunders, 2001	5277404			
Polystichum tsus-simense (Hook.) J. Sm.	2651108	Polystichum luctuosum (Kze.) T. Moore	4046493			
Populus generosa A.Henry	3040245	Populus jackii Sarg.	3040241			
Populus nigra var. italica Münchh.	8154049	Populus nigra var. italica (Moench.) Koehne	7358677	ok: SYNONYM probably valid	other author, should be verified further	
Populus trichocarpa Torr. & Gray ex Hooker	6362904	Populus balsamifera subsp. trichocarpa (Torr. & Gray) Brayshaw	8694725			
Portulaca papillatostellulata (Danin & H.G.Baker) Danin	4022463	Portulaca macrantha (Maire) C. Ricceri & P.V. Arrigoni	4022910			
Potentilla indica (Jacks.) T.Wolf	8591421	Duchesnea indica (Jacks.) Focke	3031919	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/rjp-10798
Proasellus meridianus (Racovitza, 1919)	2206086	Asellus meridianus Racovitza, 1919	2206087	verify: SYNONYM unresolved	not in The Plant List	
Proboscidea louisianica Thell.	5415100	Proboscidea louisianica subsp. louisianica	7226243			
Prunus cerasus L.	3021922	Prunus avium (L.) L.	3020791			
Prunus persica (L.) Batsch	3022511	Prunus persica (L.) Stokes	8149923	ok: SYNONYM probably valid	other author, should be verified further	
Prunus virginiana L.	3022668	Prunus serotina Ehrh.	3021850			
Psephellus dealbatus (Willd.) K.Koch	3137829	Psephellus dealbatus (Willd.) Boiss.	7838007	ok: SYNONYM probably valid	other author, should be verified further	
Pterocarya fraxinifolia (Lam.) Spach	8288647	Pterocarya pterocarpa (Michx.) Kunth ex I. Iljinsk.	4205311			
Rana catesbeiana Shaw, 1802	2427092	Lithobates catesbeianus (Shaw, 1802)	2427091	ok: SYNONYM probably valid	synonym in other direction	http://ias.biodiversity.be/species/show/88
Reynoutria compacta (Hook. fil.) Nakai	6709291	Reynoutria japonica Houtt.	2889173	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2905898
