scientificName	gbifapi_usageKey	gbifapi_acceptedScientificName	gbifapi_acceptedKey	status	remark	accordingTo
Avena sterilis subsp. ludoviciana (Durieu) Nyman	2705287	Avena sterilis subsp. ludoviciana (Durieu) Gillet & Magne	8429888	ok: SYNONYM probably valid	other author, should be verified further	
Barbarea stricta Andrz.	7560578	Barbarea stricta Andrz. ex Besser	5374614	ok: SYNONYM author variation	ex author	
Berberis wagneri Hort.	8621680	Berberis pinnata subsp. pinnata	6403380	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/kew-2674639
Bergenia schmidtii (Regel) Silva Tarouca	5567657	Bergenia ciliata (Haw.) Sternb.	8330218	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/kew-2674829
Bidens frondosa Buch.-Ham.	8662049	Bidens frondosa Buch.-Ham. ex Hook.f.	8359115	ok: SYNONYM author variation	ex author	
Bidens frondosa var. anomala Porter ex Fernald	5700912	Bidens frondosa L.	5392174	ok: SYNONYM probably valid	unresolved, suggested synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-58109
Bidens frondosa var. frondosa	7872129	Bidens frondosa L.	5392174	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-9751
Bidens triplinervia var. macrantha (Wedd.) Sherff	8323119	Bidens triplinervia Kunth	5391928	verify: SYNONYM unresolved	not in The Plant List	
Bifora testiculata (L.) Spreng.	5371869	Bifora testiculata (L.) Roth	7412216	ok: SYNONYM probably valid	other author, should be verified further	
Biserrula pelecinus L.	2938473	Astragalus pelecinus subsp. pelecinus	7068263	verify: SYNONYM unresolved	considered synonym of Astragalus pelecinus	http://www.theplantlist.org/tpl1.1/record/ild-7621
Blitum virgatum L.	5383969	Chenopodium foliosum Asch.	3083844	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2677632
Brachyscome heterodonta DC.	3144548	Brachyscome dentata Gaudich.	3144545	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-133662
Bromus carinatus var. marginatus (Nees ex Steud.) Barkworth & Anderton	4932863	Bromus marginatus Nees ex Steud.	2703686	verify: SYNONYM unresolved	not in The Plant List	
Bromus diandrus subsp. diandrus	8190105	Bromus diandrus Roth	2703760	verify: SYNONYM unresolved	not in The Plant List	
Bromus diandrus subsp. maximus (Desf.) Soó	8553193	Bromus rigidus Roth	2703663	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-400923
Bromus hordeaceus nothosubsp. pseudothominei (P.M. Smith) H. Scholz	8706035	Bromus ×pseudothominii P.M. Smith	7398575	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-401155
Bromus hordeaceus subsp. molliformis (J.Lloyd) Maire & Weiller	6312441	Bromus hordeaceus subsp. hordeaceus	7226793	verify: SYNONYM unresolved	considered synonym of Bromus hordeaceus L.	http://www.theplantlist.org/tpl1.1/record/kew-401153
Bromus japonicus Thunb.	2703735	Bromus japonicus subsp. japonicus	7226794	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-401252
Bugula simplex Hincks, 1886	4984779	Bugulina simplex (Hincks, 1886)	7668385	ok: SYNONYM author variation	author variation	
Bugula stolonifera Ryland, 1960	4984823	Bugulina stolonifera (Ryland, 1960)	8428595	ok: SYNONYM author variation	author variation	
Calandrinia elegans Spach	7389949	Calandrinia ciliata (Ruiz & Pavon) DC.	3084693	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2690603
Cardamine hamiltonii G.Don	3692264	Cardamine flexuosa With.	3046076	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2699826
Carduus hamulosus Ehrh.	3114679	Carduus nutans subsp. platypus (Lange) Greuter	4212130	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/gcc-80010
Carduus vivariensis Jord.	4210773	Carduus nigrescens subsp. vivariensis (Jord.) Bonnier & Layens	6076849	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-131264
Celastrus orbiculatus Thunb.	3169169	Celastrus orbiculatus C.P. Thunberg ex A. Murray	8104460	ok: SYNONYM author variation	ex author	
Cenchrus incertus M.A.Curtis	5289728	Cenchrus spinifex Cav.	5289726	ok: SYNONYM probably valid	unresolved, suggested synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-403941
Centaurea algeriensis Durieu & Coss.	4207003	Centaurea diluta subsp. algeriensis (Coss. & Durieu) Marie	7399679	ok: SYNONYM probably valid	unresolved, suggested synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-3498
Centaurea extranea Beck	8173637	Centaurea extranea Beck ex Gugler	4253832	ok: SYNONYM author variation	ex author	
Centaurea phrygia L.	8305028	Centaurea phrygia	3127957	ok: SYNONYM valid	accepted has no author	
Centaurea psammogena Gáyer	8708866	Centaurea varnensis Velen.	3128725	verify: SYNONYM unresolved	should actually match the hybrid, which is unresolved	http://www.theplantlist.org/tpl1.1/record/tro-50202058
Cephalaria alpina (L.) Schrad. ex Roem. & Schult.	2888799	Cephalaria alpina (L.) Schrad.	8259811	ok: SYNONYM author variation	ex author	
Cephalaria syriaca (L.) Schrad. ex Roem. & Schult.	2888796	Cephalaria syriaca (L.) Schrad.	8355821	ok: SYNONYM author variation	ex author	
Chaenostoma cordatum Benth.	5561475	Sutera cordata (Thunb.) Kuntze	3728734	ok: SYNONYM probably valid	synonym in other direction, also in The Plant List	http://alienplantsbelgium.be/taxonomy/term/6167/descriptions
Chamaenerion dodonaei (Vill.) Schur	7742704	Epilobium dodonaei Vill.	3666323	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2715624
Chenopodium bushianum Aellen	6447582	Chenopodium berlandieri var. bushianum (Aellen) Cronquist	3757050	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2717190
Chionodoxa luciliae Boiss.	2767272	Scilla luciliae (Boiss.) Speta	2767271	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-302118
