taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
	plants	Acanthus mollis L.						Acanthaceae								Cas.						Hort.	D		E AF		X	X					1998		2015					
	plants	Acorus calamus L.						Acoraceae								Nat.						Hort.	D		AS-Te		X	X	X				1680		N					
	plants	Actinidia deliciosa (Chevalier) C.S. Liang et A.R. Ferguson						Actinidiaceae								Cas.						Food refuse	D		AS-Te		X	X					2000		Ann.					
	plants	Sambucus canadensis L.						Adoxaceae								Cas.						Hort.	D		NAM		X						1972		2015					
	plants	Viburnum davidii Franch.						Adoxaceae								Cas.						Hort.	D		AS-Te		X						2014		2015					
	plants	Viburnum rhytidophyllum Hemsl.						Adoxaceae								Cas.						Hort.	D		AS-Te		X	X	X				1990		N					
	plants	Viburnum tinus L.						Adoxaceae								Cas.						Hort.	D		E		X						2007		2015					
	plants	Viburnum x rhytidophylloides Suringar (V. lantana x rhytidophyllum)						Adoxaceae								Cas.						Hort.	D		Hybr.		X						2013		2015					
	plants	Delosperma cooperi (Hook.f.) L. Bolus						Aizoaceae								Cas.						Hort.	D		AF		X						2009		2009					
	plants	Mesembryanthemum cordifolium L.f. 	Aptenia cordifolia (L. f.) Schwantes					Aizoaceae								Cas.						Wool	A		AF			X					1892		1947					
	plants	Mesembryanthemum crystallinum L.						Aizoaceae								Cas.						Hort.	D		AF			X					1955		1955					
	plants	Mesembryanthemum nodiflorum L.						Aizoaceae								Cas.						Wool	A		E AF AS-Te			X					1895		1949					
	plants	Sesuvium portulacastrum (L.) L.						Aizoaceae								Cas.						Wool?	A		Trop.			X					1907		1907					
