Taxon	Synonym	Family	M/I	FR	MRR	Origin	Presence_Fl	Presence_Br	Presence_Wa	D/N	V/I
Nonea pulla (L.) DC.		Boraginaceae	A	1932	1932	AS-Te			X	Cas.	?
Nonea rosea (Bieb.) Link		Boraginaceae	A	1828	1828	AS-Te			X	Cas.	Seeds
Omphalodes linifolia (L.) Moench		Boraginaceae	D	<1900	<1900	E AF			X	Cas.	Hort.
Omphalodes verna Moench		Boraginaceae	D	1821	N	E	X		X	Nat.	Hort.
Pentaglottis sempervirens (L.) Tausch ex L.H. Bailey		Boraginaceae	D	1836	N	E	X	X	X	Nat.	Hort.
Phacelia purshii Buckl.		Boraginaceae	A	1893	1893	NAM	X			Cas.	Grain
Phacelia tanacetifolia Benth.		Boraginaceae	D	1884	Ann.	NAM	X	X	X	Cas.	Agric.
Pulmonaria longifolia (Bast.) Boreau		Boraginaceae	D	1955	1983	E AS-Te			X	Cas.?	Hort.
Pulmonaria mollis Wulfen ex Hornem.		Boraginaceae	D	<1850	N	E			X	Nat.	Hort.
Pulmonaria officinalis L.		Boraginaceae	D	1792	N	E	X	X	X	Nat.	Hort.
Pulmonaria rubra Schott.		Boraginaceae	D	2015	2015	E	X			Cas.?	Hort.
Pulmonaria saccharata Mill.		Boraginaceae	D	<1850	2015	E	X	 	X	Cas.?	Hort.
Symphytum asperum Lepechin s.l.	 Incl. S. x uplandicum Nyman = S. asperum x officinale L.	Boraginaceae	D	1884	N	E AS-Te	X	X	X	Nat.	Hort.
Symphytum caucasicum M. Bieb.		Boraginaceae	D	2009	N?	As-Te	X			Nat.?	Hort.
Symphytum grandiflorum DC.		Boraginaceae	D	1999	N	E AS-Te	X			Nat.	Hort.
Symphytum x hidcotense P.D. Sell (S. grandiflorum x uplandicum)		Boraginaceae	D	2008	N?	Cult.	X		X	Nat.?	Hort.
Trachystemon orientalis (L.) G. Don f.		Boraginaceae	D	1955	N	E AS-Te	X			Nat.	Hort.
Alyssum desertorum Stapf		Brassicaceae	A	1864	1910	E AS-Te	X		X	Cas.	Wool,…
Alyssum hirsutum Bieb.		Brassicaceae	A	1879	1879	E AS-Te	X			Cas.	Grain?
Alyssum montanum L.		Brassicaceae	D	2002	N?	E			X	Nat.?	Hort.
Alyssum murale Waldst. et Kit.		Brassicaceae	D?	<1850	N	E AS-Te			X	Nat.	Hort.
Alyssum simplex Rudolphi		Brassicaceae	A	<1850	1924	E AF AS-Te	X	X	X	Cas.	Wool, grain,…
Alyssum strigosum Banks et Sol.		Brassicaceae	A	1909	1909	E AS-Te			X	Cas.	?
Arabidopsis arenosa (L.) Lawalrée subsp. arenosa	Cardaminopsis arenosa (L.) Hayek subsp. arenosa	Brassicaceae	A	?	N	E	X	X	X	Nat.	Ore,…
Arabidopsis halleri (L.) O’Kane et Al-Shehbaz 	Cardaminopsis halleri (L.) Hayek	Brassicaceae	A	1947	N	E			X	Nat.	Ore?
Arabis alpina L. subsp. caucasica (Willd. ex Schlecht.) Briq.		Brassicaceae	D	1881	N	E AS-Te	X		X	Nat.	Hort.
Arabis auriculata Lam.	Arabis recta Vill.	Brassicaceae	A	<1850	<1850	E			X	Cas.	?
Arabis collina Ten.		Brassicaceae	D?	<1850	1948	E			X	Ext.?	Hort.?
Arabis planisiliqua (Pers.) Reichenb.	Arabis hirsuta (L.) Scop. subsp. gerardii Hartm. f.	Brassicaceae	A?	1855	1858	E	X		X	Cas.	?
Arabis procurrens Waldst. et Kit.		Brassicaceae	D	2011	2015	E	X			Cas.	Hort.
Armoracia rusticana P. Gaertn., B. Mey. et Scherb.		Brassicaceae	D	1853	N	?	X	X	X	Nat.	Agric.
Aubrieta columnae Guss.		Brassicaceae	D	1896	N	E	X		X	Nat.	Hort.
Aubrieta deltoidea (L.) DC.		Brassicaceae	D	1966	1966	E AS-Te	X			Cas.	Hort.
Aurinia saxatilis (L.) Desv.	Alyssum saxatile L.	Brassicaceae	D	1889	N?	E AS-Te	X		X	Nat.?	Hort.
Barbarea stricta Andrz.		Brassicaceae	A	1880	N	E AS-Te	X	X	X	Nat.	Waterfowl?
Barbarea verna (Mill.) Aschers.		Brassicaceae	A	1860	N	E AS-Te	X	X	X	Nat.	Grain,…
Berteroa incana (L.) DC.		Brassicaceae	A	1600	N	E AS-Te	X	X	X	Nat.	Grain,…
Boreava orientalis Jaub. et Spach		Brassicaceae	A	1909	1932	AS-Te		X	X	Cas.	Grain,…
Brassica barrelieri (L.) Janka		Brassicaceae	A	2013	2013	E AF	X			Cas.	Grain
Brassica elongata Ehrh. subsp. integrifolia (Boiss.) Breistr.		Brassicaceae	A	1886	1912	E AS-Te	X		X	Cas.	Grain, wool,…
Brassica juncea (L.) Czern.		Brassicaceae	A	1857	2015	AF AS	X	X	X	Cas.	Grain,…
Brassica napus L.		Brassicaceae	D	1858	Ann.	?	X	X	X	Cas.	Agric.
Brassica oleracea L.		Brassicaceae	D	?	?	E	X	X		Cas.	Agric.
Brassica rapa L.		Brassicaceae	D	<1900	Ann.	?	X	X	X	Cas.	Agric.
Brassica tournefortii Gouan		Brassicaceae	A	1922	2013	E AF AS-Te	X	X	X	Cas.	Grain,…
Bunias erucago L.		Brassicaceae	A	1854	1969	E AF AS-Te	X	X	X	Cas.	Grain,…
Bunias orientalis L.		Brassicaceae	A	1858	N	E AS-Te	X	X	X	Nat.	Grain,…
Camelina alyssum (Mill.) Thell.		Brassicaceae	A	1813	1921	E	X		X	Cas.	Seeds
Camelina microcarpa Andrz. ex DC.		Brassicaceae	A	1848	2015	E AF AS-Te	X		X	Cas.	Grain,…
Camelina rumelica Velen.		Brassicaceae	A	1893	1912	E AS-Te	X		X	Cas.	Grain,…
Camelina sativa (L.) Crantz		Brassicaceae	A	1870	2015	E AS-Te	X	X	X	Cas.	Grain,…
Cardamine corymbosa Hook. f.		Brassicaceae	A	2005	N	AUS	X			Nat.	Nurseries
Cardamine hamiltonii G. Don	C. flexuosa With. subsp. debilis (D. Don) O.E. Schulz	Brassicaceae	A	1968	N	AS-Te	X		X	Nat.	Nurseries
Cardamine parviflora L.		Brassicaceae	A	<1850	<1850	E		X		Cas.	?
Carrichtera annua (L.) DC.		Brassicaceae	A	1940	1940	E AF AS-Te	X			Cas.	?
Chorispora tenella (Pallas) DC.		Brassicaceae	A	1904	2015	E AS-Te	X		X	Cas.	Grain, wool,…
Conringia austriaca (Jacq.) Sweet		Brassicaceae	A	1893	1893	E AS-Te	X			Cas.	Grain
Conringia orientalis (L.) Dum.		Brassicaceae	A	<1835	1996	E AF AS-Te	X	X	X	Cas.	Grain, wool,…
Conringia planisiliqua Fisch. et C.A. Mey.		Brassicaceae	A	2013	2013	AS-Te	X			Cas.	Grain
Cordylocarpus muricatus Desf.		Brassicaceae	A	1950	1950	AF			X	Cas.	Wool
Crambe abyssinica Hochst. ex R.E. Fries	Crambe hispanica L.	Brassicaceae	D	1994	1994	E AF	X			Cas.	Agric.
Descurainia incisa (Engelm. ex A. Gray) Britton		Brassicaceae	A	1893	1893	NAM  	X			Cas.	Grain
Descurainia pinnata (Walter) Britton	Descurainia brachycarpa (Richards.) O.E. Schulz	Brassicaceae	A	1894	2011	NAM  	X		X	Cas.	Grain, wool
Diplotaxis erucoides (L.) DC.		Brassicaceae	A	1920	2015	E AF AS-Te	X	X	X	Cas.	Grain, seeds,…
Diplotaxis virgata (Cav.) DC.		Brassicaceae	A	1997	2000	E AF  	X			Cas.	Grain
Enarthrocarpus lyratus (Forssk.) DC.		Brassicaceae	A	1892	1893	E AF AS-Te	X			Cas.	Grain,…
Eruca vesicaria (L.) Cav. subsp. sativa (Mill.) Thell.		Brassicaceae	A	1837	2015	E AF AS-Te	X		X	Cas.	Grain, wool,…
Erucaria hispanica (L.) Druce		Brassicaceae	A	1901	1901	E AF AS-Te			X	Cas.	Wool
Erucastrum gallicum (Willd.) O.E. Schulz		Brassicaceae	A	1856	2015	E	X	X	X	Cas.	Grain, wool,…
Erucastrum incanum (L.) Koch	Hirschfeldia incana (L.) Lagrèze-Fossat	Brassicaceae	A	1873	N	E AF AS-Te	X	X	X	Nat.	Grain, wool, ore
Erucastrum nasturtiifolium (Poiret) O.E. Schulz		Brassicaceae	A	1936	1936	E	X			Cas.	?
Erysimum cheiri (L.) Crantz		Brassicaceae	D	1554	N	E	X	X	X	Nat.	Hort.
Erysimum diffusum Ehrh.		Brassicaceae	A	1877	1896	E AS	X			Cas.	Grain?
Erysimum repandum L.		Brassicaceae	A	1823	2014	E AS-Te	X	X	X	Cas.	Wool, grain,…
Erysimum ruscinonense Jord.		Brassicaceae	A	1893	1941	E			X	Cas.	Wool
Erysimum x marshallii (Henfr.) Bois (hybrid of obscure origin)		Brassicaceae	D	2000	2000	Cult.	X			Cas.	Hort.
Euclidium syriacum (L.) R. Brown		Brassicaceae	A	1885	2011	AS-Te	X		X	Cas.	Grain,…
Heliophila pusilla L. f.		Brassicaceae	A	1906	1906	AF				Cas.	Wool
Hesperis matronalis L.		Brassicaceae	D	1821	N	E AS-Te	X	X	X	Nat.	hort.
Hornungia alpina (L.) O. Appel	Hutchinsia alpina (L.) W. T. Aiton, Pritzelago alpina (L.) Kuntze	Brassicaceae	D	2013	2013	E AF	X			Cas.	Hort.
Hornungia procumbens (L.) Hayek	Hymenolobus procumbens (L.) Nutt. ex Torr. et A. Gray	Brassicaceae	A	<1850	<1850	E AF AS-Te NAM	?	?	?	Cas.	?
Iberis amara L. var. coronaria (D. Don) Voss		Brassicaceae	D	1973	1973	Cult.			X	Cas.	Hort.
Iberis odorata L.		Brassicaceae	A	1954	1955	E AF AS-Te			X	Cas.	Grain
Iberis pinnata L.		Brassicaceae	A	1892	1912	E			X	Cas.	Seeds, grain
Iberis sempervirens L.		Brassicaceae	D	1912	2016	E AF AS-Te	X	X	X	Cas.	Hort.
Iberis umbellata L.		Brassicaceae	D	1879	N	E AF AS-Te	X		X	Nat.	Hort.
Isatis tinctoria L.		Brassicaceae	A	1855	2015	E AF AS-Te	X	X	X	Cas.	Grain, seeds,…
Lepidium africanum (Burm. f.) DC.		Brassicaceae	A	1904	1979	AF			X	Cas.	Wool
Lepidium bonariense L.		Brassicaceae	A	1906	2012	SAM	X		X	Cas.	Grain, wool,…
Lepidium densiflorum Schrad.		Brassicaceae	A	1886	N	NAM	X	X	X	Nat.	Grain,…
Lepidium desertorum Eckl. et Zeyh.		Brassicaceae	A	1895	1895	AF			X	Cas.	Wool
Lepidium didymum L. 	Coronopus didymus (L.) Smith	Brassicaceae	A	1857	N	SAM	X	X	X	Nat.	Ore?
Lepidium draba L. subsp. chalepensis (L.) Thell.	Cardaria draba (L.) Desv. subsp. chalepensis (L.) O. Schulz	Brassicaceae	A	1912	1912	AS-Te			X	Cas.	?
Lepidium draba L. subsp. draba	Cardaria draba (L.) Desv. subsp. draba	Brassicaceae	A	1840	N	E AF AS-Te	X	X	X	Inv.	Grain,…
Lepidium fasciculatum Thell.		Brassicaceae	A	1889	1901	AUS			X	Cas.	Wool
Lepidium graminifolium L.		Brassicaceae	A	1837	1934	E AF AS-Te	X	X	X	Cas.	Grain?
Lepidium heterophyllum Benth.		Brassicaceae	A	1866	N	E	X	X	X	Nat.	Ore?
Lepidium hirtum (L.) Smith		Brassicaceae	A	<1850	1885	E AF AS-Te			X	Cas.	?
Lepidium latifolium L.		Brassicaceae	A	1813	N	E AF AS-Te	X	X	X	Nat.	Grain,…
Lepidium neglectum Thell.		Brassicaceae	A	1919	1979	NAM	X			Cas.	?
Lepidium perfoliatum L.		Brassicaceae	A	1871	2013	E AS-Te	X	X	X	Cas.	Grain, wool,…
Lepidium sativum L.		Brassicaceae	D	1859	2015	AF AS-Te	X	X	X	Cas.	Agric.
Lepidium schinzii Thell.		Brassicaceae	A	1895	1895	AF			X	Cas.	Wool
Lepidium virginicum L.		Brassicaceae	A	1859	N	NAM	X	X	X	Nat.	Grain, wool,…
Lobularia maritima (L.) Desv.		Brassicaceae	D	1870	Ann.	E AF AS-Te	X	X	X	Cas.	Hort.
Lunaria annua L.		Brassicaceae	D	1862	N	E	X	X	X	Nat.	Hort.
Malcolmia maritima (L.) R. Brown		Brassicaceae	D	1887	2015	E	X	X	X	Cas.	Hort.
Matthiola incana (L.) R. Brown		Brassicaceae	D	2012	2012	E	X			Cas.	Hort.
Matthiola longipetala (Vent.) DC. subsp. bicornis (Sibth. et Smith) P.W. Ball		Brassicaceae	D	2005	2015	E AS-Te	X			Cas.	Hort.
Myagrum perfoliatum L.		Brassicaceae	A	1821	2015	E AS-Te	X	X	X	Cas.	Grain, wool,…
Neslia paniculata (L.) Desv. subsp. paniculata		Brassicaceae	A	1867	2015	E AF AS-Te	X	X	X	Cas.	Grain, wool,…
Neslia paniculata (L.) Desv. subsp. thracia (Velen.) Bornm.		Brassicaceae	A	1866	1927	E AF AS-Te	X		X	Cas.	Grain,…
Noccaea brachypetala (Jord.) F.K. Mey.	Thlaspi brachypetalum Jord.	Brassicaceae	A	1949	1949	E			X	Cas.	?
Pseudoturritis turrita (L.) Al-Shehbaz	Arabis turrita L.	Brassicaceae	D	1862	N	E AF AS-Te			X	Nat.	Hort.
Raphanus raphanistrum L. subsp. landra (DC.) Bonnier & Layens	R. landra DC.	Brassicaceae	A	2015	2015	E AF	X			Cas.	Grain
Raphanus sativus L.		Brassicaceae	D	1906	2015	?	X	X	X	Cas.	Agric.
Rapistrum perenne (L.) All.		Brassicaceae	A	1882	1919	E AS-Te	X		X	Cas.	Grain, wool,…
Rapistrum rugosum (L.) All. s.l.		Brassicaceae	A	1888	N	E AF AS-Te	X	X	X	Nat.	Grain, wool,…
Rorippa austriaca (Crantz) Besser		Brassicaceae	A	1893	N	E AS-Te	X	X	X	Nat.	Grain, wool,…
Rorippa stylosa (Pers.) Mansf. et Rothm.		Brassicaceae	A	1854	1939	E	X	X	X	Cas.	Wool,…
Sinapis alba L.		Brassicaceae	D	<1800	Ann.	E AF AS-Te	X	X	X	Cas.	Agric.
Sinapis dissecta Lag.		Brassicaceae	A	1882	1951	E AF	X		X	Cas.	Grain, seeds
Sisymbrium altissimum L.		Brassicaceae	A	1840	N	E AS-Te	X	X	X	Nat.	Grain, wool,…
Sisymbrium austriacum Jacq. subsp. chrysanthum (Jord.) Rouy et Fouc.		Brassicaceae	A	1858	N	E	X		X	Nat.	Wool,…
Sisymbrium erysimoides Desf.		Brassicaceae	A	1961	1970	E AF AS-Te			X	Cas.	Wool
Sisymbrium irio L.		Brassicaceae	A	1886	N	E AF AS-Te	X	X	X	Nat.	Wool, grain, ...
Sisymbrium loeselii L.		Brassicaceae	A	1872	N	E AS-Te	X	X	X	Nat.	Grain, wool,…
Sisymbrium orientale L.		Brassicaceae	A	1823	N	E AF AS-Te	X	X	X	Nat.	Grain, wool,…
Sisymbrium runcinatum Lag. ex DC.		Brassicaceae	A	2004	2004	E AF  	X			Cas.	Grain
Sisymbrium septulatum DC.		Brassicaceae	A	1954	1954	AS-Te			X	Cas.	Grain?
Sisymbrium strictissimum L.		Brassicaceae	A	1857	1924	E			X	Cas.	?
Sisymbrium volgense Bieb. ex E. Fourn.		Brassicaceae	A	1953	N	AS-Te	X		X	Nat.	Grain,…
Strigosella africana (L.) Botsch. var. africana	Malcolmia africana (L.) R. Brown	Brassicaceae	A	1994	2012	E AF AS-Te	X			Cas.	Grain
Strigosella africana (L.) Botsch. var. laxa (Lam.) Botsch	Malcolmia laxa (Lam.) DC.	Brassicaceae	A	1895	1895	AS-Te	X			Cas.	Grain
Thlaspi alliaceum L.		Brassicaceae	A	<1850	N?	E AS-Te	X		X	Nat.?	Grain
Pachysandra terminalis Siebold et Zucc.		Buxaceae	D	1994	2015	AS-Te	X			Cas.	Hort.
Cabomba caroliniana A. Gray		Cabombaceae	D	1998	N	NAM	X			Nat.	Hort.
Echinopsis silvestrii Spegazz.		Cactaceae	D	2012	2012	SAM	X			Cas.	Hort.
Gleditsia triacanthos L.		Caesalpiniaceae	D	1959	2015	NAM	X			Cas.	Hort.
Senna obtusifolia (L.) Irwin et Barneby	Cassia obtusifolia L.	Caesalpiniaceae	A	1992	2006	AM	X			Cas.	Grain
Senna occidentalis (L.) Link	Cassia occidentalis L.	Caesalpiniaceae	A	1998	2005	Trop.	X			Cas.	Grain
Calceolaria chelidonioides Humb., Bonpl. et Kunth		Calceolariaceae	D/A	1941	1995	AM	X			Cas.	Hort., grain,…
Campanula carpatica Jacq.		Campanulaceae	D	1951	2012	E	X		X	Cas.	Hort.
Campanula erinus L.		Campanulaceae	A	1999	2005	E AF AS-Te	X			Cas.	Grain,…
Campanula fenestrellata Feer		Campanulaceae	D	2001	N?	E	X	X	X	Nat.?	Hort.
Campanula lactiflora Bieb.		Campanulaceae	D	2000	2012	AS-Te	X			Cas.	Hort.
Campanula latifolia L.		Campanulaceae	D	1869	N	E AS-Te	X		X	Nat.	Hort.
Campanula medium L.		Campanulaceae	D	1974	N	E	X		X	Nat.	Hort.
Campanula portenschlagiana Schult.		Campanulaceae	D	1990	N	E	X	X	X	Nat.	Hort.
Campanula poscharskyana Degen		Campanulaceae	D	2001	N	E	X			Nat.	Hort.
Campanula rhomboidalis L.		Campanulaceae	D	1949	N	E	X			Nat.	Grass seed
Lobelia erinus L.		Campanulaceae	D	1925	Ann.	AF	X	X	X	Cas.	Hort.
Lobelia pedunculata R. Brown	Pratia pedunculata (R. Brown) Benth.	Campanulaceae	D	2003	N?	AUS	X			Nat.?	Hort.
Lobelia sessilifolia Lambert		Campanulaceae	D	2004	2004	AS-Te	X			Cas.	Hort.
Lobelia siphilitica L.		Campanulaceae	D	<1934	2015	NAM	X	X	X	Cas.	Hort.
Platycodon grandiflorus (Jacq.) DC.		Campanulaceae	D	2013	2014	AS-Te	X			Cas.	Hort.
Trachelium caeruleum L.		Campanulaceae	D	2005	2014	E AF	X			Cas.	Hort.
Cannabis sativa L.		Cannabaceae	D/A	1853	Ann.	AS	X	X	X	Cas.	Birdseed,…
Humulus scandens (Lour.) Merrill		Cannabaceae	D	1954	1955	AS	X	X		Cas.	Hort.
Canna x generalis L.H. Bailey (hybrid of obscure origin)		Cannaceae	D	1992	2015	Cult.	X		X	Cas.	Hort.
Centranthus ruber (L.) DC.		Caprifoliaceae	D	1869	N	E AF AS-Te	X	X	X	Nat.	Hort.
Cephalaria alpina (L.) Roem. et Schult.		Caprifoliaceae	D	1970	1970	E	 		X	Cas.	Hort.
Cephalaria gigantea (Ledeb.) Bobrov		Caprifoliaceae	D	2006	2014	AS-Te	X			Cas.	Hort.
Cephalaria syriaca (L.) Roem. et Schult.		Caprifoliaceae	A	1891	2011	E AF AS-Te	X		X	Cas.	Grain, wool
Dipsacus laciniatus L.		Caprifoliaceae	A	1876	N	E AS-Te	X	X	X	Nat.	Ore,…
Dipsacus sativus (L.) Honck.		Caprifoliaceae	D	<1835	1953	?			X	Cas.	Hort.
Dipsacus strigosus Willd. ex Roem. et Schult.		Caprifoliaceae	D?	2012	N	E AS-Te	X	X		Nat.	Hort.?
Knautia integrifolia (L.) Bertol.		Caprifoliaceae	A	1997	1997	E AF AS-Te	X			Cas.	Grain
Knautia macedonica Griseb.		Caprifoliaceae	D	2011	2015	E	X			Cas.	Hort.
Kolkwitzia amabilis Graebn.		Caprifoliaceae	D	2012	2013	AS-Te	X			Cas.	Hort.
Leycesteria formosa Wallich		Caprifoliaceae	D	2006	2014	AS-Te	X		X	Cas.	Hort.
Lonicera acuminata Wall.	Incl. L. henryi Hemsl.	Caprifoliaceae	D	2009	N	AS-Te	X		X	Nat.	Hort.
Lonicera caprifolium L.		Caprifoliaceae	D	1851	N?	E AS-Te	X	X	X	Nat.?	Hort.
Lonicera chrysantha Turcz. ex Ledeb.		Caprifoliaceae	D	2012	2012	AS-Te	X			Cas.	Hort.
Lonicera involucrata (Richardson) Banks ex Spreng. 		Caprifoliaceae	D	2014	2014	NAM	X			Cas.	Hort.
Lonicera japonica Thunb. ex Murray		Caprifoliaceae	D	1984	N	AS-Te	X	X	X	Nat.	Hort.
Lonicera maackii (Rupr.) Maxim.		Caprifoliaceae	D	2015	2015	AS-Te	X			Cas.	Hort.
Lonicera morrowii Gray		Caprifoliaceae	D	2010	2010	AS-Te	X			Cas.	Hort.
Lonicera nitida Wils.		Caprifoliaceae	D	2000	N	AS-Te	X		X	Nat.	Hort.
Lonicera pileata Oliv.		Caprifoliaceae	D	2004	N	AS-Te	X			Nat.	Hort.
Lonicera sempervirens L.		Caprifoliaceae	D	1952	1953	NAM	 		X	Cas.	Hort.
Lonicera tatarica L.		Caprifoliaceae	D	1939	2015	AS-Te	X	X	X	Cas.	Hort.
Lonicera x italica Tausch (L. caprifolium x etrusca Santi)		Caprifoliaceae	D	1864	1948	Cult.	X	 	X	Cas.?	Hort.
Lonicera x purpusii Rehd. (L. fragrantissima Lindl. et Paxt. x standishii Jacq.)		Caprifoliaceae	D	2006	2006	Cult.	X			Cas.	Hort.
Scabiosa atropurpurea L.		Caprifoliaceae	D	<1835	<1835	E AF AS-Te			X	Cas.	Hort.
Symphoricarpos albus (L.) S.F. Blake		Caprifoliaceae	D	1866	N	NAM	X	X	X	Nat.	Hort.
Symphoricarpos x chenaultii Rehd. (S. microphyllus Humb., Bonpl. et Kunth x orbiculatus Moench)		Caprifoliaceae	D	?	?	Cult.	?	?	?	Cas.?	Hort.
Symphoricarpos x doorenbosii Krüssm. (S. x chenaultii x albus)		Caprifoliaceae	D	1955	N	Cult.	X		X	Nat.	Hort.
Symphoricarpos orbiculatus Moench		Caprifoliaceae	D	2012	2014	NAM	X			Cas.	Hort.
Valeriana phu L.		Caprifoliaceae	D	<1850	1910	AS-Te			X	Cas.	Hort.
Valeriana pyrenaica L.		Caprifoliaceae	D	<1957	<1957	E			X	Cas.	Hort.
Valerianella coronata (L.) DC.		Caprifoliaceae	A	1823	1906	E AF AS-Te	X		X	Cas.	Seeds
Valerianella eriocarpa Desv.		Caprifoliaceae	A	1813	1954	E AF AS-Te	X	X	X	Cas.	Seeds
Valerianella locusta (L.) Laterr. var. oleracea (Schlecht.) Breistr.		Caprifoliaceae	D	2005	2015	E AF AS-Te	X			Cas.	Agric.
Valerianella vesicaria (L.) Moench		Caprifoliaceae	A	<1850	<1850	E AS-Te			X	Cas.	?
Weigela floribunda (Siebold et Zucc.) K. Koch		Caprifoliaceae	D	1991	2013	AS-Te	X		X	Cas.	Hort.
Agrostemma gracile Boiss.		Caryophyllaceae	D	1978	2005	E AS-Te	X			Cas.	Hort.
Cerastium dichotomum L.		Caryophyllaceae	A	1954	1955	E AF AS-Te			X	Cas.	Grain
Cerastium tomentosum L.		Caryophyllaceae	D	1945	N	E	X	X	X	Nat.	Hort.
Cerastium x maureri M. Schulze (C. arvense L. x tomentosum)		Caryophyllaceae	H	?	N?	Hybr.	X	?	?	Nat.?	Hybridization
Dianthus barbatus L.		Caryophyllaceae	D	1867	2015	E	X		X	Cas.	Hort.
Dianthus caryophyllus L.		Caryophyllaceae	D	1972	2015	E AF AS-Te	X	X		Cas.	Hort.
Dianthus giganteus D'Urv. subsp. giganteus		Caryophyllaceae	D	1993	N?	E AS-Te			X	Nat.?	Hort.
Dianthus plumarius L.		Caryophyllaceae	D	<1850	1955	E			X	Cas.	Hort.
Dianthus subacaulis Vill.		Caryophyllaceae	D	2002	N	E			X	Nat.	Hort.
Dianthus superbus L.		Caryophyllaceae	D	<1850	<1850	E AS-Te	X			Cas.	Hort.
Gypsophila elegans Bieb.		Caryophyllaceae	D	1883	2015	AS-Te	X		X	Cas.	Hort.
Gypsophila paniculata L.		Caryophyllaceae	D	1882	2015	E AS-Te	X		 	Cas.	Hort.
Gypsophila pilosa Huds.		Caryophyllaceae	A	1907	1955	AS-Te	X		X	Cas.	Grain,…
Gypsophila scorzonerifolia Seringe		Caryophyllaceae	D	1866	1956	AS-Te	X			Cas.	Hort.
Gypsophila viscosa Murray		Caryophyllaceae	D?	1878	1965	AS-Te		X	X	Cas.	Hort.?
Herniaria cinerea DC.		Caryophyllaceae	A	1895	1955	E AF AS-Te			X	Cas.	Wool
Lepyrodiclis holosteoides (C.A. Mey.) Fenzl ex Fisch. et C.A. Mey.		Caryophyllaceae	A	2000	2010	AS 	X			Cas.	Grain
Minuartia laricifolia (L.) Schinz et Thell.		Caryophyllaceae	D?	<1850	<1850	E	?	?	?	Cas.	?
Minuartia mediterranea (Link) K. Malý		Caryophyllaceae	A	2004	N	E AF AS-Te	X			Nat.	Urban weed
Paronychia brasiliana DC.		Caryophyllaceae	A	1887	1949	SAM			X	Cas.	Wool
Petrorhagia nanteuilii (Burnat) P.W. Ball et Heywood		Caryophyllaceae	A	1992	1992	E AF	X			Cas.	?
Petrorhagia saxifraga (L.) Link		Caryophyllaceae	D	1948	2015	E AS-Te	X	X		Cas.	Hort.
Polycarpon tetraphyllum (L.) L.		Caryophyllaceae	A	1844	N	E AF AS-Te	X	X	X	Nat.	Urban weed, wool
Sagina subulata (Swartz) C. Presl		Caryophyllaceae	D	1911	2014	E	X		X	Cas.	Ore, hort.
Saponaria ocymoides L.		Caryophyllaceae	D	1954	2015	E	X		X	Cas.	Hort.
Saponaria officinalis L.		Caryophyllaceae	D	<1800	N	E AS-Te	X	X	X	Nat.	Hort.
Silene baccifera (L.) Roth	Cucubalus baccifer L.	Caryophyllaceae	A	1824	2005	E AF AS-Te	X	X	X	Cas.	Timber,…
Silene behen L.		Caryophyllaceae	A	1978	1978	E AF AS-Te	X			Cas.	Grain
Silene chalcedonica (L.) E.H.L. Krause	Lychnis chalcedonica L.	Caryophyllaceae	D	1954	2015	AS-Te	X		X	Cas.	Hort.
Silene coeli-rosa (L.) Godr.		Caryophyllaceae	D	1956	2015	E AF AS-Te	X		X	Cas.	Hort.
Silene conoidea L.		Caryophyllaceae	A	1876	2011	E AS-Te	X	X	X	Cas.	Grain, wool
Silene coronaria (L.) Clairv.	Lychnis coronaria (L.) Desr.	Caryophyllaceae	D	<1850	N?	E AF AS-Te	X	X	X	Nat.?	Hort.
Silene cretica L.		Caryophyllaceae	A	1950	1950	E AS-Te			X	Cas.	Seeds
Silene cserei Baumg.		Caryophyllaceae	A	1908	1908	E AS-Te			X	Cas.	Wool
Silene dichotoma Ehrh.		Caryophyllaceae	A	1860	N	E AS-Te	X	X	X	Nat.	Grain, seeds, ore
Silene gallica L. 		Caryophyllaceae	A	1824	2015	E AF AS-Te	X	X	X	Cas.	Grain, seeds  
Silene italica (L.) Pers.		Caryophyllaceae	D/A	2005	N	E AF AS-Te	X		X	Nat.	Hort., ore?
Silene muscipula L.		Caryophyllaceae	A	1918	2000	E AF AS-Te	X		X	Cas.	Grain,…
Silene nocturna L. subsp. nocturna		Caryophyllaceae	A	1997	1999	E AF AS-Te	X			Cas.	Grain
Silene otites (L.) Wibel		Caryophyllaceae	A	<1858	1920	E AS-Te	X		X	Cas.	Grain,…
Silene pendula L.		Caryophyllaceae	D	1866	1988	E AF AS-Te	X	X	X	Cas.	Hort.
Silene scabriflora Brot.		Caryophyllaceae	A	1860	1860	E AF	X			Cas.	Seeds
Silene schafta S.G. Gmel. ex Hohen.		Caryophyllaceae	D	2002	N	AS-Te			X	Nat.	Hort.
Silene stricta L.		Caryophyllaceae	A	1908	2013	E AF	X		X	Cas.	Grain,…
Silene viscosa (L.) Pers.		Caryophyllaceae	A?	1947	1947	E			X	Cas.	Wool
Stellaria media (L.) Cirillo subsp. cupaniana (Jord. & Fourr.) Nyman	Stellaria cupaniana (Jord. & Fourr.) Bég.	Caryophyllaceae	A	2013	2013	E AF AS-Te	X			Cas.	Grain
Vaccaria hispanica (Mill.) Rauschert		Caryophyllaceae	A	1811	2015	E AF AS-Te	X	X	X	Cas.	Grain,…
Celastrus orbiculatus Thunb.		Celastraceae	D	2004	N	AS-Te	X			Nat.	Hort.
