Unnamed: 0	taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_confidence	gbifapi_acceptedKey
44		plants	Alternanthera pungens Humb., Bonpl. et Kunth						Amaranthaceae								Cas.						Wool	A		SAM			X					<1949		<1949						3084949	Alternanthera pungens Kunth	Alternanthera pungens	ACCEPTED	SPECIES	EXACT	100	3084949
45		plants	Alternanthera sessilis (L.) DC.						Amaranthaceae								Cas.						Wool	A		Trop.			X					1911		1951						3084939	Alternanthera sessilis (L.) R. Br. ex DC.	Alternanthera sessilis	ACCEPTED	SPECIES	EXACT	100	3084939
46		plants	Alternanthera tenella Colla						Amaranthaceae								Cas.						Grain	A		SAM		X						2001		2002						3084968	Alternanthera tenella Colla	Alternanthera tenella	SYNONYM	SPECIES	EXACT	100	3084969
47		plants	Amaranthus acutilobus Uline et Bray						Amaranthaceae								Cas.						Wool	A		NAM			X					1908		1928						5384333	Amaranthus acutilobus Uline & W.L. Bray	Amaranthus acutilobus	ACCEPTED	SPECIES	EXACT	100	5384333
48		plants	Amaranthus albus L.						Amaranthaceae								Nat.						Grain, wool,etc	A		NAM		X	X	X				1857		N						5384372	Amaranthus albus L.	Amaranthus albus	ACCEPTED	SPECIES	EXACT	100	5384372
49		plants	Amaranthus blitoides S. Watson						Amaranthaceae								Nat.						Grain, wool,etc	A		NAM		X	X					1886		N						5384395	Amaranthus blitoides S. Watson	Amaranthus blitoides	ACCEPTED	SPECIES	EXACT	100	5384395
50		plants	Amaranthus blitum L. s.l.						Amaranthaceae								Nat.						Grain, wool,etc	A		E AF AS 		X	X	X				<1835		N						5384336	Amaranthus blitum L.	Amaranthus blitum	ACCEPTED	SPECIES	EXACT	100	5384336
51		plants	Amaranthus capensis Thell. subsp. capensis						Amaranthaceae								Cas.						Wool	A		AF			X					1890		1911						7323341	Amaranthus capensis subsp. capensis	Amaranthus capensis capensis	ACCEPTED	SUBSPECIES	EXACT	100	7323341
52		plants	Amaranthus capensis Thell. subsp. uncinatus (Thell.) Brenan	Amaranthus dinteri Schinz var. uncinatus Thell.					Amaranthaceae								Cas.						Wool	A		AF			X					1890		1949						5548011	Amaranthus capensis subsp. uncinatus (Thell.) Brenan	Amaranthus capensis uncinatus	ACCEPTED	SUBSPECIES	EXACT	100	5548011
53		plants	Amaranthus caudatus L.						Amaranthaceae								Cas.						Hort.	D		Trop.		X	X	X				1874		2015						6109611	Amaranthus caudatus L.	Amaranthus caudatus	ACCEPTED	SPECIES	EXACT	100	6109611
54		plants	Amaranthus clementii Domin	 					Amaranthaceae								Cas.						Wool	A		AUS			X					1939		1949						5547989	Amaranthus clementii Domin	Amaranthus clementii	ACCEPTED	SPECIES	EXACT	100	5547989
55		plants	Amaranthus crispus (Lesp. et Thév.) N. Terrac.						Amaranthaceae								Cas.						Wool,etc	A		SAM			X					1884		1959						5384341	Amaranthus crispus (Lesp. & Thev.) N. Terracc.	Amaranthus crispus	ACCEPTED	SPECIES	EXACT	100	5384341
56		plants	Amaranthus cruentus L.	Amaranthus hybridus L. subsp. cruentus (L.) Thell.					Amaranthaceae								Cas.						Hort.	D		SAM			X					2005		2005						5384390	Amaranthus cruentus L.	Amaranthus cruentus	ACCEPTED	SPECIES	EXACT	100	5384390
57		plants	Amaranthus deflexus L.						Amaranthaceae								Nat.						Grain, wool,etc	A		SAM		X	X					<1850		N						5384396	Amaranthus deflexus L.	Amaranthus deflexus	ACCEPTED	SPECIES	EXACT	100	5384396
58		plants	Amaranthus graecizans L.						Amaranthaceae								Cas.						Wool,etc	A		E AF AS		X	X					1874		1962						5384373	Amaranthus graecizans L.	Amaranthus graecizans	ACCEPTED	SPECIES	EXACT	100	5384373
59		plants	Amaranthus hybridus L. subsp. hybridus var. hybridus						Amaranthaceae								Nat.						Grain, wool,etc	A		AM		X	X	X				1870		N						7323184	Amaranthus hybridus var. hybridus	Amaranthus hybridus hybridus	ACCEPTED	VARIETY	EXACT	97	7323184
60		plants	Amaranthus hybridus L. subsp. hybridus var. pseudoretroflexus (Thell.) Carretero	Amaranthus powelii S. Watson					Amaranthaceae								Cas.						Grain, wool,etc	A		NAM		X	X	X				1904		2004						5547860	Amaranthus hybridus var. pseudoretroflexus (Thell.) Carretero	Amaranthus hybridus pseudoretroflexus	ACCEPTED	VARIETY	EXACT	100	5547860
61		plants	Amaranthus hybridus L. subsp. quitensis (Kunth) Costea et Carretero	Amaranthus quitensis Kunth					Amaranthaceae								Cas.						Grain, wool,etc	A		SAM		X	X	X				1898		2013						5547857	Amaranthus hybridus subsp. quitensis (Kunth) Costea & Carretero	Amaranthus hybridus quitensis	ACCEPTED	SUBSPECIES	EXACT	100	5547857
62		plants	Amaranthus hypochondriacus L.	Amaranthus hybridus subsp. hybridus var. erythrostachys Moq.					Amaranthaceae								Cas.						Hort.	D		NAM		X	X					1857		Ann.						6109718	Amaranthus hypochondriacus L.	Amaranthus hypochondriacus	ACCEPTED	SPECIES	EXACT	100	6109718
63		plants	Amaranthus macrocarpus Benth. var. macrocarpus						Amaranthaceae								Cas.						Wool	A		AUS			X					1911		1949						7323834	Amaranthus macrocarpus var. macrocarpus	Amaranthus macrocarpus macrocarpus	ACCEPTED	VARIETY	EXACT	100	7323834
64		plants	Amaranthus macrocarpus Benth. var. pallidus Benth.						Amaranthaceae								Cas.						Wool	A		AUS			X					1947		1949						5548724	Amaranthus macrocarpus var. pallidus Benth.	Amaranthus macrocarpus pallidus	ACCEPTED	VARIETY	EXACT	100	5548724
65		plants	Amaranthus mitchellii Benth.						Amaranthaceae								Cas.						Wool	A		AUS			X					1892		1948						7323810	Amaranthus mitchellii Benth.	Amaranthus mitchellii	ACCEPTED	SPECIES	EXACT	100	7323810
66		plants	Amaranthus muricatus (Moq.) Hieron.						Amaranthaceae								Cas.						Wool,etc	A		SAM		X	X					1947		1975						5384332	Amaranthus muricatus (Moq.) Hieron.	Amaranthus muricatus	ACCEPTED	SPECIES	EXACT	100	5384332
67		plants	Amaranthus palmeri S. Watson						Amaranthaceae								Cas.						Grain	A		NAM		X	X	X				1952		2009						5384393	Amaranthus palmeri S. Watson	Amaranthus palmeri	ACCEPTED	SPECIES	EXACT	100	5384393
68		plants	Amaranthus polygonoides L.						Amaranthaceae								Cas.						Wool	A		AM			X					1959		1959						5384342	Amaranthus polygonoides L.	Amaranthus polygonoides	ACCEPTED	SPECIES	EXACT	100	5384342
69		plants	Amaranthus powellii S. Watson subsp. bouchonii (Thell.) Costea et Carretero	Amaranthus bouchonii Thell.					Amaranthaceae								Nat.						Grain,etc	A		E		X	X	X				1957		N						5548528	Amaranthus powellii subsp. bouchonii (Thell.) Costea & Carretero	Amaranthus powellii bouchonii	SYNONYM	SUBSPECIES	EXACT	100	5384359
70		plants	Amaranthus retroflexus L.						Amaranthaceae								Nat.						Grain, wool,etc	A		NAM		X	X	X				1857		N						6109534	Amaranthus retroflexus L.	Amaranthus retroflexus	ACCEPTED	SPECIES	EXACT	100	6109534
71		plants	Amaranthus scleropoides Uline et Bray						Amaranthaceae								Cas.						Wool	A		NAM			X					1959		1959						5384370	Amaranthus scleropoides Uline & W.L. Bray	Amaranthus scleropoides	ACCEPTED	SPECIES	EXACT	100	5384370
72		plants	Amaranthus spinosus L.						Amaranthaceae								Cas.						Grain, wool,etc	A		Trop.		X	X					1887		2007						5384401	Amaranthus spinosus L.	Amaranthus spinosus	ACCEPTED	SPECIES	EXACT	100	5384401
73		plants	Amaranthus standleyanus Parodi ex Covas						Amaranthaceae								Cas.						Grain, wool,etc	A		SAM		X	X					1903		2009						5548401	Amaranthus standleyanus Parodi ex Covas	Amaranthus standleyanus	ACCEPTED	SPECIES	EXACT	100	5548401
74		plants	Amaranthus thunbergii Moq.						Amaranthaceae								Cas.						Wool,etc	A		AF		X	X					1857		1975						5384383	Amaranthus thunbergii Moq.	Amaranthus thunbergii	ACCEPTED	SPECIES	EXACT	100	5384383
75		plants	Amaranthus tuberculatus (Moq.) Sauer						Amaranthaceae								Cas.						Grain	A		NAM		X						1992		2005						5384347	Amaranthus tuberculatus (Moq.) J.D. Sauer	Amaranthus tuberculatus	ACCEPTED	SPECIES	EXACT	100	5384347
76		plants	Amaranthus tuberculatus (Moq.) Sauer var. rudis (Sauer) Costea et Tardif	Amaranthus rudis Sauer					Amaranthaceae								Cas.						Grain	A		NAM		X						1983		2003						5548360	Amaranthus tuberculatus var. rudis (J.D. Sauer) Costea & Tardif	Amaranthus tuberculatus rudis	SYNONYM	VARIETY	EXACT	100	5384347
77		plants	Amaranthus viridis L.						Amaranthaceae								Cas.						Wool, grain,etc	A		SAM		X	X					1905		2013						5384334	Amaranthus viridis L.	Amaranthus viridis	ACCEPTED	SPECIES	EXACT	100	5384334
78		plants	Amaranthus x ozanonii (Thell.) C. Schuster et M. Goldschm. (A. hybridus x retroflexus)						Amaranthaceae								Cas.						Hybridization	A		Hybr.		X	X					1983		2011													
79		plants	Amaranthus x ralletii Contré (A. bouchonii x retroflexus)						Amaranthaceae								Cas.						Hybridization	A		Hybr.				X				1985		1985													
80		plants	Atriplex eardleyae Aell.						Amaranthaceae								Cas.						Wool	A		AUS			X					1906		1906						3083659	Atriplex eardleyae Aellen	Atriplex eardleyae	ACCEPTED	SPECIES	EXACT	100	3083659
81		plants	Atriplex halimus L.						Amaranthaceae								Cas.						Hort.	D		E AF AS-Te		X						1922		1929						3083718	Atriplex halimus L.	Atriplex halimus	ACCEPTED	SPECIES	EXACT	100	3083718
82		plants	Atriplex holocarpa F. Muell.	Senniella spongiosa (F. Muell.) Aell. var. holocarpa (F. Muell.) Aell.					Amaranthaceae								Cas.						Wool	A		AUS			X					1906		1906						3083746	Atriplex holocarpa F. Muell.	Atriplex holocarpa	ACCEPTED	SPECIES	EXACT	100	3083746
83		plants	Atriplex hortensis L.						Amaranthaceae								Cas.						Hort., wool, grain	D		AS-Te		X	X	X				1859		Ann.						3083761	Atriplex hortensis L.	Atriplex hortensis	ACCEPTED	SPECIES	EXACT	100	3083761
84		plants	Atriplex leptocarpa F. Muell.						Amaranthaceae								Cas.						Wool	A		AUS			X					1911		1951						6447496	Atriplex leptocarpa F. Muell.	Atriplex leptocarpa	ACCEPTED	SPECIES	EXACT	100	6447496
85		plants	Atriplex micrantha Ledeb.						Amaranthaceae								Nat.						Wool,etc	A		AS-Te		X	X	X				1957		N						3083680	Atriplex micrantha Ledeb.	Atriplex micrantha	ACCEPTED	SPECIES	EXACT	100	3083680
86		plants	Atriplex muelleri Benth.						Amaranthaceae								Cas.						Wool	A		AUS			X					1947		1951						3083773	Atriplex muelleri Benth.	Atriplex muelleri	ACCEPTED	SPECIES	EXACT	100	3083773
87		plants	Atriplex oblongifolia Waldst. et Kit.						Amaranthaceae								Cas.						?	A		E AF AS-Te			X					<1850		<1850						3083657	Atriplex oblongifolia Waldst. & Kit.	Atriplex oblongifolia	ACCEPTED	SPECIES	EXACT	100	3083657
88		plants	Atriplex pseudocampanulata Aell.						Amaranthaceae								Cas.						Wool	A		AUS			X					1895		1895						6448072	Atriplex pseudocampanulata Aellen	Atriplex pseudocampanulata	ACCEPTED	SPECIES	EXACT	100	6448072
89		plants	Atriplex rosea L.						Amaranthaceae								Cas.						Wool,etc	A		E AF AS-Te		X	X					<1830		1953						3083745	Atriplex rosea L.	Atriplex rosea	ACCEPTED	SPECIES	EXACT	100	3083745
90		plants	Atriplex sagittata Borkh.						Amaranthaceae								Cas.						Wool,etc	A		E AS-Te		X	X	X				1853		1983						3760099	Atriplex sagittata Borkh.	Atriplex sagittata	ACCEPTED	SPECIES	EXACT	100	3760099
