AphiaID	Kingdom	Phylum	Class	Order	Family	Genus	Taxon	PlaceName	Distribution_id	Note	Beginyear	Occurrence	Origin	Invasiveness	Reference_id	Reference
156991.0	Animalia	Mollusca	Bivalvia	Veneroida	Mactridae	Rangia	Rangia cuneata	Belgian part of the North Sea	856920.0	brackish, estuaries	2005.0	Established	Alien	Not specified	42246.0	Verween, A.; Kerckhof, F.; Vincx, M.; Degraer, S. (2006). First European record of the invasive brackish water clam Rangia cuneata (G.B Sowerby I, 1831) (Mollusca: Bivalvia). <em>Aquatic Invasions.</em> 1(4): 198-203.
156991.0	Animalia	Mollusca	Bivalvia	Veneroida	Mactridae	Rangia	Rangia cuneata	Belgian part of the North Sea	818697.0		2000.0	Reported	Alien	Uncertain	42246.0	Verween, A.; Kerckhof, F.; Vincx, M.; Degraer, S. (2006). First European record of the invasive brackish water clam Rangia cuneata (G.B Sowerby I, 1831) (Mollusca: Bivalvia). <em>Aquatic Invasions.</em> 1(4): 198-203.
140416.0	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Rapana	Rapana venosa	Belgian Exclusive Economic Zone	561161.0	Caught with a trawler fishing on flatfish off Scheveningen (in the Dutch waters). Latitude 52°10' N, longitude 3°55' E.	2005.0		Alien		9193.0	Kerckhof, F.; Vink, R.J.; Nieweg, D.C.; Post, J.J.N. (2006).  [The veined whelk <i>Rapana venosa</i> has reached the North Sea]. <i>Aquatic Invasions 1(1)</i>: 35-37
140416.0	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae	Rapana	Rapana venosa	Belgian part of the North Sea	815478.0			Established	Alien	Uncertain	177036.0	DAISIE - European Invasive Alien Species Gateway
107414.0	Animalia	Arthropoda	Malacostraca	Decapoda	Panopeidae	Rhithropanopeus	Rhithropanopeus harrisii	Belgian Coast	642529.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
107414.0	Animalia	Arthropoda	Malacostraca	Decapoda	Panopeidae	Rhithropanopeus	Rhithropanopeus harrisii	Belgian part of the North Sea	856918.0	Schelde, Zeeschelde	1991.0	Established	Alien	Not specified	195438.0	Van Damme, P.; Mees, J.; Maebe, S. (1992). Voorkomen van het Zuiderzeekrabbetje Rhithropanopeus harrisii (Gould, 1841) in de Westerschelde. <em>De Strandvlo.</em> 12(1): 19-21.
107414.0	Animalia	Arthropoda	Malacostraca	Decapoda	Panopeidae	Rhithropanopeus	Rhithropanopeus harrisii	Belgian part of the North Sea	819254.0	Location : Zeeschelde and adjacent waters; Schelde near Antwerp<br/>Year first introduced or recorded : 1985 - Schelde near Antwerp	1985.0	Established	Alien	Uncertain	177036.0	DAISIE - European Invasive Alien Species Gateway
107414.0	Animalia	Arthropoda	Malacostraca	Decapoda	Panopeidae	Rhithropanopeus	Rhithropanopeus harrisii	Belgian part of the North Sea	825726.0	Location : Doel, on the River Scheldt	1985.0	Reported	Alien	Uncertain	192709.0	Wouters, Karel (2002) On the distribution of alien non-marine and estuarine macro-crustaceans in Belgium., Bulletin Van Het Koninklijk Instituut Voor Natuurwetenschappen, Biologie. 17: 119-129
154241.0	Animalia	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus fontinalis	Belgian part of the North Sea	817432.0		1884.0	Established	Alien	Uncertain	177036.0	DAISIE - European Invasive Alien Species Gateway
145559.0	Chromista	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	Sargassum	Sargassum (Bactrophycus) muticum	Belgian Exclusive Economic Zone	642470.0	non-indigenous			Alien		132969.0	VLIZ Alien Species Consortium
