taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
117768	wrims	Gonionemus vertens		Animalia	Cnidaria	Hydrozoa	Limnomedusae	Olindiidae	Gonionemus							Reported	Alien				Uncertain										Belgian part of the North Sea		1946			Edwards, C. (1976). A study in erratic distribution: the occurrence of the medusa Gonionemus  in relation to the distribution of oysters. <em>Adv. mar. Biol.</em> 14, 251-284.	24164			Location : Oostende
236157	wrims	Gracilaria vermiculophylla		Plantae	Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	Gracilaria								Alien															Belgian Exclusive Economic Zone	2011			VLIZ Alien Species Consortium	132969			non-indigenous
236157	wrims	Gracilaria vermiculophylla		Plantae	Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	Gracilaria							Established	Alien				Not specified										Belgian part of the North Sea		2011			Kerckhof, F.; Verbeke, D.; Bauwens, F. (2012). Nieuws uit de Baai van Heist: de roodwieren Caulacanthus ustulatus (Mertens ex Turner) KÃ¼tzing, 1843 en Gracilaria vermiculophylla (Ohmi) Papenfuss 1967 nieuw voor de Belgische kust en een merkwaardig habitat van intertidale mossels De Strandvlo 32(1): 19-23	162899			Belgian coast
132883	wrims	Haliclona (Soestella) xena		Animalia	Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
132883	wrims	Haliclona (Soestella) xena		Animalia	Porifera	Demospongiae	Haplosclerida	Chalinidae	Haliclona							Established	Alien				Not specified										Belgian part of the North Sea		1988			van Soest, R.W.M.; de Kluijver, M.J.; van Bragt, P.H.; Faasse, M.; Nijland, R.; Beglinger, E.J.; de Weerdt, W.H.; de Voogd, N.J. 2007. Sponge invaders in Dutch coastal waters. Journal of the Marine Biological Association of the United Kingdom 87 (6): 1733-1748.	127143			
151553	wrims	Haliplanella lineata		Animalia	Cnidaria	Anthozoa	Actiniaria	Haliplanellidae	Haliplanella							Reported	Alien				Uncertain										Belgian part of the North Sea		1998			DAISIE - European Invasive Alien Species Gateway	177036			Location : Spuikom (Sluice dock of Oostende)<br/>Year first introduced or recorded : Region of first record: Spuikom (Sluice Dock)
111379	wrims	Haplopoma graniferum		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Haplopomidae	Haplopoma								Alien													Belgian Coast			1999			De_blauwe, H. (2009). Mosdiertjes van de Zuidelijke Bocht van de Noordzee: Determinatiewerk voor BelgiÃ« en Nederland. <em>Vlaams Instituut voor de Zee, Oostende.</em> 464.	130048			Af en toe aangetroffen op aangespoeld plastic of op aangespoelde riemwiervoetjes.
111380	wrims	Haplopoma impressum		Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Haplopomidae	Haplopoma								Alien													Belgian Coast			1999			De_blauwe, H. (2009). Mosdiertjes van de Zuidelijke Bocht van de Noordzee: Determinatiewerk voor BelgiÃ« en Nederland. <em>Vlaams Instituut voor de Zee, Oostende.</em> 464.	130048			Op aangespoeld plastic of op aangespoelde riemwiervoetjes.
107454	wrims	Hemigrapsus penicillatus		Animalia	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus								Alien													Belgian Coast						VLIZ Alien Species Consortium	132969			non-indigenous
158417	wrims	Hemigrapsus sanguineus		Animalia	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus								Alien															Belgian Exclusive Economic Zone				VLIZ Alien Species Consortium	132969			non-indigenous
